p_call,p_put,p_skip
0.0461430976268698,0.07246448134439996,0.8813924210287303
0.017946508740773876,0.02073817540961936,0.9613153158496068
0.01790344062359305,0.009129861610711743,0.9729666977656951
0.017934721496662615,0.008623641404801274,0.9734416370985361
0.01963889044820398,0.008765959717359113,0.9715951498344368
0.03570603890653055,0.004423133895016123,0.9598708271984533
0.040403203231170665,0.008712837606454766,0.9508839591623746
0.05213701768652153,0.0817973348783973,0.8660656474350812
0.055463285051348545,0.057183229657833234,0.8873534852908183
0.05810594276177635,0.08727443562673395,0.8546196216114897
0.050189603366641834,0.0612833551976868,0.8885270414356714
0.06279708372496046,0.033932803038802535,0.9032701132362371
0.040293123915226485,0.03233488389614082,0.9273719921886326
0.04134189044501703,0.031910057647316616,0.9267480519076664
0.03912117217531305,0.044594217261886344,0.9162846105628006
0.030611922566206845,0.03327208048866534,0.9361159969451278
0.06841606203410251,0.06872072323991782,0.8628632147259796
0.06464881755831363,0.0832302339642903,0.8521209484773961
0.07338451276789457,0.07966966057052596,0.8469458266615795
0.05554890906990402,0.08282678886969869,0.8616243020603973
0.06518065226347239,0.08189622047643298,0.8529231272600947
0.05736349306859758,0.06548470802224729,0.8771517989091552
0.04638230883930782,0.059854360704324094,0.8937633304563681
0.035533343144566416,0.06642118249364286,0.8980454743617907
0.03524819664760833,0.06843456333201026,0.8963172400203814
0.04028588774628542,0.0670052265080301,0.8927088857456845
0.030492771687123905,0.0613931717492739,0.9081140565636022
0.035632611453208764,0.057686264412000726,0.9066811241347905
0.03491712098298333,0.05847307624929697,0.9066098027677197
0.009665494161983394,0.004038651797986107,0.9862958540400304
0.009665494152657305,0.00403865179802729,0.9862958540493153
0.009719967582149679,0.004037891073085372,0.9862421413447648
0.018223229194608778,0.004022111801946948,0.9777546590034443
0.010916843562354712,0.004088584039596979,0.9849945723980483
0.00966559281606158,0.004038650420174184,0.9862957567637641
0.03391144765365837,0.0490331567270682,0.9170553956192734
0.03396741817821475,0.04291941737742838,0.9231131644443569
0.037384479631418104,0.03189065273901291,0.930724867629569
0.009609105354928812,0.021443785959927943,0.9689471086851433
0.009469474645134852,0.012565581137805043,0.9779649442170602
0.00958699539677783,0.006433075573726284,0.9839799290294959
0.009665487093701054,0.004038867154396734,0.9862956457519023
0.009469474645134852,0.012565581137805043,0.9779649442170602
0.010331882464689409,0.004029345729093428,0.9856387718062172
