call_thr,put_thr,skip_ceil,min_edge,pooled_PF,pooled_Net,pooled_MaxDD,pooled_TradeCount,pooled_WR,pooled_Sharpe,pooled_Sortino,per_fold_PF,passes_min_trades_filter,rank
0.4,0.15,0.6,0.08,1.1517375332586544,4352.833244683023,18551.572824663308,41,0.3170731707317073,0.03625409496561042,0.061862155524232666,"[NaN, Infinity, 5.386465609838005, 1.073415727842591, NaN, NaN, 0.425307008306873, 3.180481826986881]",False,1
0.4,0.2,0.6,0.08,1.1517375332586544,4352.833244683023,18551.572824663308,41,0.3170731707317073,0.03625409496561042,0.061862155524232666,"[NaN, Infinity, 5.386465609838005, 1.073415727842591, NaN, NaN, 0.425307008306873, 3.180481826986881]",False,2
0.4,0.25,0.6,0.08,1.1517375332586544,4352.833244683023,18551.572824663308,41,0.3170731707317073,0.03625409496561042,0.061862155524232666,"[NaN, Infinity, 5.386465609838005, 1.073415727842591, NaN, NaN, 0.425307008306873, 3.180481826986881]",False,3
0.4,0.25,0.65,0.08,1.139728152571196,4446.699883242851,19457.699368633774,45,0.3333333333333333,0.034776275242338575,0.0574803861569353,"[NaN, Infinity, 5.386465609838005, 1.2152616047802292, NaN, NaN, 0.47132157049152784, 3.180481826986881]",False,4
0.4,0.15,0.75,0.05,1.1185820282063177,5889.181012188431,21058.68619019286,93,0.3225806451612903,0.03618201430053595,0.04499195843230051,"[45.68729738734361, 4.995511199818243, 0.8165301539030663, 0.8821876176228202, 0.00802836487580595, NaN, 0.6175994321370946, 0.3612948101649896]",True,5
0.4,0.15,0.65,0.08,1.0908732911725054,3194.8795198401745,20817.123865792466,52,0.3076923076923077,0.022916778877961813,0.03801928276159793,"[NaN, Infinity, 1.6856575597209196, 1.1490072584669953, 0.0, NaN, 0.47132157049152784, 3.180481826986881]",True,6
0.4,0.2,0.65,0.08,1.0908732911725054,3194.8795198401745,20817.123865792466,52,0.3076923076923077,0.022916778877961813,0.03801928276159793,"[NaN, Infinity, 1.6856575597209196, 1.1490072584669953, 0.0, NaN, 0.47132157049152784, 3.180481826986881]",True,7
0.4,0.25,0.7,0.08,1.0725745547770595,2454.2119613987375,21450.187290477887,46,0.32608695652173914,0.018875233423254086,0.030864336348429725,"[NaN, Infinity, 5.386465609838005, 1.2152616047802292, NaN, NaN, 0.42797450219951055, 3.180481826986881]",False,8
0.4,0.25,0.75,0.08,1.0725745547770595,2454.2119613987375,21450.187290477887,46,0.32608695652173914,0.018875233423254086,0.030864336348429725,"[NaN, Infinity, 5.386465609838005, 1.2152616047802292, NaN, NaN, 0.42797450219951055, 3.180481826986881]",False,9
0.2,0.25,0.65,0.03,1.0671918531929612,8763.288341090272,29701.447940454458,199,0.32663316582914576,0.016893910016657573,0.0297428252421546,"[0.42714162052385196, 1.3367661125412567, 0.6590572118485997, 2.111513981015212, 0.19716369013643625, NaN, 1.0742827990049846, 0.6167358992161619]",True,10
