time,year,dir,reason,net_option,gross_option,cost,delta_model,prem_entry,prem_exit,iv,sl_pts,trail,entry_time,hold_min,fold,brain,calibrator
2025-07-01 12:20:00,2025,PUT,BE_SL,-81.5895281480091,7.6873902429179,89.276918390927,97.5,94.36220239553404,94.48046993773278,0.11992209657815052,41.7,False,2025-07-01 10:40:00,100.0,5,cat,noop
2025-07-02 14:45:00,2025,PUT,BE_SL,-46.86679380613556,33.78598815549594,80.6527819616315,97.5,61.30303884899149,61.82282328215297,0.12751970515258798,40.8,False,2025-07-02 14:05:00,40.0,5,cat,noop
2025-07-03 13:35:00,2025,PUT,SL,-2171.6702019145705,-2093.629939345392,78.04026256917875,-1400.7499999999527,64.58160923363539,32.3719178590909,0.3691948882158707,43.1,False,2025-07-03 12:25:00,70.0,5,cat,noop
2025-07-03 14:35:00,2025,PUT,TP,4711.098569243121,4796.595599567518,85.49703032439615,3931.687500000071,45.646374383035436,119.44015283792032,0.3691948882158707,53.5,True,2025-07-03 14:00:00,35.0,5,cat,noop
2025-07-04 14:30:00,2025,PUT,SL,-1273.5205459772908,-1172.9676715458754,100.55287443141538,-1257.7500000000236,123.40169651045107,105.35604002512991,0.10409897910669062,38.7,False,2025-07-04 12:15:00,135.0,5,cat,noop
2025-07-10 11:45:00,2025,PUT,BE_SL,-513.8694894247055,-406.69453281914684,107.1749566055587,97.5,135.82546506965082,129.5686261032024,0.5800580755508571,30.0,False,2025-07-10 11:15:00,30.0,5,cat,noop
2025-07-10 11:55:00,2025,PUT,FLOOD_EXIT,75.04388461612876,181.2947083942072,106.25082377807843,336.3749999999527,131.887193546072,134.6763429059829,0.5800580755508571,30.0,False,2025-07-10 11:45:00,10.0,5,cat,noop
2025-07-11 10:50:00,2025,PUT,BE_SL,-11.065358743271645,85.38863403429787,96.45399277756951,97.5,110.21526536528108,111.52893665811644,0.09631441800043784,36.1,False,2025-07-11 10:40:00,10.0,5,cat,noop
2025-07-11 11:35:00,2025,PUT,BE_SL,-15.526774469873487,87.51621675863134,103.04299122850483,97.5,124.98890191081591,126.33530524556409,0.09631441800043784,43.7,False,2025-07-11 11:10:00,25.0,5,cat,noop
2025-07-11 11:40:00,2025,PUT,FLOOD_EXIT,271.22495757233844,374.8639113117497,103.63895373941128,373.75,125.41421360951608,131.18135070661992,0.09631441800043784,41.3,False,2025-07-11 11:35:00,5.0,5,cat,noop
2025-07-14 11:45:00,2025,PUT,FLOOD_EXIT,1576.084180136199,1673.4457308388392,97.36155070264026,1603.8749999999527,107.21333518845859,132.95865412444073,0.11423970764114845,38.5,True,2025-07-14 10:40:00,65.0,5,cat,noop
2025-07-15 11:50:00,2025,CALL,TRAIL_SL,1475.668115142841,1563.6104222813901,87.94230713854898,1392.3000000000047,86.43259534925164,110.48814030742687,0.09868027307368903,37.7,True,2025-07-15 10:40:00,70.0,5,cat,noop
2025-07-18 11:30:00,2025,PUT,FLOOD_EXIT,-257.27095746461157,-157.81425086476702,99.45670659984457,-157.6249999999527,117.7224345563045,115.29452300453886,0.10055620494489279,40.8,False,2025-07-18 11:00:00,30.0,5,cat,noop
2025-07-21 10:05:00,2025,PUT,SL,-1671.6932563809708,-1585.580970881956,86.11228549901473,-1790.7499999999527,92.31761259008454,67.9240591919006,0.10257556157965894,55.1,False,2025-07-21 09:45:00,20.0,5,cat,noop
2025-07-22 12:20:00,2025,PUT,SL,-949.3603211780752,-869.5738868869284,79.78643429114679,-975.0,64.70691519987486,51.32885540161442,0.09540310685038693,30.0,False,2025-07-22 11:25:00,55.0,5,cat,noop
2025-07-24 12:50:00,2025,PUT,FLOOD_EXIT,-815.2016573725385,-729.8487749760716,85.35288239646698,-243.75,87.89950667071935,76.67106397877978,0.4969110250840313,40.7,False,2025-07-24 12:20:00,30.0,5,cat,noop
2025-07-25 09:50:00,2025,PUT,TRAIL_SL,817.7702471938017,911.865147648441,94.09490045463937,1001.3249999999243,102.30155717903835,116.33025175824514,0.0952433260726789,56.8,True,2025-07-25 09:35:00,15.0,5,cat,noop
2025-07-25 10:05:00,2025,PUT,FLOOD_EXIT,225.98725514330448,319.18356448856684,93.19630934526235,363.9999999999054,102.16599512696666,107.07651150371385,0.0952433260726789,62.4,False,2025-07-25 09:50:00,15.0,5,cat,noop
2025-07-28 12:50:00,2025,PUT,TP,2030.8850326002498,2130.6002278723463,99.7151952720966,1972.7500000000236,111.0427903191121,143.82125536330204,0.11954816533961818,30.4,True,2025-07-28 12:15:00,35.0,5,cat,noop
2025-07-28 14:20:00,2025,PUT,BE_SL,-19.8654208488977,74.0102209556153,93.875641804513,97.5,104.4676256540406,105.60624443797315,0.11954816533961818,41.8,False,2025-07-28 13:50:00,30.0,5,cat,noop
2025-07-28 14:35:00,2025,PUT,BE_SL,-8.701462734457266,86.01734687956196,94.71880961401922,97.5,106.32092265701795,107.64426645516505,0.11954816533961818,38.8,False,2025-07-28 14:20:00,15.0,5,cat,noop
2025-07-28 14:50:00,2025,PUT,BE_SL,-8.95160783838108,84.7508403577649,93.70244819614598,97.5,104.04504699425524,105.3489060766824,0.11954816533961818,38.1,False,2025-07-28 14:35:00,15.0,5,cat,noop
2025-07-28 15:20:00,2025,PUT,SQUARE_OFF,256.2938232326324,352.17234551238107,95.87852227974865,367.24999999997635,108.07806304932274,113.4960991341286,0.11954816533961818,37.0,False,2025-07-28 14:50:00,30.0,5,cat,noop
2025-07-29 10:50:00,2025,PUT,BE_SL,-0.09717823853894458,83.95547012486531,84.05264836340426,97.5,82.40122042332405,83.69284304062967,0.10586991789333253,58.7,False,2025-07-29 10:30:00,20.0,5,cat,noop
2025-07-29 11:15:00,2025,PUT,SL,-1422.8704460454246,-1342.1332362093108,80.73720983611383,-1501.5000000000236,78.110458154968,57.462254520978604,0.10586991789333253,46.2,False,2025-07-29 11:00:00,15.0,5,cat,noop
2025-07-29 11:40:00,2025,CALL,BE_SL,-1.168492662928628,81.34915390779497,82.5176465707236,97.5,76.18466095209078,77.43618639682609,0.10586991789333253,43.7,False,2025-07-29 11:25:00,15.0,5,cat,noop
2025-07-30 11:15:00,2025,PUT,SL,-1105.4415748603396,-1027.1693873029108,78.27218755742886,-1260.9999999999764,54.01611314496404,38.21350718645772,0.11355200549478302,38.8,False,2025-07-30 10:55:00,20.0,5,cat,noop
2025-07-31 11:00:00,2025,PUT,SL,-1732.8864382451552,-1619.3802344977667,113.50620374738865,-1325.9999999999764,153.87463988343188,128.96109781423547,0.6514757051334413,40.8,False,2025-07-31 10:40:00,20.0,5,cat,noop
2025-07-31 12:00:00,2025,CALL,TRAIL_SL,211.72368012750957,324.3029675586604,112.57928743115082,1106.6249999999764,145.62948814515585,150.61876456913524,0.6514757051334413,41.8,True,2025-07-31 11:15:00,45.0,5,cat,noop
2025-07-31 12:30:00,2025,CALL,FLOOD_EXIT,1982.2809493771683,2085.146330658872,102.86538128170373,2572.3750000000473,118.25345337955332,150.33262769738212,0.6514757051334413,49.3,True,2025-07-31 12:00:00,30.0,5,cat,noop
2025-08-01 12:15:00,2025,PUT,FLOOD_EXIT,2974.4122603617348,3090.2462165756606,115.83395621392573,2991.6250000000946,144.1559965207398,191.69824600651918,0.11875966506796523,58.7,True,2025-08-01 10:10:00,125.0,5,cat,noop
2025-08-04 11:15:00,2025,PUT,SL,-1953.6529549200231,-1859.1000974303915,94.55285748963162,-2089.7499999999764,112.11911092765331,83.51757096718575,0.13178016514147273,64.3,False,2025-08-04 09:55:00,80.0,5,cat,noop
2025-08-05 11:00:00,2025,PUT,FLOOD_EXIT,-425.18125238589045,-340.71499838543787,84.4662540004526,-346.12499999992906,84.67618932193545,79.43442011600564,0.12436555447790865,44.7,False,2025-08-05 10:30:00,30.0,5,cat,noop
2025-08-06 11:25:00,2025,PUT,FLOOD_EXIT,2184.0348959628723,2272.7801346117394,88.74523864886736,2001.9999999999527,85.984042020591,120.949890245387,0.13812385056357224,48.8,True,2025-08-06 10:15:00,70.0,5,cat,noop
