time,year,dir,reason,net_option,gross_option,cost,delta_model,prem_entry,prem_exit,iv,sl_pts,trail,entry_time,hold_min,fold,brain
2025-04-01 12:30:00,2025,PUT,BE_SL,-14.840510434645893,80.77881820413495,95.61932863878084,97.5,108.35757741064117,109.60032845993555,0.1540218860052448,58.1,False,2025-04-01 12:15:00,15.0,4,mlp
2025-04-01 15:20:00,2025,PUT,SQUARE_OFF,-160.514127842853,-68.81455839019509,91.69956945265788,14.625000000023647,100.03935819786057,98.98067268416526,0.1540218860052448,52.0,False,2025-04-01 14:05:00,75.0,4,mlp
2025-04-02 12:55:00,2025,CALL,SL,-1395.8088284398618,-1315.5174567468657,80.29137169299604,-1459.2500000000473,74.10794107938273,53.86921097558479,0.15287614272532096,44.9,False,2025-04-02 12:30:00,25.0,4,mlp
2025-04-03 12:20:00,2025,CALL,BE_SL,-199.90114786317855,-122.74494543305082,77.15620243012772,97.5,34.18883711411581,32.300453338222724,0.11524321641849355,47.5,False,2025-04-03 11:00:00,80.0,4,mlp
2025-04-03 15:20:00,2025,PUT,SQUARE_OFF,-944.3053167452547,-870.3698158848965,73.93550086035812,35.75000000007094,16.27870766603337,2.8884028062657308,0.11524321641849355,30.0,False,2025-04-03 12:45:00,155.0,4,mlp
2025-04-07 11:25:00,2025,PUT,TRAIL_SL,1406.6882221149085,1599.4207410924628,192.7325189775542,1707.2250000000804,321.38351566872916,345.9899886086132,0.47043263366312027,90.0,True,2025-04-07 10:45:00,40.0,4,mlp
2025-04-07 13:05:00,2025,PUT,TRAIL_SL,1350.7775503236132,1543.3139178368401,192.53636751322696,1567.800000000052,321.1214967222495,344.8647877658932,0.47043263366312027,90.0,True,2025-04-07 12:45:00,20.0,4,mlp
2025-04-07 13:40:00,2025,PUT,SL,-3055.2158425428897,-2869.404840121115,185.81100242177496,-2925.0,320.0335791390753,275.88888929105815,0.47043263366312027,90.0,False,2025-04-07 13:20:00,20.0,4,mlp
2025-04-08 11:05:00,2025,CALL,TP,6524.067329515542,6661.830987386429,137.76365787088736,5850.0,182.01846354195732,284.5081710402101,0.3632433959509048,90.0,True,2025-04-08 10:45:00,20.0,4,mlp
2025-04-08 11:50:00,2025,CALL,TRAIL_SL,1278.5446802463962,1409.0195806004976,130.47490035410146,1419.6000000000095,182.3317551215605,204.00897943849122,0.3632433959509048,90.0,True,2025-04-08 11:30:00,20.0,4,mlp
