p_call,p_put,p_skip
0.13950421,0.053532984,0.8069628
0.14002694,0.052032392,0.80794066
0.14144857,0.05122664,0.80732477
0.13978902,0.051781844,0.8084292
0.14640886,0.05021039,0.8033808
0.16704138,0.0475706,0.78538805
0.16753462,0.045221273,0.78724414
0.16316703,0.045065504,0.7917674
0.2836853,0.2974564,0.41885832
0.27981457,0.31526324,0.40492213
0.26533628,0.29507315,0.43959054
0.25361335,0.32260796,0.4237787
0.25136876,0.32022485,0.42840645
0.24315478,0.32214057,0.43470466
0.2491114,0.3199928,0.43089575
0.22695838,0.29082003,0.4822215
0.28249595,0.3495303,0.3679737
0.28422573,0.3481115,0.36766276
0.28345153,0.34991333,0.36663514
0.28608435,0.3472752,0.36664048
0.28170037,0.35276192,0.36553773
0.27667937,0.34845632,0.37486428
0.27116743,0.33936477,0.38946778
0.26841167,0.3411506,0.3904377
0.26683673,0.33249685,0.40066642
0.2673347,0.3320557,0.40060964
0.2639083,0.32151163,0.4145801
0.26228172,0.33066976,0.40704855
0.2622447,0.3200252,0.41773006
0.2642737,0.32065594,0.41507038
0.26632357,0.2974584,0.43621808
0.26593587,0.29788324,0.43618092
0.2640779,0.2958914,0.4400307
0.2653705,0.28311878,0.4515108
0.19923474,0.078714125,0.72205114
0.21382597,0.073385924,0.7127881
0.24595296,0.070637956,0.6834091
0.24583639,0.07028176,0.6838818
0.24941926,0.07139335,0.6791874
0.30376133,0.3201927,0.3760459
0.2521315,0.08315208,0.6647165
0.25279072,0.08889499,0.6583143
0.25057307,0.087149434,0.6622775
0.2959927,0.2380023,0.466005
0.2546765,0.07299577,0.67232776
0.3221793,0.27870858,0.39911208
0.3201643,0.27717313,0.40266258
0.31724286,0.27457958,0.40817758
0.31079996,0.2672823,0.42191777
0.26547945,0.07819507,0.65632546
0.37477124,0.07329197,0.55193675
0.35156217,0.3039904,0.34444743
0.29956067,0.29636925,0.40407005
0.2816653,0.2972986,0.4210361
0.30657375,0.30421486,0.38921142
0.30596656,0.3032426,0.39079085
0.28158572,0.31901437,0.39939994
