p_call,p_put,p_skip
0.13941861475567033,0.07645330095486515,0.7841280842894646
0.16093039021497793,0.11881328797403477,0.7202563218109873
0.1436308155695549,0.09361831445916546,0.7627508699712796
0.1534543742377046,0.1110529925554865,0.7354926332068089
0.14447144788632096,0.10663860246195453,0.7488899496517245
0.15225381445470987,0.09388111994558215,0.753865065599708
0.1150570234279577,0.005335813035912901,0.8796071635361293
0.09210293216637631,0.0031271982586726435,0.904769869574951
0.14445680361071042,0.11278191893900907,0.7427612774502804
0.1489791683260988,0.10802664984965454,0.7429941818242466
0.1311383362925494,0.09016595597949648,0.7786957077279542
0.12935317384805806,0.08760478326420379,0.7830420428877383
0.10462693787651997,0.08437844066853847,0.8109946214549415
0.10563043280504097,0.08374056420517327,0.8106290029897858
0.0589107507575403,0.07955007265125721,0.8615391765912025
0.0699837918389134,0.06903175677688735,0.8609844513841993
0.1431412302366781,0.09587034639852039,0.7609884233648015
0.000971985079317179,0.003484128552961584,0.9955438863677213
0.0020015665970477296,0.04494034147656388,0.9530580919263884
0.0018439922807406848,0.049828903691589536,0.9483271040276698
0.025573677363253538,0.03618551700792332,0.9382408056288232
0.026326557194632807,0.041784683980671165,0.931888758824696
0.01678260707798705,0.06139881096327673,0.9218185819587362
0.022439973220212062,0.0011128819594093972,0.9764471448203785
0.018107860140071895,0.0010798029930497567,0.9808123368668784
0.0458298507345097,0.003464338956409227,0.9507058103090811
0.23550764470662722,0.11906298498426598,0.6454293703091067
0.2425353055789586,0.14417691413384312,0.6132877802871983
0.23649132792415378,0.1353059573893649,0.6282027146864813
0.2167631832039658,0.13726669460292548,0.6459701221931088
0.22764230219395543,0.1373707728443241,0.6349869249617205
0.24528277033716397,0.12619964781990625,0.6285175818429298
0.24276696752944021,0.11956230754906222,0.6376707249214976
0.21201000738445364,0.1274723327935844,0.660517659821962
0.21183102681832705,0.11950155047372965,0.6686674227079433
0.2039157794954153,0.11251288560695541,0.6835713348976293
0.20347642778628172,0.10722316569578541,0.6893004065179329
0.1987244083679274,0.07519597648517445,0.7260796151468981
0.2308286533114914,0.08796524596459927,0.6812061007239093
0.0579607642180878,0.005208833774904851,0.9368304020070074
0.029846054327040746,0.003206034917997439,0.9669479107549618
0.23523931099824621,0.08253727967540749,0.6822234093263463
0.23943410274513025,0.08525882272712758,0.6753070745277422
0.2415755336433821,0.09028981236750004,0.6681346539891179
0.24865161682667222,0.10080890184435963,0.6505394813289682
0.23617619664457137,0.09442048120931847,0.6694033221461102
0.23269584933315798,0.09364042786477296,0.6736637228020691
0.2265476779221994,0.08960481604147491,0.6838475060363257
0.21336014729071215,0.08563097960013043,0.7010088731091574
0.19270370170329998,0.08023607097327091,0.7270602273234291
0.18792851488110715,0.077010051831304,0.7350614332875889
0.1943721646448812,0.07778611879563677,0.727841716559482
0.1485613565178132,0.0611678624066169,0.7902707810755699
0.14599606493189984,0.04604304570648485,0.8079608893616153
0.14377237788184835,0.03658684100342997,0.8196407811147217
