p_call,p_put,p_skip
1.7361508148037056e-08,0.00018967592169945492,0.9998103067167924
8.463797273540528e-05,5.690922398801488e-14,0.9999153620272077
0.9463194439620696,2.6552776602398196e-08,0.053680529485153824
2.5796602308451096e-15,5.9513275993584274e-05,0.9999404867240037
1.7355478635683198e-11,0.0007628315387135676,0.9992371684439311
3.8840596496618595e-20,0.9818463962261625,0.018153603773837356
0.05211984465777219,0.1297997880963829,0.8180803672458449
0.9999727572193139,1.0253853496986172e-21,2.7242780686211736e-05
0.00017927738051065818,9.156987721158087e-11,0.9998207225279194
2.374447786573986e-06,1.8798503564595183e-13,0.9999976255520254
0.9625194209128023,1.0376236233683796e-17,0.03748057908719767
0.009836530407699794,2.779509176656053e-11,0.9901634695645052
0.9981152142049557,1.106120351809336e-16,0.0018847857950443161
1.1153175354418038e-07,1.550805184233531e-07,0.999999733387728
6.76758179492346e-16,3.731766535584645e-11,0.9999999999626816
4.011245782247912e-12,0.012059656301965602,0.9879403436940232
1.5279330502696031e-13,0.9995836882451522,0.00041631175469500494
4.314354245005102e-18,0.9999995218982703,4.781017297058592e-07
3.4805185233891486e-20,0.9999946010820919,5.398917907961985e-06
8.603315862717334e-12,0.9861142008760021,0.013885799115394771
1.8317317137738947e-10,0.7744503502671924,0.22554964954963438
4.43835773428794e-14,0.6790801641120178,0.32091983588793793
0.0024439481104697462,3.782637465849599e-11,0.9975560518517038
0.0015042389148950416,1.4108755606308921e-07,0.9984956199975489
3.0377037714077175e-17,0.9997869098526999,0.00021309014730005462
2.0845545814604934e-14,2.315608596630438e-07,0.9999997684391194
3.6678271615587015e-13,0.0001765506078612296,0.999823449391772
1.7546364417607893e-08,5.685268035076314e-08,0.9999999256009553
1.3543446879096246e-12,6.005452374006186e-13,0.9999999999980451
3.634570956024571e-18,0.006419347820798608,0.9935806521792014
7.365931233322005e-19,1.0120700623967468e-12,0.9999999999989879
2.7853169440708134e-17,0.9851972898000647,0.01480271019993523
1.3848667713053614e-11,0.006357060827365009,0.9936429391587863
1.3747617421246548e-11,0.998889034951493,0.0011109650347593315
2.370784792241623e-15,0.9965306237136355,0.0034693762863620354
1.4874711683497102e-12,0.003456213413122489,0.99654378658539
3.077079320946532e-09,0.001194849632520209,0.9988051472904006
5.896379576416415e-06,0.847898310229737,0.1520957933906867
7.731517144214414e-08,0.061484963330791634,0.9385149593540368
3.4574560494009427e-10,2.3112160554400335e-06,0.9999976884381989
1.3952978104877062e-18,4.262530678061495e-12,0.9999999999957374
8.740162890189788e-16,1.651716537227276e-05,0.9999834828346269
2.140461929379856e-06,1.9027353035312314e-05,0.9999788321850352
0.03786782314069861,5.474288884273477e-09,0.9621321713850125
2.451772318347062e-11,1.2542274400609557e-09,0.9999999987212549
4.7069518666304194e-14,4.135604102914459e-13,0.9999999999995395
3.180133881544754e-08,0.00035072707713508706,0.9996492411215261
2.8855918155801217e-15,0.9576461966965455,0.04235380330345152
1.2004585124683257e-15,6.153674064230416e-07,0.9999993846325924
6.280294457410939e-10,0.057949787616295524,0.942050211755675
7.10900156892167e-16,0.9874389203343665,0.01256107966563278
7.211233097774136e-13,0.3393696973033088,0.66063030269597
4.077700534522531e-21,0.9999939524570531,6.047542946820699e-06
1.0220010578441159e-21,0.9999999843510947,1.564890519256879e-08
9.626795977382118e-12,0.9995872615705665,0.00041273841980664057
7.00940124069676e-13,0.9950021713933715,0.004997828605927569
1.410411471220107e-23,0.9999999999999198,8.008333871673461e-14
6.854574920775035e-17,0.9999999733140177,2.6685982307159312e-08
2.1082987571775014e-16,0.9999970154913636,2.984508636224866e-06
1.5290859767945404e-23,0.9999999995892765,4.107233740906662e-10
1.8406392805047482e-20,0.9999999944445821,5.555417926658243e-09
2.5049172369971513e-24,0.9999999992451825,7.548176199926716e-10
2.328505057139511e-14,0.999999031588051,9.684119256316982e-07
0.00044276905837931405,0.023144821740870406,0.9764124092007503
8.58984064948827e-17,0.999999995175257,4.824743073437888e-09
2.2544820990715168e-07,3.7319473595476625e-06,0.9999960426044305
5.732117241290136e-06,7.641057227903339e-07,0.9999935037770358
5.462941030876176e-08,1.2660375125153874e-09,0.9999999441045522
1.7315666942015257e-07,2.2340554460255947e-08,0.999999804502776
6.357210186608471e-11,2.0210890092325183e-25,0.999999999936428
