date,bn,nf,usd
2015-01-02,19057.80078125,8395.4501953125,63.02799987792969
2015-01-05,19017.400390625,8378.400390625,63.27799987792969
2015-01-06,18430.75,8127.35009765625,63.3380012512207
2015-01-07,18304.25,8102.10009765625,63.56800079345703
2015-01-08,18701.400390625,8234.599609375,63.27299880981445
2015-01-09,18637.25,8284.5,62.667999267578125
2015-01-12,18795.849609375,8323.0,62.347999572753906
2015-01-13,18707.19921875,8299.400390625,62.06800079345703
2015-01-14,18603.80078125,8277.5498046875,61.972999572753906
2015-01-15,19235.650390625,8494.150390625,62.0880012512207
2015-01-16,19223.150390625,8513.7998046875,62.05799865722656
2015-01-19,19406.05078125,8550.7001953125,61.862998962402344
2015-01-20,19767.05078125,8695.599609375,61.63800048828125
2015-01-21,19843.25,8729.5,61.64799880981445
2015-01-22,19917.650390625,8761.400390625,61.553001403808594
2015-01-23,20072.69921875,8835.599609375,61.597999572753906
2015-01-27,20555.25,8910.5,61.472999572753906
2015-01-28,20491.75,8914.2998046875,61.40299987792969
2015-01-29,20528.599609375,8952.349609375,61.35100173950195
2015-01-30,19843.75,8808.900390625,61.79600143432617
2015-02-02,19865.900390625,8797.400390625,62.01300048828125
2015-02-03,19382.94921875,8756.5498046875,61.72800064086914
2015-02-04,19174.0,8723.7001953125,61.61399841308594
2015-02-05,19051.900390625,8711.7001953125,61.86000061035156
2015-02-06,18786.69921875,8661.0498046875,61.733001708984375
2015-02-09,18403.849609375,8526.349609375,61.9630012512207
2015-02-10,18752.5,8565.5498046875,62.130001068115234
2015-02-11,18940.80078125,8627.400390625,62.34199905395508
2015-02-12,19128.599609375,8711.5498046875,62.38199996948242
2015-02-13,19369.69921875,8805.5,62.16999816894531
2015-02-16,19189.94921875,8809.349609375,62.069000244140625
2015-02-18,19296.5,8869.099609375,62.11199951171875
2015-02-19,19188.30078125,8895.2998046875,62.07400131225586
2015-02-20,19073.55078125,8833.599609375,62.165000915527344
2015-02-23,18913.400390625,8754.9501953125,62.10100173950195
2015-02-24,18883.80078125,8762.099609375,62.17100143432617
2015-02-25,18733.05078125,8767.25,62.233001708984375
2015-02-26,18538.099609375,8683.849609375,61.87699890136719
2015-02-27,19074.55078125,8844.599609375,61.75400161743164
2015-03-02,20008.099609375,8956.75,61.6510009765625
2015-03-03,19961.19921875,8996.25,61.9010009765625
2015-03-04,19643.900390625,8922.650390625,61.8129997253418
2015-03-05,19748.0,8937.75,62.30500030517578
2015-03-09,19145.55078125,8756.75,62.452999114990234
2015-03-10,19054.400390625,8712.0498046875,62.67300033569336
2015-03-11,19044.0,8699.9501953125,62.7130012512207
2015-03-12,19141.849609375,8776.0,62.755001068115234
2015-03-13,18779.80078125,8647.75,62.53499984741211
2015-03-16,18837.349609375,8633.150390625,63.07600021362305
2015-03-17,19058.25,8723.2998046875,62.78900146484375
2015-03-18,19147.25,8685.900390625,62.61600112915039
2015-03-19,18811.150390625,8634.650390625,62.69300079345703
2015-03-20,18606.349609375,8570.900390625,62.483001708984375
2015-03-23,18449.0,8550.900390625,62.40299987792969
2015-03-24,18331.44921875,8542.9501953125,62.222999572753906
2015-03-25,18310.099609375,8530.7998046875,62.27799987792969
2015-03-26,17831.650390625,8342.150390625,62.46200180053711
2015-03-27,18044.80078125,8341.400390625,62.82899856567383
2015-03-30,18361.80078125,8492.2998046875,62.51499938964844
2015-03-31,18206.650390625,8491.0,62.50899887084961
2015-04-01,18617.849609375,8586.25,62.305999755859375
