time,year,dir,reason,net_option,gross_option,cost,delta_model,prem_entry,prem_exit,iv,sl_pts,trail,entry_time,hold_min,fold
2024-07-02 10:10:00,2024,PUT,FLOOD_EXIT,-1294.4188367347829,-1202.33599618462,92.08284055016301,-1249.6250000000236,104.49495230132925,85.99747543695048,0.1383,67.7,False,2024-07-02 09:40:00,30.0,1
2024-07-04 15:20:00,2024,PUT,SQUARE_OFF,-204.66269230895773,-126.46816966735969,78.19452264159804,529.7500000000946,42.82826212175678,40.88259797302817,0.13205,49.1,False,2024-07-04 10:55:00,265.0,1
2024-07-05 14:40:00,2024,PUT,BE_SL,-34.061662760796395,80.83248268369971,114.8941454444961,97.5,151.5945138804982,152.8380905371705,0.12855,31.4,False,2024-07-05 14:15:00,25.0,1
2024-07-05 15:00:00,2024,PUT,BE_SL,-31.695186007451312,86.37468530724618,118.0698713146975,97.5,158.70069400361172,160.0295353160309,0.12855,34.1,False,2024-07-05 14:40:00,20.0,1
2024-07-08 12:15:00,2024,PUT,BE_SL,-45.643573632029174,43.36383768781161,89.00741131984078,97.5,93.64447084200765,94.31160680643552,0.12019247217335881,45.9,False,2024-07-08 11:10:00,65.0,1
2024-07-10 10:20:00,2024,PUT,TP,4528.9390474363445,4616.8082207199495,87.86917328360515,3948.75,67.38924009115908,138.417058871466,0.1321725907986812,45.5,True,2024-07-10 09:35:00,45.0,1
2024-07-10 11:25:00,2024,PUT,FLOOD_EXIT,-174.04204744864592,-93.24882237260681,80.79322507603912,-87.75000000002365,63.9529617980952,62.51836453082433,0.1321725907986812,82.6,False,2024-07-10 11:15:00,10.0,1
2024-07-11 12:05:00,2024,PUT,TRAIL_SL,217.65828885222805,318.1799063195831,100.52161746735503,1082.2499999999764,118.60124848738451,123.49632396922425,0.5950340531362539,42.4,True,2024-07-11 11:20:00,45.0,1
2024-07-16 13:00:00,2024,PUT,SL,-874.7874669620439,-795.713663557899,79.07380340414483,-975.0,57.942617335675095,45.70086866555357,0.09698847916200588,30.0,False,2024-07-16 12:30:00,30.0,1
2024-07-16 14:35:00,2024,PUT,TRAIL_SL,732.0622502621778,816.0628783393986,84.00062807722072,740.9999999999764,79.86006086367888,92.4148743765927,0.09698847916200588,32.0,True,2024-07-16 14:15:00,20.0,1
2024-07-16 15:20:00,2024,PUT,SQUARE_OFF,-99.5826357475534,-19.087073156442784,80.49556259111061,6.4999999999054126,60.620490426024844,60.326843146694955,0.09698847916200588,36.2,False,2024-07-16 14:45:00,35.0,1
2024-07-18 12:10:00,2024,PUT,SL,-2273.906079007776,-2190.6799872266765,83.22609178109971,-2005.2500000000236,87.76286864147369,54.060099607217126,0.40211401671866553,61.7,False,2024-07-18 11:40:00,30.0,1
2024-07-19 14:45:00,2024,PUT,TRAIL_SL,1292.7580669549798,1437.6148015136278,144.85673455864804,1537.5749999999243,214.5022525202112,236.61940331272854,0.18622288542733947,46.9,True,2024-07-19 13:50:00,55.0,1
2024-07-22 10:05:00,2024,PUT,FLOOD_EXIT,-1996.4062745868798,-1851.39172473685,145.01454985002985,-1901.25,225.28990110512677,196.80695149379062,0.2441961185330779,90.0,False,2024-07-22 09:35:00,30.0,1
2024-07-23 12:20:00,2024,PUT,TP,10019.462474780386,10134.285297252572,114.82282247218623,7834.125000000095,119.54218902863431,275.45427052482773,0.16090790060348495,90.0,True,2024-07-23 12:00:00,20.0,1
2024-07-23 13:55:00,2024,PUT,SL,-2595.2373268728534,-2501.843101882878,93.39422498997534,-2925.0,111.5590348977712,73.06914102265,0.16090790060348495,90.0,False,2024-07-23 13:15:00,40.0,1
2024-07-23 15:05:00,2024,CALL,BE_SL,-15.306932521245756,82.65115210327167,97.95808462451743,97.5,113.5979155775658,114.86947176376998,0.16090790060348495,90.0,False,2024-07-23 14:55:00,10.0,1
2024-07-24 10:30:00,2024,PUT,BE_SL,-33.408284746189864,55.06181082162584,88.4700955678157,97.5,92.40205946563583,93.249164247507,0.1549656189107031,90.0,False,2024-07-24 10:00:00,30.0,1
2024-07-24 11:30:00,2024,PUT,BE_SL,-78.90576214905381,10.791053746934267,89.69681589598808,97.5,95.29426726281781,95.46028347430911,0.1549656189107031,90.0,False,2024-07-24 10:30:00,60.0,1
2024-07-24 13:35:00,2024,PUT,BE_SL,-18.447916750382518,66.01627485183599,84.4641916022185,97.5,83.38129884078262,84.39693383850317,0.1549656189107031,59.4,False,2024-07-24 13:15:00,20.0,1
2024-07-24 14:15:00,2024,PUT,TRAIL_SL,780.5005218452366,863.1896588522613,82.68913700702477,974.0250000000378,68.45102013246651,81.73086103788592,0.1549656189107031,56.5,True,2024-07-24 13:40:00,35.0,1
2024-07-24 14:25:00,2024,PUT,SL,-1790.0109057437141,-1706.0915838961955,83.91932184751869,-1794.0000000000236,87.78066800368288,61.53310517451064,0.1549656189107031,55.2,False,2024-07-24 14:15:00,10.0,1
2024-07-26 13:10:00,2024,CALL,TP,3001.702268495675,3116.272680150196,114.57041165452075,2788.4999999999764,141.23906086475472,189.18171748245004,0.10725641126831616,31.9,True,2024-07-26 12:35:00,35.0,1
2024-07-29 12:30:00,2024,PUT,SL,-1890.7724396838062,-1796.1655544200585,94.60688526374781,-2063.75,112.04065979329789,84.40734357145084,0.13186289233147028,63.5,False,2024-07-29 12:15:00,15.0,1
2024-07-29 13:55:00,2024,PUT,BE_SL,-28.310916432819297,68.23296146038956,96.54387789320886,97.5,110.47131743935824,111.52105530797962,0.13186289233147028,67.2,False,2024-07-29 13:25:00,30.0,1
2024-07-29 14:20:00,2024,PUT,TRAIL_SL,867.9188610072413,972.8530511531062,104.93419014586495,929.1750000000047,126.42269001287423,141.38966003061432,0.13186289233147028,53.3,True,2024-07-29 13:55:00,25.0,1
2024-07-29 15:05:00,2024,PUT,BE_SL,-36.88691071528814,56.013255949419545,92.90016666470768,97.5,102.33653938889438,103.19828178811622,0.13186289233147028,57.7,False,2024-07-29 14:25:00,40.0,1
2024-07-30 14:15:00,2024,PUT,SL,-1435.281052383948,-1346.3231365911815,88.95791579276643,-1407.2499999999764,97.94191445201068,77.22925081214635,0.13215537538873262,43.3,False,2024-07-30 13:20:00,55.0,1
2024-08-02 11:10:00,2024,PUT,BE_SL,-36.52081600636208,74.84528801208398,111.36610401844607,97.5,143.69943410791893,144.8509000773356,0.12129036970485323,59.5,False,2024-08-02 10:35:00,35.0,1
