time,year,dir,reason,net_option,gross_option,cost,delta_model,prem_entry,prem_exit,iv,sl_pts,trail,entry_time,hold_min,fold,ensemble
2026-03-12 13:55:00,2026,CALL,BE_SL,-263.13438656865503,-99.22504289985227,163.90934366880276,97.5,262.11618597307825,260.58964685154206,0.2284161843179514,90.0,False,2026-03-12 11:10:00,165.0,7,weighted
2026-03-16 12:30:00,2026,CALL,BE_SL,-185.6945757902786,-64.95103155742981,120.74354423284879,97.5,165.17830161383426,164.1790549744892,0.31406516476318047,90.0,False,2026-03-16 11:40:00,50.0,7,weighted
2026-03-16 14:20:00,2026,CALL,TP,6608.239302745833,6739.636560365398,131.39725761956495,5850.0,167.49058731831246,271.1773036316263,0.31406516476318047,90.0,False,2026-03-16 12:35:00,105.0,7,weighted
2026-03-23 12:35:00,2026,PUT,BE_SL,-190.71313670060238,-48.51285645648204,142.20028024412034,97.5,213.25772466677154,212.5113730289795,0.4234836663163435,90.0,False,2026-03-23 12:00:00,35.0,7,weighted
2026-03-23 13:40:00,2026,PUT,BE_SL,-276.49674980687894,-134.9826809174192,141.51406888945976,97.5,211.9927273422163,209.91607071271756,0.4234836663163435,90.0,False,2026-03-23 12:45:00,55.0,7,weighted
2026-03-24 10:50:00,2026,CALL,BE_SL,-163.79539188410405,-51.743349197813586,112.05204268629046,97.5,145.63970012983373,144.84364860371352,0.6412583078151555,90.0,False,2026-03-24 10:40:00,10.0,7,weighted
2026-03-24 12:20:00,2026,CALL,TP,7660.592045201076,7782.511761861806,121.9197166607299,6938.75,142.92235860230358,262.6533087847929,0.6412583078151555,90.0,True,2026-03-24 10:50:00,90.0,7,weighted
2026-03-24 13:45:00,2026,CALL,TRAIL_SL,1029.1821825623351,1119.0906180226375,89.90843546030226,1920.7499999999527,92.25313764202656,109.46991638083637,0.6412583078151555,90.0,True,2026-03-24 13:05:00,40.0,7,weighted
2026-03-25 12:50:00,2026,CALL,TRAIL_SL,1583.9755586085594,1696.2197221936822,112.24416358512278,1703.3249999999953,140.52564165012518,166.62132968387414,0.2527797176419525,90.0,True,2026-03-25 11:40:00,70.0,7,weighted
2026-03-25 13:20:00,2026,CALL,BE_SL,-75.35940781034803,25.25233699833734,100.61174480868537,97.5,119.73266867286293,120.12116616514504,0.2527797176419525,89.3,False,2026-03-25 12:55:00,25.0,7,weighted
