time,year,dir,reason,net_option,gross_option,cost,delta_model,prem_entry,prem_exit,iv,sl_pts,trail,entry_time,hold_min,fold,ensemble
2026-01-21 13:10:00,2026,CALL,TRAIL_SL,1996.6305694498412,2119.658298202221,123.02772875237969,1983.1500000000142,163.37197989074775,195.9821075553973,0.12252495817979173,83.2,True,2026-01-21 12:30:00,40.0,7,median
2026-03-09 10:50:00,2026,PUT,BE_SL,-80.85479287308206,61.132537495923316,141.98733036900538,97.5,212.43221177596934,213.3727123528297,0.3774198298102582,90.0,False,2026-03-09 10:40:00,10.0,7,median
2026-03-09 14:40:00,2026,CALL,BE_SL,-331.4965766853844,-193.50069659401925,137.99588009136517,97.5,204.28639119931904,201.3094574055649,0.3774198298102582,84.9,False,2026-03-09 13:30:00,70.0,7,median
2026-03-10 11:50:00,2026,CALL,BE_SL,-1423.9049268008332,-1289.1132142044353,134.79171259639787,97.5,200.57441568596914,180.7419046982086,0.9127073290026293,90.0,False,2026-03-10 10:55:00,55.0,7,median
2026-03-12 12:05:00,2026,CALL,FLOOD_EXIT,-735.8295169861238,-572.5895960010257,163.2399209850981,-500.49999999992906,262.11618597307825,253.30711526537016,0.2284161843179514,90.0,False,2026-03-12 11:10:00,55.0,7,median
2026-03-13 11:25:00,2026,PUT,BE_SL,-98.71032606619943,53.42622866516649,152.13655473136592,97.5,235.2233129232336,236.0452549026977,0.25370469301610066,90.0,False,2026-03-13 10:55:00,30.0,7,median
2026-03-13 12:05:00,2026,PUT,FLOOD_EXIT,770.5847369432635,925.8589223097806,155.27418536651717,962.0000000000709,239.49402166062828,253.73800508077875,0.25370469301610066,90.0,False,2026-03-13 11:55:00,10.0,7,median
2026-03-16 12:15:00,2026,CALL,FLOOD_EXIT,317.8412379926299,439.2978809525721,121.45664295994219,537.8749999999764,165.17830161383426,171.93673055156614,0.31406516476318047,90.0,False,2026-03-16 11:40:00,35.0,7,median
2026-03-17 11:05:00,2026,CALL,BE_SL,-126.65228338392959,-48.66786438922645,77.98441899470313,97.5,40.178057039251144,39.429320664032275,0.216025,90.0,False,2026-03-17 10:40:00,25.0,7,median
2026-03-17 11:25:00,2026,CALL,SL,-2045.8720390647181,-1970.4774207994342,75.39461826528402,-2925.0,41.23758437323704,10.922547130168823,0.216025,90.0,False,2026-03-17 11:05:00,20.0,7,median
2026-03-20 12:20:00,2026,CALL,SL,-3029.2662761665856,-2873.607003509178,155.65927265740766,-2925.0,252.41080332196543,208.20146480643962,0.24804726209382688,90.0,False,2026-03-20 11:55:00,25.0,7,median
2026-03-23 12:35:00,2026,PUT,BE_SL,-190.71313670060238,-48.51285645648204,142.20028024412034,97.5,213.25772466677154,212.5113730289795,0.4234836663163435,90.0,False,2026-03-23 12:00:00,35.0,7,median
2026-03-24 10:55:00,2026,CALL,BE_SL,-318.57197270550694,-214.33196323692755,104.24000946857942,97.5,128.6315890821843,125.33417426315464,0.6412583078151555,90.0,False,2026-03-24 10:35:00,20.0,7,median
2026-03-24 11:20:00,2026,CALL,FLOOD_EXIT,-107.6208180849185,-3.107404115553436,104.51341396936506,159.2500000000473,128.57482501561753,128.52701879845517,0.6412583078151555,90.0,False,2026-03-24 11:10:00,10.0,7,median
2026-03-25 11:55:00,2026,CALL,BE_SL,-88.33092441285949,16.748838907369645,105.07976332022913,97.5,129.78226561277734,130.0399400575061,0.2527797176419525,90.0,False,2026-03-25 11:25:00,30.0,7,median
2026-03-30 13:25:00,2026,CALL,SL,-5056.06965795873,-4918.320610404735,137.7490475539953,-2925.0,218.7211344870011,143.0546635576975,1.2827095454201083,90.0,False,2026-03-30 12:35:00,50.0,7,median
