iter	Passed	Remaining
398	82590	62305
399	82811	62108
400	82978	61871
401	83182	61662
402	83331	61413
403	83540	61208
404	83734	60991
405	83918	60768
406	84137	60570
407	84330	60354
408	84559	60163
409	84750	59945
410	84898	59697
411	85089	59480
412	85302	59277
413	85497	59063
414	85709	58860
415	85915	58653
416	86078	58417
417	86279	58207
418	86459	57983
419	86699	57799
420	86877	57574
421	87113	57387
422	87367	57212
423	87539	56983
424	87733	56768
425	87926	56553
426	88145	56355
427	88390	56173
428	88684	56022
429	88977	55869
430	89252	55705
431	89453	55494
432	89656	55284
433	89866	55079
434	90069	54869
435	90259	54652
436	90485	54456
437	90661	54231
438	90831	54002
439	91011	53779
440	91208	53566
441	91385	53342
442	91536	53103
443	91757	52905
444	91955	52693
445	92146	52477
446	92379	52286
447	92638	52109
448	92830	51894
449	93009	51672
450	93231	51473
451	93462	51280
452	93639	51057
453	93834	50844
454	94050	50642
455	94216	50414
456	94380	50184
457	94584	49977
458	94814	49782
459	95010	49570
460	95186	49348
461	95344	49116
462	95532	48901
463	95760	48705
464	95949	48490
465	96147	48280
466	96355	48074
467	96538	47856
468	96720	47638
469	96938	47437
470	97152	47235
471	97351	47025
472	97573	46827
473	97765	46613
474	97976	46410
475	98147	46186
476	98315	45962
477	98497	45745
478	98666	45522
479	98857	45309
480	99056	45100
481	99273	44899
482	99445	44678
483	99642	44468
484	99859	44267
485	100050	44055
486	100267	43854
487	100433	43630
488	100646	43428
489	100846	43219
490	101068	43021
491	101279	42817
492	101448	42596
493	101634	42382
494	101873	42189
495	102068	41979
496	102290	41780
497	102503	41577
498	102715	41374
499	102870	41148
500	103078	40943
501	103252	40725
502	103449	40515
503	103655	40310
504	103866	40106
505	104071	39901
506	104285	39698
507	104437	39472
508	104670	39276
509	104861	39066
510	105033	38848
511	105228	38638
512	105418	38427
513	105614	38218
514	105829	38016
515	106025	37807
516	106244	37606
517	106491	37415
518	106653	37195
519	106857	36989
520	107030	36772
521	107239	36568
522	107440	36361
523	107610	36143
524	107799	35933
525	108035	35738
526	108256	35537
527	108467	35334
528	108647	35120
529	108809	34901
530	108997	34690
531	109168	34474
532	109330	34255
533	109549	34054
534	109729	33841
535	109947	33640
536	110097	33418
537	110304	33214
538	110543	33019
539	110699	32799
540	110842	32576
541	111086	32383
542	111320	32186
543	111516	31979
544	111708	31770
545	111903	31562
546	112065	31345
547	112229	31129
548	112480	30937
549	112672	30728
550	112882	30525
551	113068	30315
552	113238	30101
553	113425	29891
554	113645	29691
555	113849	29486
556	114098	29292
557	114338	29096
558	114567	28898
559	114766	28691
560	114956	28482
561	115114	28266
562	115345	28068
563	115691	27897
564	115890	27690
565	116093	27485
566	116306	27281
567	116565	27089
568	116763	26882
569	116989	26681
570	117202	26478
571	117433	26278
572	117673	26081
573	117875	25875
574	118151	25685
575	118335	25474
576	118543	25270
577	118772	25069
578	118999	24868
579	119196	24661
580	119362	24447
581	119565	24241
582	119761	24034
583	119953	23826
584	120163	23621
585	120399	23422
586	120576	23211
587	120813	23012
588	121002	22803
589	121239	22603
590	121466	22402
591	121653	22193
592	121876	21991
593	122061	21781
594	122252	21574
595	122450	21367
596	122650	21160
597	122908	20964
598	123107	20757
599	123343	20557
600	123530	20348
601	123705	20138
602	123890	19929
603	124086	19722
604	124253	19510
605	124454	19304
606	124642	19096
607	124846	18891
608	125049	18685
609	125222	18475
610	125408	18267
611	125617	18062
612	125824	17857
613	126038	17653
614	126219	17444
615	126401	17236
616	126545	17023
617	126756	16818
618	126928	16609
619	127136	16404
620	127330	16198
621	127534	15993
622	127743	15788
623	127932	15581
624	128135	15376
625	128340	15171
626	128530	14964
627	128746	14760
628	128965	14557
629	129160	14351
630	129364	14146
631	129529	13936
632	129748	13733
633	129943	13527
634	130168	13324
635	130363	13118
636	130520	12908
637	130678	12699
638	130849	12491
639	131008	12282
640	131199	12076
641	131415	11872
642	131738	11678
643	131943	11473
644	132148	11268
645	132349	11063
646	132578	10860
647	132849	10660
648	133107	10459
649	133368	10259
650	133543	10051
651	133709	9843
652	133889	9636
653	134047	9428
654	134240	9222
655	134462	9018
656	134681	8814
657	134875	8609
658	135094	8404
659	135309	8200
660	135523	7996
661	135782	7794
662	135965	7587
663	136238	7386
664	136438	7180
665	136690	6978
666	136865	6771
667	137031	6564
668	137255	6360
669	137452	6154
670	137649	5949
671	137800	5741
672	137991	5536
673	138184	5330
674	138396	5125
675	138570	4919
676	138791	4715
677	138951	4508
678	139151	4303
679	139404	4100
680	139658	3896
681	139868	3691
682	140068	3486
683	140297	3281
684	140509	3076
685	140717	2871
686	140921	2666
687	141100	2461
688	141262	2255
689	141479	2050
690	141648	1844
691	141859	1639
692	142041	1434
693	142228	1229
694	142401	1024
695	142631	819
696	142795	614
697	142993	409
698	143218	204
699	143426	0
