iter	MultiClass
405	0.8438942023
406	0.843838479
407	0.8437794765
408	0.84371324
409	0.8436353543
410	0.843560117
411	0.8435211634
412	0.8434372494
413	0.8433979627
414	0.8433274762
415	0.8432778289
416	0.8432165181
417	0.8431495378
418	0.8430651512
419	0.8430000479
420	0.8429445211
421	0.8428848457
422	0.8428186334
423	0.8427476044
424	0.8426996769
425	0.842332611
426	0.8422699157
427	0.8421234353
428	0.8416502109
429	0.8411345391
430	0.8410554202
431	0.840509174
432	0.8404604745
433	0.8401870853
434	0.8400951185
435	0.840026541
436	0.8399525178
437	0.8398718056
438	0.8398225116
439	0.8397666455
440	0.8396827353
441	0.8396257884
442	0.839549721
443	0.8394702897
444	0.839393292
445	0.8392995939
446	0.8392327867
447	0.8391369504
448	0.839041533
449	0.838974117
450	0.8389120155
451	0.8388028478
452	0.838719353
453	0.8386668613
454	0.8385844217
455	0.8385008165
456	0.8384359676
457	0.8383858532
458	0.8383240013
459	0.8382663421
460	0.8380187925
461	0.8379572197
462	0.8378886956
463	0.8378371649
464	0.8377582231
465	0.8372949512
466	0.8372172141
467	0.8371593945
468	0.8370831345
469	0.8366182601
470	0.836522068
471	0.836443714
472	0.8359949956
473	0.8359250065
474	0.8358494739
475	0.8357689054
476	0.8357308862
477	0.8356611587
478	0.8355977366
479	0.8355366926
480	0.8354792835
481	0.8354275996
482	0.8353680376
483	0.8353076351
484	0.8352401243
485	0.8351896323
486	0.8351316332
487	0.8350609614
488	0.8350135104
489	0.8349542848
490	0.8348855662
491	0.8343979273
492	0.8343299124
493	0.8342409229
494	0.8341781709
495	0.834110172
496	0.8340623038
497	0.8339798463
498	0.83390381
499	0.8338273907
500	0.833394124
501	0.8333350359
502	0.8332831551
503	0.8332048978
504	0.8327470086
505	0.8326982128
506	0.8326228313
507	0.8325659483
508	0.8325008741
509	0.8324183466
510	0.832344677
511	0.8322999601
512	0.8322242362
513	0.8321498728
514	0.8320827977
515	0.8319935903
516	0.8316116553
517	0.8315300353
518	0.8314685245
519	0.8313768715
520	0.8313197192
521	0.8312516821
522	0.8311724368
523	0.8310919479
524	0.8310152414
525	0.8309438687
526	0.8308637984
527	0.8307926353
528	0.8307041638
529	0.8306403915
530	0.8305520608
531	0.8304911208
532	0.8304242532
533	0.8303525499
534	0.8301474204
535	0.830058406
536	0.8300090636
537	0.8299478912
538	0.8298498026
539	0.829800129
540	0.8297498051
541	0.8296519208
542	0.8295719584
543	0.8294804529
544	0.8294202344
545	0.8293456461
546	0.8293039676
547	0.82925168
548	0.8291729464
549	0.8291011268
550	0.82903274
551	0.8289661774
552	0.828905281
553	0.8288312545
554	0.8287744242
555	0.8287134376
556	0.8286125551
557	0.8285364813
558	0.8284611061
559	0.8283693853
560	0.8283123627
561	0.8282477143
562	0.8281473764
563	0.8278233265
564	0.8277557524
565	0.827715594
566	0.8276420218
567	0.8275710946
568	0.8275017874
569	0.8274378867
570	0.8273698577
571	0.8272266588
572	0.8271270133
573	0.8270717054
574	0.8270246639
575	0.8269674203
576	0.8268744118
577	0.8267697757
578	0.8267130245
579	0.8266198177
580	0.8265880264
581	0.8265193841
582	0.8264578395
583	0.8263764477
584	0.826294542
585	0.8262190924
586	0.8261759237
587	0.8260933423
588	0.8260283586
589	0.8260014519
590	0.8259220778
591	0.8258407051
592	0.8257781964
593	0.8257191415
594	0.8256601793
595	0.8256096271
596	0.8255438359
597	0.8254742958
598	0.8254083311
599	0.8253548105
600	0.8253102855
601	0.8252566136
602	0.8251731683
603	0.8251097534
604	0.8250570212
605	0.8247461521
606	0.8247030408
607	0.8246410437
608	0.8245867061
609	0.824508289
610	0.8244418912
611	0.824375655
612	0.8242927325
613	0.8242377964
614	0.8241464811
615	0.8240736846
616	0.8240388025
617	0.8239859045
618	0.8239277721
619	0.8238596285
620	0.823799806
621	0.8237481272
622	0.823664315
623	0.8236228605
624	0.8235624145
625	0.8234808718
626	0.8234476788
627	0.8233983617
628	0.8233316279
629	0.8231451966
630	0.8230795811
631	0.8230279966
632	0.8229612019
633	0.8229269119
634	0.822851647
635	0.8228044499
636	0.8227505969
637	0.8226979559
638	0.8226245325
639	0.8225645371
640	0.8225027694
641	0.8224497574
642	0.8223982763
643	0.8223562131
644	0.8222606962
645	0.8221869107
646	0.8218577006
647	0.8217943216
648	0.8216988281
649	0.8215869972
650	0.8215194297
651	0.8214575729
652	0.8214133694
653	0.8213700987
654	0.8213013175
655	0.8212586958
656	0.821205954
657	0.8211252425
658	0.8210569866
659	0.8209795433
660	0.8208956442
661	0.8208093715
662	0.8207484886
663	0.8206373353
664	0.8205865376
665	0.8205398714
666	0.8204717993
667	0.8204294225
668	0.8204058407
669	0.8203572586
670	0.8202733311
671	0.8202134999
672	0.820163681
673	0.8200980035
674	0.8200512633
675	0.8200094816
676	0.819945851
677	0.8198868828
678	0.8198092171
679	0.8197371107
680	0.8196527249
681	0.8193903602
682	0.8193217674
683	0.8192462174
684	0.8191804211
685	0.8191389925
686	0.819047336
687	0.8189808978
688	0.8189359264
689	0.8188922264
690	0.8188324059
691	0.8187883464
692	0.8187552657
693	0.8186831021
694	0.8186179659
695	0.8185731681
696	0.818527962
697	0.8184675146
698	0.81839378
699	0.8183409716
