time,year,dir,reason,net_option,gross_option,cost,delta_model,prem_entry,prem_exit,iv,sl_pts,trail,entry_time,hold_min,fold,ensemble
2025-04-01 12:50:00,2025,PUT,FLOOD_EXIT,-195.74915691060255,-103.35322918785096,92.39592772275161,-74.75000000009459,101.71098942336175,100.12093974354866,0.1540218860052448,60.3,False,2025-04-01 12:20:00,30.0,4,performance
2025-04-04 11:25:00,2025,PUT,BE_SL,-16.67987396925993,80.43331449918696,97.1131884684469,97.5,111.70968723123406,112.94712283891386,0.11171101724160706,69.9,False,2025-04-04 11:00:00,25.0,4,performance
2025-04-04 11:30:00,2025,PUT,FLOOD_EXIT,-315.8495342266976,-219.37488856889104,96.47464565780655,-234.00000000002365,111.22838794321069,107.85338965753544,0.11171101724160706,69.1,False,2025-04-04 11:25:00,5.0,4,performance
2025-04-08 11:10:00,2025,CALL,TRAIL_SL,2121.089226746727,2260.4472124559015,139.35798570917433,2081.6249999999764,199.55725336055548,234.3333643214155,0.3632433959509048,90.0,True,2025-04-08 10:55:00,15.0,4,performance
2025-04-08 13:35:00,2025,CALL,BE_SL,-105.06034181819643,23.995645146678726,129.05598696487516,97.5,183.54253966842407,183.91170343991143,0.3632433959509048,90.0,False,2025-04-08 13:15:00,20.0,4,performance
2025-04-25 12:55:00,2025,PUT,SL,-2463.436314432782,-2346.914193098837,116.5221213339449,-2622.7500000000236,162.94785981026507,126.8414876087445,0.15186071352738734,80.7,False,2025-04-25 12:15:00,40.0,4,performance
2025-05-12 12:20:00,2025,CALL,BE_SL,-193.96429500955503,-53.03550197253571,140.92879303701932,97.5,210.41988235626377,209.6039515566863,0.22195513573347692,90.0,False,2025-05-12 10:40:00,100.0,4,performance
2025-05-13 12:00:00,2025,CALL,SL,-2864.9832042035546,-2753.0882380424373,111.89496616111708,-2925.0,153.85676074520597,111.50155708301463,0.19846633586336296,90.0,False,2025-05-13 11:25:00,35.0,4,performance
2025-05-15 12:10:00,2025,CALL,BE_SL,-1187.242136917957,-1070.49009885769,116.75203806026693,97.5,159.41443670603803,142.94535826207357,0.7237748988716955,90.0,False,2025-05-15 11:15:00,55.0,4,performance
2025-05-27 12:00:00,2025,CALL,BE_SL,-65.08034420406457,65.19016952200218,130.27051372606675,97.5,186.13627544089286,187.13920112584674,0.251156397393815,90.0,False,2025-05-27 11:45:00,15.0,4,performance
