call_thr,put_thr,skip_ceil,min_edge,pooled_PF,pooled_Net,pooled_MaxDD,pooled_TradeCount,pooled_WR,pooled_Sharpe,pooled_Sortino,per_fold_PF,passes_min_trades_filter,rank
0.32,0.35,0.65,0.08,9.002642880720899,15006.76319014646,448.8289623589335,9,0.4444444444444444,0.519406728938219,2.9988622472474136,"[NaN, NaN, NaN, 0.0, NaN, NaN, 24.53835398488345, NaN]",False,20
0.32,0.35,0.7,0.08,9.002642880720899,15006.76319014646,448.8289623589335,9,0.4444444444444444,0.519406728938219,2.9988622472474136,"[NaN, NaN, NaN, 0.0, NaN, NaN, 24.53835398488345, NaN]",False,21
0.32,0.35,0.75,0.08,9.002642880720899,15006.76319014646,448.8289623589335,9,0.4444444444444444,0.519406728938219,2.9988622472474136,"[NaN, NaN, NaN, 0.0, NaN, NaN, 24.53835398488345, NaN]",False,22
0.4,0.15,0.6,0.05,8.875028878414897,3679.291348527362,467.2098865074813,3,0.3333333333333333,0.4849047684315719,5.1637013395716345,"[NaN, NaN, NaN, NaN, NaN, NaN, 8.875028878414897, NaN]",False,23
0.4,0.2,0.6,0.05,8.875028878414897,3679.291348527362,467.2098865074813,3,0.3333333333333333,0.4849047684315719,5.1637013395716345,"[NaN, NaN, NaN, NaN, NaN, NaN, 8.875028878414897, NaN]",False,24
0.32,0.15,0.6,0.03,8.782496043020052,22126.785010647876,1629.9416424258936,17,0.4117647058823529,0.5042266800212467,3.0300244296076597,"[Infinity, NaN, NaN, 1.7865683509625152, NaN, NaN, 12.983889326271463, NaN]",False,25
0.32,0.2,0.6,0.03,8.782496043020052,22126.785010647876,1629.9416424258936,17,0.4117647058823529,0.5042266800212467,3.0300244296076597,"[Infinity, NaN, NaN, 1.7865683509625152, NaN, NaN, 12.983889326271463, NaN]",False,26
0.32,0.15,0.6,0.08,8.171581444380305,14816.050053445857,448.8289623589335,10,0.4,0.4805491771866172,2.8852592733295146,"[NaN, NaN, NaN, 0.0, NaN, NaN, 19.21252836223372, NaN]",False,27
0.32,0.2,0.6,0.08,8.171581444380305,14816.050053445857,448.8289623589335,10,0.4,0.4805491771866172,2.8852592733295146,"[NaN, NaN, NaN, 0.0, NaN, NaN, 19.21252836223372, NaN]",False,28
0.32,0.25,0.6,0.08,8.171581444380305,14816.050053445857,448.8289623589335,10,0.4,0.4805491771866172,2.8852592733295146,"[NaN, NaN, NaN, 0.0, NaN, NaN, 19.21252836223372, NaN]",False,29
0.32,0.3,0.6,0.08,8.171581444380305,14816.050053445857,448.8289623589335,10,0.4,0.4805491771866172,2.8852592733295146,"[NaN, NaN, NaN, 0.0, NaN, NaN, 19.21252836223372, NaN]",False,30
0.32,0.3,0.65,0.08,8.171581444380305,14816.050053445857,448.8289623589335,10,0.4,0.4805491771866172,2.8852592733295146,"[NaN, NaN, NaN, 0.0, NaN, NaN, 19.21252836223372, NaN]",False,31
0.32,0.3,0.7,0.08,8.171581444380305,14816.050053445857,448.8289623589335,10,0.4,0.4805491771866172,2.8852592733295146,"[NaN, NaN, NaN, 0.0, NaN, NaN, 19.21252836223372, NaN]",False,32
0.32,0.3,0.75,0.08,8.171581444380305,14816.050053445857,448.8289623589335,10,0.4,0.4805491771866172,2.8852592733295146,"[NaN, NaN, NaN, 0.0, NaN, NaN, 19.21252836223372, NaN]",False,33
0.32,0.25,0.6,0.05,8.112529032244126,16660.642530385703,1636.0710992768904,12,0.4166666666666667,0.488246364601279,2.8522606727922586,"[NaN, NaN, NaN, 1.7865683509625152, NaN, NaN, 14.613990572186125, NaN]",False,34
0.32,0.25,0.6,0.03,7.453885284462382,16453.659108209642,1636.0710992768904,12,0.4166666666666667,0.48021816701326503,2.692058355568758,"[NaN, NaN, NaN, 1.7865683509625152, NaN, NaN, 12.393388093065392, NaN]",False,35
0.4,0.15,0.6,0.03,6.164604271212939,4998.932593754685,788.3565903034387,7,0.2857142857142857,0.3923695525695321,2.9181661730066186,"[Infinity, NaN, NaN, NaN, NaN, NaN, 4.771154775081268, NaN]",False,36
0.4,0.2,0.6,0.03,6.164604271212939,4998.932593754685,788.3565903034387,7,0.2857142857142857,0.3923695525695321,2.9181661730066186,"[Infinity, NaN, NaN, NaN, NaN, NaN, 4.771154775081268, NaN]",False,37
0.32,0.15,0.65,0.08,3.5302096942437466,16854.47549609441,3913.812837919394,17,0.47058823529411764,0.3619455737087393,0.8760242266669072,"[NaN, 0.0, NaN, 0.417755975679171, NaN, NaN, 23.918938685808776, Infinity]",False,38
0.32,0.2,0.65,0.08,3.5302096942437466,16854.47549609441,3913.812837919394,17,0.47058823529411764,0.3619455737087393,0.8760242266669072,"[NaN, 0.0, NaN, 0.417755975679171, NaN, NaN, 23.918938685808776, Infinity]",False,39
0.32,0.15,0.65,0.03,3.3778008140800964,28844.173208601547,6710.625929114176,34,0.47058823529411764,0.32117963360259205,0.7185525987107056,"[80.52547707117708, 0.22421853748843767, 65.63148003138863, 0.6891527133035324, NaN, NaN, 19.526996609099392, Infinity]",False,40
0.32,0.2,0.65,0.03,3.188707044395409,26655.55653259073,6710.625929114176,34,0.4411764705882353,0.2974607296935715,0.6821967196337246,"[80.52547707117708, 0.22544734660219787, 18.079507667948477, 0.6891527133035324, NaN, NaN, 19.526996609099392, Infinity]",False,41
0.32,0.15,0.65,0.05,2.919809534585384,18587.85258103433,3913.812837919394,25,0.44,0.3106866927380564,0.6495266677749783,"[NaN, 0.0, 19.194694710144006, 1.1812278781710923, NaN, NaN, 17.736649975415006, Infinity]",False,42
0.32,0.2,0.65,0.05,2.919809534585384,18587.85258103433,3913.812837919394,25,0.44,0.3106866927380564,0.6495266677749783,"[NaN, 0.0, 19.194694710144006, 1.1812278781710923, NaN, NaN, 17.736649975415006, Infinity]",False,43
0.3,0.15,0.6,0.03,2.4926277025377224,11951.236008615484,5001.137408124563,19,0.42105263157894735,0.2549643806131736,0.4136253890277595,"[Infinity, NaN, NaN, 2.714663322139847, NaN, NaN, 2.251780086905909, NaN]",False,44
0.3,0.2,0.6,0.03,2.4926277025377224,11951.236008615484,5001.137408124563,19,0.42105263157894735,0.2549643806131736,0.4136253890277595,"[Infinity, NaN, NaN, 2.714663322139847, NaN, NaN, 2.251780086905909, NaN]",False,45
0.3,0.15,0.6,0.05,2.2460546693064978,9353.050083141768,4886.974126504672,14,0.42857142857142855,0.2372863935462621,0.37602843641164774,"[NaN, NaN, NaN, 1.6937244669171247, NaN, NaN, 2.3566585489732734, NaN]",False,46
0.3,0.2,0.6,0.05,2.2460546693064978,9353.050083141768,4886.974126504672,14,0.42857142857142855,0.2372863935462621,0.37602843641164774,"[NaN, NaN, NaN, 1.6937244669171247, NaN, NaN, 2.3566585489732734, NaN]",False,47
0.4,0.15,0.65,0.03,2.142455632735233,11716.320791708358,5260.249405627563,24,0.4583333333333333,0.20000890353121115,0.3627459026848996,"[80.52547707117708, 0.22421853748843767, 65.63148003138863, 0.43345534597805985, NaN, NaN, 7.789171823268597, Infinity]",False,48
0.3,0.15,0.65,0.03,2.0745496269333015,18627.6345554475,7248.401403735708,36,0.4722222222222222,0.20329537358090338,0.3232230140935401,"[80.52547707117708, 0.22421853748843767, 65.63148003138863, 0.883502878825199, NaN, NaN, 2.1040393468472844, Infinity]",False,49
0.3,0.35,0.6,0.03,1.9876944072422014,6952.303414860802,4886.974126504672,12,0.5,0.20299813552858462,0.2830387605870616,"[NaN, NaN, NaN, 2.714663322139847, NaN, NaN, 1.830365463308518, NaN]",False,50
0.3,0.35,0.65,0.03,1.9761865085750578,6911.313763739143,4927.963777626332,12,0.5,0.20173914242210325,0.2813260450425292,"[NaN, NaN, NaN, 2.714663322139847, NaN, NaN, 1.8174911775958014, NaN]",False,51
