time,year,dir,reason,net_option,gross_option,cost,delta_model,prem_entry,prem_exit,iv,sl_pts,trail,entry_time,hold_min,fold,brain
2025-10-03 09:50:00,2025,PUT,SL,-1389.6787012533323,-1311.5371936043402,78.14150764899202,-1764.7499999999764,56.2634822551845,36.08598696896388,0.06652050268165939,54.3,False,2025-10-03 09:30:00,20.0,6,xgb
2025-10-03 11:15:00,2025,PUT,SL,-1217.3416893496099,-1137.5941071060151,79.74758224359475,-1280.5000000000473,67.52310207330811,50.02165427167711,0.06652050268165939,39.4,False,2025-10-03 10:45:00,30.0,6,xgb
2025-10-07 11:55:00,2025,PUT,BE_SL,-347.4481388323433,-257.4860614768568,89.96207735548653,97.5,96.74034876672886,92.77902474400798,0.4097635129076433,37.2,False,2025-10-07 11:25:00,30.0,6,xgb
2025-10-08 11:05:00,2025,PUT,TP,2820.2724623053095,2917.3134226384263,97.0409603331169,2600.0,102.54829711945058,147.43004208311868,0.07794001096507554,40.0,True,2025-10-08 10:40:00,25.0,6,xgb
2025-10-08 12:30:00,2025,PUT,FLOOD_EXIT,1123.80663133099,1210.6749279812811,86.86829665029097,1283.75,85.1429931009261,103.76876122371505,0.07794001096507554,37.3,True,2025-10-08 11:50:00,40.0,6,xgb
2025-10-09 10:15:00,2025,PUT,BE_SL,-2.231135563973268,79.938329112274,82.16946467624727,97.5,73.31872014516739,74.54854059304853,0.0727284210091843,50.3,False,2025-10-09 09:50:00,25.0,6,xgb
2025-10-13 14:20:00,2025,PUT,SL,-1333.6495432147437,-1254.9901647199113,78.6593784948325,-1329.2500000000473,59.8887065516501,40.58116555595916,0.10685537196255551,40.9,False,2025-10-13 13:30:00,50.0,6,xgb
2025-10-14 11:55:00,2025,PUT,FLOOD_EXIT,1071.4963088293553,1164.7554066822704,93.25909785291515,2065.3749999999764,99.62445395533723,117.54376790429524,0.4624003595869868,47.9,True,2025-10-14 10:40:00,75.0,6,xgb
2025-10-16 15:00:00,2025,CALL,BE_SL,-3.2369435397276334,89.04545497605795,92.28239851578559,97.5,100.84597980649232,102.21590988304706,0.08571417555950732,36.6,False,2025-10-16 14:35:00,25.0,6,xgb
2025-10-23 14:40:00,2025,PUT,TRAIL_SL,2062.4427302909876,2162.993730302842,100.55100001185417,2118.6750000000757,112.81489931958276,146.09172593962649,0.0987591042022759,36.8,True,2025-10-23 13:25:00,75.0,6,xgb
