time,year,dir,reason,net_option,gross_option,cost,delta_model,prem_entry,prem_exit,iv,sl_pts,trail,entry_time,hold_min,fold,brain,calibrator
2026-01-21 13:10:00,2026,CALL,TRAIL_SL,1996.6305694498412,2119.658298202221,123.02772875237969,1983.1500000000142,163.37197989074775,195.9821075553973,0.12252495817979173,83.2,True,2026-01-21 12:30:00,40.0,7,lgb,isotonic
2026-01-21 14:00:00,2026,CALL,SL,-2867.2802765279184,-2750.717148633803,116.5631278941154,-2902.2499999999764,164.3208200735371,122.00209470994014,0.12252495817979173,89.3,False,2026-01-21 13:10:00,50.0,7,lgb,isotonic
2026-03-09 10:50:00,2026,PUT,BE_SL,-80.85479287308206,61.132537495923316,141.98733036900538,97.5,212.43221177596934,213.3727123528297,0.3774198298102582,90.0,False,2026-03-09 10:40:00,10.0,7,lgb,isotonic
2026-03-09 15:00:00,2026,CALL,TP,4468.20149989666,4613.344554210626,145.14305431396582,4491.500000000024,205.07022919651172,276.0447607997521,0.3774198298102582,69.1,True,2026-03-09 12:55:00,125.0,7,lgb,isotonic
2026-03-10 11:50:00,2026,CALL,BE_SL,-1423.9049268008332,-1289.1132142044353,134.79171259639787,97.5,200.57441568596914,180.7419046982086,0.9127073290026293,90.0,False,2026-03-10 10:55:00,55.0,7,lgb,isotonic
2026-03-12 12:05:00,2026,CALL,FLOOD_EXIT,-735.8295169861238,-572.5895960010257,163.2399209850981,-500.49999999992906,262.11618597307825,253.30711526537016,0.2284161843179514,90.0,False,2026-03-12 11:10:00,55.0,7,lgb,isotonic
2026-03-13 11:55:00,2026,PUT,FLOOD_EXIT,-1227.4660965080898,-1067.688553642356,159.77754286573375,-1000.9999999999764,255.91999940897222,239.49402166062828,0.25370469301610066,90.0,False,2026-03-13 10:45:00,70.0,7,lgb,isotonic
2026-03-16 10:10:00,2026,CALL,SL,-2868.467128199688,-2750.5715684111055,117.89555978858262,-2925.0,167.30925825550185,124.99277258763868,0.31406516476318047,90.0,False,2026-03-16 09:45:00,25.0,7,lgb,isotonic
2026-03-16 11:55:00,2026,CALL,FLOOD_EXIT,-1815.3751186064908,-1697.1542496015354,118.22086900495528,-1686.749999999929,164.69725797119645,138.5871925927113,0.31406516476318047,90.0,False,2026-03-16 11:30:00,25.0,7,lgb,isotonic
2026-03-17 11:05:00,2026,CALL,BE_SL,-126.65228338392959,-48.66786438922645,77.98441899470313,97.5,40.178057039251144,39.429320664032275,0.216025,90.0,False,2026-03-17 10:40:00,25.0,7,lgb,isotonic
2026-03-17 11:25:00,2026,CALL,SL,-2045.8720390647181,-1970.4774207994342,75.39461826528402,-2925.0,41.23758437323704,10.922547130168823,0.216025,90.0,False,2026-03-17 11:05:00,20.0,7,lgb,isotonic
2026-03-20 11:55:00,2026,CALL,SL,-3106.007998167632,-2945.9781022206516,160.02989594698056,-2925.0,262.4445298193714,217.1217897852075,0.24804726209382688,90.0,False,2026-03-20 11:25:00,30.0,7,lgb,isotonic
2026-03-20 12:00:00,2026,CALL,DAILY_CAP,-870.121422372592,-711.4044060459037,158.71701632668825,-693.8749999999527,252.41080332196543,241.46612015202845,0.24804726209382688,90.0,False,2026-03-20 11:55:00,5.0,7,lgb,isotonic
2026-03-23 13:45:00,2026,PUT,SL,-3222.521289006879,-3083.8362230180246,138.6850659888546,-2925.0,215.00131114261058,167.55767694233327,0.4234836663163435,90.0,False,2026-03-23 12:20:00,85.0,7,lgb,isotonic
2026-03-24 10:30:00,2026,CALL,SL,-2987.181145156113,-2878.1181193202974,109.06302583581558,-2925.0,147.90080543542354,103.62206513818819,0.6412583078151555,90.0,False,2026-03-24 10:20:00,10.0,7,lgb,isotonic
2026-03-24 10:55:00,2026,CALL,BE_SL,-318.57197270550694,-214.33196323692755,104.24000946857942,97.5,128.6315890821843,125.33417426315464,0.6412583078151555,90.0,False,2026-03-24 10:35:00,20.0,7,lgb,isotonic
2026-03-25 11:55:00,2026,CALL,BE_SL,-88.33092441285949,16.748838907369645,105.07976332022913,97.5,129.78226561277734,130.0399400575061,0.2527797176419525,90.0,False,2026-03-25 11:25:00,30.0,7,lgb,isotonic
2026-03-30 13:25:00,2026,CALL,SL,-5056.06965795873,-4918.320610404735,137.7490475539953,-2925.0,218.7211344870011,143.0546635576975,1.2827095454201083,90.0,False,2026-03-30 12:35:00,50.0,7,lgb,isotonic
