time,year,dir,reason,net_option,gross_option,cost,delta_model,prem_entry,prem_exit,iv,sl_pts,trail,entry_time,hold_min,fold,brain
2026-04-01 10:10:00,2026,CALL,BE_SL,-108.87731562309224,82.08712989156083,190.96444551465308,97.5,322.2307901761287,323.49366909753735,0.26429771667463503,90.0,False,2026-04-01 09:55:00,15.0,8,lgb
2026-04-01 10:25:00,2026,CALL,SL,-3158.5306166164182,-2966.35872750644,192.1718891099783,-2925.0,334.6098311353271,288.9735430198434,0.26429771667463503,90.0,False,2026-04-01 10:10:00,15.0,8,lgb
2026-04-02 10:55:00,2026,PUT,FLOOD_EXIT,-976.8810827489323,-820.3873621548883,156.49372059404402,-846.6249999999764,247.76924914962,235.14790511646788,0.2501,90.0,False,2026-04-02 10:25:00,30.0,8,lgb
2026-04-06 09:40:00,2026,CALL,SL,-2934.820080853121,-2800.0043786940205,134.81570215910043,-2925.0,205.4211936546435,162.34420321319703,0.3801315712112464,90.0,False,2026-04-06 09:35:00,5.0,8,lgb
2026-04-06 10:15:00,2026,CALL,BE_SL,-169.76216386518755,-27.89628870699744,141.8658751581901,97.5,212.44218853790517,212.01301486548982,0.3801315712112464,90.0,False,2026-04-06 09:40:00,35.0,8,lgb
2026-04-07 10:50:00,2026,PUT,REVERSAL,-991.81790680182,-855.6275679423197,136.19033885950023,225.87500000002365,202.3366659388248,189.17316489355835,0.8489169269655035,90.0,False,2026-04-07 09:55:00,55.0,8,lgb
2026-04-07 11:50:00,2026,CALL,FLOOD_EXIT,686.7561581096991,810.4502152338409,123.69405712414186,2071.875,169.01985233240885,181.48831718216024,0.8489169269655035,90.0,False,2026-04-07 10:50:00,60.0,8,lgb
2026-04-08 11:35:00,2026,CALL,BE_SL,-102.49204492774263,45.2535207787696,147.74556570651222,97.5,225.39940941812347,226.09561743010454,0.18946697326678197,90.0,False,2026-04-08 10:40:00,55.0,8,lgb
2026-04-08 11:50:00,2026,CALL,BE_SL,-62.68354965963772,87.82711796938202,150.51066762901974,97.5,231.46700753158257,232.81819396188075,0.18946697326678197,90.0,False,2026-04-08 11:35:00,15.0,8,lgb
2026-04-09 13:20:00,2026,CALL,SL,-2892.2916484295556,-2762.880655533372,129.41099289618336,-2925.0,193.17962863879438,150.67377239981943,0.19556717239477603,90.0,False,2026-04-09 12:15:00,65.0,8,lgb
2026-04-10 12:25:00,2026,CALL,BE_SL,-170.94902752123087,-40.58148259215159,130.3675449290793,97.5,186.6894719619704,186.0651414605527,0.19977499999999998,69.3,False,2026-04-10 10:40:00,105.0,8,lgb
2026-04-10 12:45:00,2026,CALL,BE_SL,-48.52944979871057,79.70618939614724,128.2356391948578,97.5,181.52561320095265,182.75186226858568,0.19977499999999998,63.2,False,2026-04-10 12:30:00,15.0,8,lgb
2026-04-10 15:05:00,2026,PUT,SL,-2484.4183411114177,-2361.3517538043197,123.06658730709798,-2492.7500000000236,177.67415069467825,141.3456621746118,0.19977499999999998,76.7,False,2026-04-10 14:40:00,25.0,8,lgb
2026-04-15 15:00:00,2026,PUT,SL,-2268.2132666284324,-2129.1332490778314,139.080017550601,-2252.2499999999764,212.85868119353472,180.10278505387578,0.1775090870618066,69.3,False,2026-04-15 13:35:00,85.0,8,lgb
2026-04-16 14:30:00,2026,PUT,SL,-2084.569042128701,-1957.8008029119974,126.76823921670355,-2066.9999999999527,184.69748981516022,154.57747746266796,0.16511695967556006,63.6,False,2026-04-16 13:40:00,50.0,8,lgb
2026-04-20 10:05:00,2026,PUT,SL,-2774.2304681861983,-2666.101273210279,108.12919497591923,-2925.0,145.13346782269036,104.11652515791684,0.2577683216696048,90.0,False,2026-04-20 09:45:00,20.0,8,lgb
2026-04-20 15:20:00,2026,PUT,SQUARE_OFF,2121.5066874999525,2233.641590868292,112.13490336833937,2276.6250000000946,138.5756991991475,172.9394159817366,0.2577683216696048,66.1,True,2026-04-20 13:50:00,90.0,8,lgb
2026-04-22 11:10:00,2026,PUT,FLOOD_EXIT,-517.0462092013418,-378.2475066907409,138.79870251060086,-383.5000000000946,206.6733436825507,200.8541512719239,0.17763378974273683,56.4,False,2026-04-22 10:40:00,30.0,8,lgb
2026-04-23 10:45:00,2026,PUT,FLOOD_EXIT,2470.784984818928,2606.9355215857013,136.15053676677326,2512.2499999999764,191.26317413146353,231.36987446355124,0.16548620827629293,90.0,True,2026-04-23 09:50:00,55.0,8,lgb
2026-04-24 11:05:00,2026,PUT,FLOOD_EXIT,969.5134355329596,1093.3221504186713,123.80871488571168,1135.8749999999054,168.37970361838597,185.20004439405784,0.17439366910069454,69.1,False,2026-04-24 10:35:00,30.0,8,lgb
2026-04-27 13:10:00,2026,PUT,SL,-2123.2611700649227,-2039.820994049096,83.44017601582685,-2359.4999999999527,87.76453412991577,56.382672683006604,0.18616523744950716,72.6,False,2026-04-27 11:45:00,85.0,8,lgb
2026-04-28 11:25:00,2026,CALL,SL,-1744.2339296515681,-1639.3028841637624,104.93104548780565,-1595.7499999999527,134.70211725999616,109.48207288824597,0.6125950276287796,49.1,False,2026-04-28 11:20:00,5.0,8,lgb
2026-04-28 12:15:00,2026,PUT,TRAIL_SL,314.5360284437869,420.4241578451001,105.88812940131325,975.9750000000804,130.3150158027729,136.7830797696206,0.6125950276287796,55.7,True,2026-04-28 11:40:00,35.0,8,lgb
2026-04-28 13:00:00,2026,PUT,BE_SL,-307.0464713418509,-209.57937959146875,97.46709175038217,97.5,113.42356059424128,110.19926244668022,0.6125950276287796,50.4,False,2026-04-28 12:45:00,15.0,8,lgb
