time,year,dir,reason,net_option,gross_option,cost,delta_model,prem_entry,prem_exit,iv,sl_pts,trail,entry_time,hold_min,fold,ensemble
2025-04-01 13:40:00,2025,PUT,TRAIL_SL,985.5016605012686,1078.1006743019952,92.59901380072668,1153.425000000052,98.41865175469684,115.00481597472753,0.1540218860052448,57.8,True,2025-04-01 12:45:00,55.0,4,stacking
2025-04-04 11:25:00,2025,PUT,BE_SL,-9.230448474776694,90.54301700889482,99.77346548367152,97.5,117.64512745114189,119.03809694358642,0.11171101724160706,70.9,False,2025-04-04 11:15:00,10.0,4,stacking
2025-04-04 11:55:00,2025,PUT,FLOOD_EXIT,954.1608842152556,1052.4340967038552,98.27321248859957,1087.1250000000236,111.22838794321069,127.41968173865462,0.11171101724160706,69.1,False,2025-04-04 11:25:00,30.0,4,stacking
2025-04-07 14:10:00,2025,CALL,BE_SL,-155.72784663831644,29.45349592054299,185.18134255885943,97.5,309.4251507850913,309.8782814915612,0.47043263366312027,90.0,False,2025-04-07 13:50:00,20.0,4,stacking
2025-04-07 14:20:00,2025,CALL,BE_SL,-121.63111802377117,64.69692058779401,186.32803861156518,97.5,311.88560781834894,312.88094505816116,0.47043263366312027,90.0,False,2025-04-07 14:10:00,10.0,4,stacking
2025-04-08 10:35:00,2025,CALL,SL,-3080.619247192802,-2949.697844361681,130.92140283112127,-2925.0,197.16040329143652,151.78043645510297,0.3632433959509048,90.0,False,2025-04-08 09:55:00,40.0,4,stacking
2025-04-11 11:10:00,2025,CALL,FLOOD_EXIT,1523.2676502508943,1686.2844855243384,163.01683527344412,1636.375000000071,254.44998844690235,280.3928266857383,0.21277327161454898,90.0,False,2025-04-11 10:40:00,30.0,4,stacking
2025-04-25 11:35:00,2025,PUT,BE_SL,-32.72208125324528,84.89991258615191,117.62199383939719,97.5,157.70069741054067,159.00684991186608,0.15186071352738734,90.0,False,2025-04-25 11:25:00,10.0,4,stacking
2025-04-25 11:55:00,2025,PUT,FLOOD_EXIT,1428.3514128842473,1545.8834650616245,117.53205217737722,1616.875,152.86429700115877,176.64711954056838,0.15186071352738734,90.0,False,2025-04-25 11:35:00,20.0,4,stacking
2025-05-12 12:20:00,2025,CALL,BE_SL,-193.96429500955503,-53.03550197253571,140.92879303701932,97.5,210.41988235626377,209.6039515566863,0.22195513573347692,90.0,False,2025-05-12 10:40:00,100.0,4,stacking
2025-05-12 12:45:00,2025,CALL,FLOOD_EXIT,-1033.0883737277213,-893.3803966224696,139.70797710525187,-869.375,210.34716484036653,196.6028510461747,0.22195513573347692,66.8,False,2025-05-12 12:35:00,10.0,4,stacking
2025-05-13 12:00:00,2025,CALL,SL,-2864.9832042035546,-2753.0882380424373,111.89496616111708,-2925.0,153.85676074520597,111.50155708301463,0.19846633586336296,90.0,False,2025-05-13 11:25:00,35.0,4,stacking
2025-05-15 11:10:00,2025,CALL,SL,-2860.408946276296,-2746.942448137188,113.46649813910793,-2925.0,157.36251189545328,115.10185884718885,0.7237748988716955,90.0,False,2025-05-15 11:05:00,5.0,4,stacking
2025-05-15 11:20:00,2025,CALL,BE_SL,-219.67607702710035,-98.10430869119045,121.57176833590991,97.5,167.14133831316212,165.63204125637458,0.7237748988716955,90.0,False,2025-05-15 11:10:00,10.0,4,stacking
2025-05-15 11:25:00,2025,CALL,DAILY_CAP,780.7448341076256,901.8132900683304,121.06845596070474,939.2499999999291,162.84029696750986,176.7143475839457,0.7237748988716955,90.0,False,2025-05-15 11:20:00,5.0,4,stacking
2025-05-23 13:40:00,2025,CALL,BE_SL,-134.4850603010248,7.998136365604296,142.48319666662908,97.5,213.713091898946,213.83614015072453,0.16061824791881057,76.3,False,2025-05-23 11:50:00,110.0,4,stacking
2025-05-27 12:00:00,2025,CALL,BE_SL,-65.08034420406457,65.19016952200218,130.27051372606675,97.5,186.13627544089286,187.13920112584674,0.251156397393815,90.0,False,2025-05-27 11:45:00,15.0,4,stacking
2025-05-27 12:15:00,2025,CALL,FLOOD_EXIT,-799.9683325511489,-665.6357125666909,134.33261998445806,-627.2499999999764,197.566739876489,187.32619045238607,0.251156397393815,90.0,False,2025-05-27 12:00:00,15.0,4,stacking
