ym,trades,wins,pnl_sum,gross_profit,gross_loss,wr,pf,dd
2021-02,196,194,9917.899999999976,10231.429999999977,313.53000000000065,0.9897959183673469,32.6330175740757,167.07000000000153
2021-03,249,231,8268.839999999993,10368.119999999995,2099.2800000000016,0.927710843373494,4.93889333485766,507.77999999999884
2021-04,205,195,7119.52,8148.849999999993,1029.329999999992,0.9512195121951219,7.916654522845012,380.9699999999939
2021-05,40,39,1230.6099999999976,1332.3399999999963,101.72999999999848,0.975,13.09682492873308,101.72999999999843
2021-06,8,8,319.3799999999977,319.3799999999977,-0.0,1.0,,0.0
2021-07,8,8,268.5300000000003,268.5300000000003,-0.0,1.0,,0.0
2021-08,3,3,126.73000000000101,126.73000000000101,-0.0,1.0,,0.0
2021-09,34,29,630.8299999999886,1280.1199999999897,649.2900000000009,0.8529411764705882,1.9715689445394013,649.2900000000011
2021-10,104,104,5196.63000000002,5196.630000000021,-0.0,1.0,,0.0
2021-11,150,140,5564.31000000001,6975.63,1411.3199999999895,0.9333333333333333,4.942628177876068,867.1999999999935
2021-12,164,160,6090.0700000000115,6656.620000000031,566.5500000000197,0.975609756097561,11.749395463771599,435.7800000000191
2022-01,164,153,5182.520000000014,7172.839999999994,1990.319999999981,0.9329268292682927,3.6038626954459896,866.6699999999914
2022-02,257,230,6750.84,11831.280000000028,5080.44000000003,0.8949416342412452,2.328790419727417,1621.2299999999977
2022-03,230,201,6415.420000000061,10109.170000000084,3693.750000000023,0.8739130434782608,2.7368311336717484,1209.5400000000052
2022-04,164,158,5480.440000000039,6389.500000000029,909.0599999999904,0.9634146341463414,7.028688975425271,275.7200000000021
2022-05,321,286,8096.630000000026,14086.070000000007,5989.439999999982,0.8909657320872274,2.3518175321899957,1523.2299999999996
2022-06,228,207,6192.190000000022,8735.260000000011,2543.069999999988,0.9078947368421053,3.4349270763290245,714.4400000000023
2022-07,67,64,1991.3099999999904,2269.3799999999896,278.06999999999937,0.9552238805970149,8.161182436077228,278.0699999999993
2022-08,94,93,3308.510000000007,3454.0400000000022,145.5299999999952,0.9893617021276596,23.734212877070817,145.5299999999952
2022-09,179,178,8098.649999999959,8254.79999999996,156.14999999999998,0.994413407821229,52.86455331412078,156.14999999999964
2022-10,67,60,1150.2799999999902,2150.119999999993,999.840000000003,0.8955223880597015,2.150464074251867,869.8200000000004
2022-12,64,63,2412.299999999986,2520.9599999999873,108.66000000000132,0.984375,23.200441744891926,108.66000000000133
2023-01,99,96,3238.6899999999937,3621.819999999995,383.1300000000018,0.9696969696969697,9.453240414480668,227.0999999999999
2023-02,82,82,3395.439999999987,3395.439999999987,-0.0,1.0,,0.0
2023-03,93,93,3787.2199999999802,3787.21999999998,-0.0,1.0,,0.0
2023-05,5,5,153.5,153.5,-0.0,1.0,,0.0
2023-07,14,14,478.9300000000083,478.93000000000836,-0.0,1.0,,0.0
2023-08,6,6,183.81000000000057,183.81000000000057,-0.0,1.0,,0.0
2023-09,6,6,227.59000000000086,227.5900000000009,-0.0,1.0,,0.0
2023-10,34,28,410.7900000000212,983.4300000000089,572.6399999999878,0.8235294117647058,1.717361693210446,355.67999999998426
2023-11,1,1,21.06999999999898,21.06999999999898,-0.0,1.0,,0.0
2023-12,21,21,1128.349999999987,1128.349999999987,-0.0,1.0,,0.0
2024-01,63,63,3379.8599999999924,3379.859999999992,-0.0,1.0,,0.0
