dow_name,trades,wins,pnl_sum,gross_profit,gross_loss,wr,pf,expectancy
Monday,1858,1760,62930.85218749995,78631.41218749998,15700.560000000021,0.9472551130247578,5.008191566893148,33.87021108046284
Tuesday,1665,1576,63645.253124999945,76012.81312499996,12367.560000000001,0.9465465465465466,6.146144682136165,38.225377252252215
Wednesday,1705,1620,59253.86421875002,70279.82421875006,11025.96000000004,0.9501466275659824,6.374032212954682,34.75299954178887
Thursday,1866,1727,55476.48148437517,76370.67148437508,20894.189999999915,0.9255091103965702,3.6551152011336834,29.730161567189263
Friday,1821,1707,61574.68124999998,80897.38124999995,19322.699999999983,0.9373970345963756,4.186649963514417,33.813663509060945
