volbucket,trades,wins,pnl_sum,gross_profit,gross_loss,wr,pf,expectancy
Lowest 25%,2234,2151,44838.52000000005,51059.77000000004,6221.249999999999,0.9628469113697403,8.207316857544713,20.070957923008077
Middle 50%,4468,4191,139974.50664062504,174009.32664062502,34034.81999999997,0.9380035810205909,5.112685380461103,31.32822440479522
Highest 25%,2234,2067,118917.79562499997,158249.53562499996,39331.74,0.9252461951656222,4.02345626267742,53.23088434422559
