hbucket,direction,atr,adx,timeout,won,pnl,bars
10:00-11:00,PUT,35.39999999999891,22.79683777531711,True,,,
10:00-11:00,PUT,33.184999999998766,22.79683777531711,True,,,
10:00-11:00,PUT,32.58999999999869,22.79683777531711,True,,,
10:00-11:00,PUT,31.54999999999891,21.918081500547743,True,,,
11:00-12:00,CALL,23.329999999999565,28.139902615539015,False,True,46.65999999999913,1.0
12:00-13:00,CALL,22.754999999999928,36.42017213499189,True,,,
12:00-13:00,CALL,22.18999999999978,36.42017213499189,True,,,
12:00-13:00,CALL,23.25,36.39086249879167,True,,,
12:00-13:00,CALL,20.26000000000022,36.39086249879167,True,,,
13:00-14:00,CALL,31.520000000000437,31.300438629001444,True,,,
13:00-14:00,CALL,32.53500000000022,31.300438629001444,True,,,
13:00-14:00,CALL,32.01000000000022,31.300438629001444,True,,,
13:00-14:00,CALL,29.725000000000726,31.290091496598716,True,,,
13:00-14:00,CALL,31.470000000000436,31.290091496598716,True,,,
09:15-10:00,PUT,45.21999999999971,42.45578728796835,True,,,
09:15-10:00,CALL,46.07999999999993,42.45578728796835,True,,,
09:15-10:00,PUT,48.130000000000656,44.87150350849559,False,True,96.26000000000131,7.0
10:00-11:00,PUT,32.9,52.379506749986895,True,,,
10:00-11:00,PUT,32.96499999999978,55.75602940722153,True,,,
10:00-11:00,PUT,34.354999999999926,55.75602940722153,True,,,
10:00-11:00,PUT,34.47499999999964,55.75602940722153,True,,,
10:00-11:00,PUT,34.20499999999993,56.92554142538238,True,,,
11:00-12:00,PUT,33.65,56.92554142538238,True,,,
11:00-12:00,PUT,29.215000000000146,56.92554142538238,True,,,
11:00-12:00,PUT,29.0,57.93911850777728,True,,,
11:00-12:00,PUT,25.795000000000073,57.93911850777728,True,,,
11:00-12:00,PUT,27.165000000000145,57.93911850777728,True,,,
11:00-12:00,CALL,26.585000000000218,55.65128137051308,True,,,
11:00-12:00,CALL,24.990000000000144,55.65128137051308,True,,,
11:00-12:00,PUT,25.0,55.65128137051308,True,,,
11:00-12:00,PUT,23.13500000000022,53.92561008208264,True,,,
11:00-12:00,CALL,23.059999999999853,53.92561008208264,False,True,46.119999999999706,3.0
11:00-12:00,CALL,22.920000000000073,53.92561008208264,False,True,45.840000000000146,2.0
11:00-12:00,CALL,22.495000000000072,52.07401084036201,True,,,
12:00-13:00,CALL,24.60500000000029,52.07401084036201,True,,,
12:00-13:00,CALL,24.94000000000051,52.07401084036201,True,,,
12:00-13:00,CALL,27.055000000000653,47.58688808533073,False,True,54.11000000000131,2.0
12:00-13:00,CALL,26.225000000000726,47.58688808533073,True,,,
12:00-13:00,CALL,28.575000000000728,47.58688808533073,True,,,
12:00-13:00,CALL,27.810000000000947,43.50002477524052,True,,,
12:00-13:00,CALL,29.0200000000008,43.50002477524052,True,,,
12:00-13:00,CALL,28.845000000001164,43.50002477524052,True,,,
12:00-13:00,PUT,31.090000000001236,41.292095116867394,True,,,
12:00-13:00,PUT,31.495000000001163,41.292095116867394,True,,,
12:00-13:00,PUT,29.945000000001166,41.292095116867394,True,,,
12:00-13:00,PUT,29.975000000000726,40.707423112587044,True,,,
13:00-14:00,PUT,26.910000000000945,40.707423112587044,True,,,
13:00-14:00,PUT,27.650000000000727,40.707423112587044,True,,,
13:00-14:00,CALL,25.600000000000726,39.13909737115699,True,,,
13:00-14:00,PUT,25.610000000000582,39.13909737115699,True,,,
13:00-14:00,PUT,24.945000000000437,39.13909737115699,True,,,
13:00-14:00,PUT,25.335000000000218,38.70204260746614,True,,,
13:00-14:00,PUT,24.729999999999926,38.70204260746614,True,,,
13:00-14:00,PUT,25.969999999999708,38.70204260746614,True,,,
13:00-14:00,PUT,26.784999999999492,39.12197936011257,True,,,
13:00-14:00,PUT,28.24999999999927,38.239077750813685,True,,,
14:00-15:30,PUT,28.154999999999198,38.239077750813685,True,,,
14:00-15:30,PUT,23.904999999999564,41.25567088645353,True,,,
09:15-10:00,CALL,33.97000000000044,44.37657422093103,True,,,
09:15-10:00,CALL,34.110000000000944,44.37657422093103,True,,,
09:15-10:00,PUT,33.81000000000095,44.18839364564347,True,,,
09:15-10:00,PUT,35.740000000000876,44.18839364564347,True,,,
09:15-10:00,PUT,36.3200000000008,44.18839364564347,True,,,
10:00-11:00,PUT,46.51000000000022,40.77053369871776,True,,,
10:00-11:00,PUT,35.645000000000074,40.77053369871776,True,,,
10:00-11:00,PUT,31.679999999999563,36.6980031720562,True,,,
10:00-11:00,PUT,30.969999999999708,34.996733410531604,True,,,
10:00-11:00,PUT,28.879999999999928,34.996733410531604,True,,,
10:00-11:00,PUT,27.075,34.996733410531604,True,,,
10:00-11:00,PUT,24.719999999999708,33.52229961720258,True,,,
11:00-12:00,PUT,32.55999999999949,33.52229961720258,True,,,
11:00-12:00,PUT,32.15499999999956,36.29605268383041,True,,,
