target,feat,kind,n,pearson,p_pearson,spearman,p_spear,ic_ir,pos_mo,wf_ic,wf_pos,q_bh
fwd_cc,A_pcr_level,static/level,494,0.060443469073686334,0.17984044284964487,0.0697386681271349,0.12162763886924093,-0.053395617989337174,48.0,0.04864393739577276,80.0,0.47860817053297283
fwd_cc,B_pcr_change,rate-of-change,493,0.08641743689387821,0.05517493143609745,0.07676924959705453,0.08861663127918465,0.40917205629443104,72.0,0.07112644964264991,60.0,0.47860817053297283
fwd_cc,C_pcr_accel,acceleration,492,0.08768018586316478,0.051939085218003826,0.06924562976600629,0.12505988644907162,0.2613099979462541,70.83333333333334,0.057706536222736506,60.0,0.47860817053297283
fwd_cc,D_ce_buildup,rate-of-change,493,-0.013175861969457142,0.7704229911810434,-0.03069776515734953,0.4964847933972997,-0.37182531701216326,36.0,-0.051626723791672234,40.0,0.7182876725820964
fwd_cc,E_pe_buildup,rate-of-change,493,0.037558246946060594,0.4053496013111642,0.005275896720173072,0.9069810082072497,0.015563108884195775,64.0,-0.01004644594482591,40.0,0.9069810082072497
fwd_cc,F_oi_imbalance,static/level,494,0.049108975388302126,0.27598026289365984,0.06540428718287158,0.1466254246877395,-0.010265953209146599,56.00000000000001,0.03817174479913802,100.0,0.47860817053297283
fwd_cc,G_oi_divergence,divergence,493,-0.03668364952756129,0.416381380254878,0.06499885530837472,0.149565053291554,0.3272163510495256,60.0,0.053821669248767925,60.0,0.47860817053297283
fwd_cc,H_oi_persistence,regime/trend,491,0.04450161434681563,0.3250839880588521,0.04409967429150457,0.3294772694349738,0.31865892844259414,58.333333333333336,0.059381046965858664,80.0,0.7182876725820964
fwd_oc,A_pcr_level,static/level,494,-0.032315679190605996,0.4736089168768237,-0.026575174493618483,0.5556798191265158,-0.36896111194864517,28.000000000000004,-0.040606367159112124,40.0,0.7182876725820964
fwd_oc,B_pcr_change,rate-of-change,493,-0.05152057907683974,0.253538388161942,-0.046779931382597194,0.2999158027971374,-0.1672900890116423,40.0,-0.04094758334449056,40.0,0.7182876725820964
fwd_oc,C_pcr_accel,acceleration,492,-0.013209689587863685,0.7700782473366906,-0.02904988552163854,0.5203186394860376,-0.1995080245379145,41.66666666666667,-0.023660654514851862,40.0,0.7182876725820964
fwd_oc,D_ce_buildup,rate-of-change,493,0.037530113231164,0.4057017340975602,0.024745168409876114,0.5836087339729533,0.14953211979198894,56.00000000000001,0.015771299147587802,40.0,0.7182876725820964
fwd_oc,E_pe_buildup,rate-of-change,493,0.00026660438847999485,0.9952888768357764,-0.01777797228744639,0.69375517747823,0.04595760480981203,64.0,-0.02048953133268302,60.0,0.79286305997512
fwd_oc,F_oi_imbalance,static/level,494,-0.051224342639141954,0.25579763260443616,-0.032734121150903475,0.46789784947999746,-0.3918544363012649,32.0,-0.044941392677033315,20.0,0.7182876725820964
fwd_oc,G_oi_divergence,divergence,493,-0.08001977557440298,0.07588723481031738,0.012988394249021203,0.7735999502303522,0.1655538364324789,56.00000000000001,0.014738697728388452,20.0,0.825173280245709
fwd_oc,H_oi_persistence,regime/trend,491,-0.053397557049829604,0.23758772287897306,-0.03887861632003528,0.389997529172201,-0.2553143966316642,41.66666666666667,-0.033895450962104855,40.0,0.7182876725820964
