feat,pearson,spear,p,ci_lo,ci_hi,captured,n,q_bh
pcr_velocity,0.02399626145276675,0.01978210262228763,0.17612412774662048,-0.009520443141167833,0.05204511087640117,0.0025010329705869748,4678,0.2935402129110341
atm_ce_oi_chg_pct,-0.05037339941403295,-0.07411623148254969,1.0674952961605489e-05,-0.10939379359122574,-0.03598092063211,0.009370446718068687,3522,5.3374764808027443e-05
atm_pe_oi_chg_pct,-0.08805604679487797,-0.034267405969575886,0.04199962418639206,-0.07075913093559982,2.701564520762869e-05,0.0043323964991385374,3522,0.10499906046598015
oi_buildup_signed,-0.009198594276617735,-0.017214892850715018,0.3070859738778069,-0.04892352927078913,0.014474690264103043,0.0021764630093593818,3522,0.3404377716633844
net_oi_flow,0.036203262306377604,0.016067982812321416,0.3404377716633844,-0.017975477854535783,0.049409970501736906,0.00203146023209708,3522,0.3404377716633844
