feat,pearson,spear,p,n,stab,ci_lo,ci_hi,captured,clears,q_bh
bn_lag1_ret,-0.0028564364439984096,0.008228749942216684,0.00017632297864877687,207756,5/8,0.0038286108732625036,0.012717126020345,0.0016268919788342577,False,0.0010579378718926613
rs_bn,-0.00024112011596445792,0.003743319284188546,0.08796892576833398,207756,5/8,-0.0005400665025135339,0.008520449988148571,0.0007400852086193553,False,0.26390677730500195
bn_ratio_z,-0.00017594131754247928,-0.0002411760833070275,0.9125766836376846,207231,4/8,-0.004564210197266138,0.003985860580463009,4.768250805700978e-05,False,0.9125766836376846
bn_divergence,-0.00211323143517121,-0.0030016344257778557,0.17126588222740013,207756,5/8,-0.00730214278234786,0.0009596972878204345,0.0005934479726546752,False,0.34253176445480027
usdinr_ret_1d,-0.004152568460274115,-0.0024866801687837654,0.2570336414738946,207756,6/8,-0.0068657075226955765,0.0018740363086709104,0.0004916372534016658,False,0.38555046221084194
usdinr_z,-0.005393747292089767,-0.0018953747276325374,0.3882364258883252,207231,5/8,-0.006556500278003901,0.002120503971364079,0.000374731273027344,False,0.46588371106599025
