feat,pearson,spear,p,stab,ci_lo,ci_hi,captured,clears,q_bh
basis_bps,-0.01929235925386929,-0.013812933798116676,0.008828302613621351,1/2,-0.024462162602876085,-0.0039395278565474215,0.0027309248203805257,False,0.03089905914767473
excess_basis,-0.02130350168659053,-0.014982419997190409,0.004506186978362267,2/2,-0.025848245367345857,-0.004599020469402466,0.0029621413696539604,False,0.03089905914767473
basis_z20,-0.011262788878365407,-0.0035366020007489714,0.5111769334994809,1/2,-0.015024785737886258,0.007269223086626233,0.0006992138183540443,False,0.7156477068992733
basis_chg,-0.016804422556174838,-0.012498087948211426,0.021052282492102538,2/2,-0.022847523044127283,-0.0013501097799913481,0.0024709695336209416,False,0.04912199248157259
term_slope,-0.005167661879071129,0.0024468985962528946,0.6427498993960632,1/2,-0.007847533002394646,0.01249834719111035,0.0004837709502649172,False,0.7498748826287404
fut_oi_chg,-0.0013082415645033964,-0.007172949989575408,0.18549187594429664,2/2,-0.01842829495873355,0.0036332047858815453,0.0014181481970579305,False,0.3246107829025191
rollover_ratio,-0.0002397896012803248,-0.0016445116487087768,0.7552312490451599,1/2,-0.011660370885158148,0.008737717602775941,0.0003251327881898651,False,0.7552312490451599
