ts,gex,spot_minus_zg,long_net,short_net,straddle_cost
2024-10-15 09:45:59,72602270597.89223,0.0024860190008437,773.9054041349978,-1156.5945958649977,13604.5
2024-10-15 10:00:59,97990777759.12717,0.0031793808885586,-18.546715024999997,-376.046715025,14966.25
2024-10-15 10:15:59,149717835892.332,0.0032692671050863,-751.6201875199997,366.37981247999966,14436.5
2024-10-15 10:30:59,153525057110.8784,0.0035832653124603,-1571.0757182450004,1178.4242817550005,15145.0
2024-10-15 10:45:59,184120289303.3448,0.0036562562518876,-29.660512265000733,-348.1605122649993,13747.5
2024-10-15 11:00:59,146868196917.64993,0.0033091194463437,-253.74941009000003,-123.74941009000003,13770.25
2024-10-15 11:15:59,147064482636.421,0.0032485439035683,-211.31397282500149,-165.81397282499853,13734.5
2024-10-15 11:30:59,152652839166.6884,0.0032756990860838,-645.9974904049989,270.5025095949989,13705.25
2024-10-15 11:45:59,170155620239.79083,0.0032368398601924,-639.5512619149993,263.94873808499926,13711.75
2024-10-15 12:00:59,204994057332.25128,0.0031290821454201,57.92970200499818,-429.5702979949981,13279.5
2024-10-15 12:15:59,173028891940.2814,0.0032650912962296,-298.93099062500005,-71.43099062500002,13260.0
2024-10-15 12:30:59,197544017644.90112,0.003146546714675,-22.871050819999994,-347.87105082,13230.75
2024-10-15 12:45:59,208414075300.70956,0.0032028773585607,697.0290868899997,-1070.9709131099996,13315.25
2024-10-15 13:00:59,160664817443.83554,0.0035236731468685,-514.0415254850008,142.45847451500072,13393.25
2024-10-15 13:15:59,175554899805.4033,0.0037466535847281,-966.42318086,593.57681914,13578.5
2024-10-15 13:30:59,208211890293.80743,0.0034907190096178,-239.17633995500148,-128.67633995499853,13065.0
2024-10-15 13:45:59,215953773094.6565,0.0033429072607964,-334.7107044649996,-29.21070446500036,12798.5
2024-10-15 14:00:59,194723837031.81616,0.0032720231980281,-712.6263871549986,346.8736128449985,13009.749999999998
2024-10-15 14:15:59,225160157791.5548,0.0031345293001405,-259.01879993000114,-103.01879992999889,12645.75
2024-10-15 14:30:59,203122746032.48,0.003214285539319,-212.44637194999999,-147.44637194999999,12480.0
2024-10-16 09:45:59,149180323211.2503,0.0023987938150065,-496.5528839899982,153.44711600999818,11202.75
2024-10-16 10:00:59,94105774770.47156,0.0022997295008823,-603.2343375050003,261.26566249500036,10864.75
2024-10-16 10:15:59,126591291962.12976,0.0022212737604349,-559.37436882,220.62563118000003,10744.5
2024-10-16 10:30:59,81844254456.51447,0.0023222579630332,-328.90253645,-3.9025364500000137,10432.5
2024-10-16 10:45:59,101078784920.48944,0.002427636598145,405.9729454100003,-751.0270545900004,10523.5
2024-10-16 11:00:59,135538823359.88995,0.0026902142605685,651.2182342700012,-999.7817657300011,10536.5
2024-10-16 11:15:59,82756814607.10706,0.0027565409159382,383.5938067450007,-727.9061932550007,11102.0
2024-10-16 11:30:59,140186690994.267,0.0027995728207795,-276.6985013850003,-62.19850138499962,10910.25
2024-10-16 11:45:59,129594772800.05516,0.0034773319136022,-370.22991351500076,26.270086485000718,11082.5
2024-10-16 12:00:59,211555643364.46933,0.0034017376033153,-578.3217563699989,240.67824362999886,10803.0
2024-10-16 12:15:59,243477818595.84583,0.0029982943701008,-374.5428059949985,34.95719400499854,10741.25
2024-10-16 12:30:59,193510071934.5157,0.0033005495111914,-245.4570586200011,-89.45705861999889,10393.5
2024-10-16 12:45:59,210268289921.12247,0.0032363668407975,-545.4374642800008,208.5625357200007,10536.500000000002
2024-10-16 13:00:59,248126934553.17737,0.0029253626797351,-636.7872302549999,305.712769745,10315.5
2024-10-16 13:15:59,254244042944.7628,0.0029269920343523,-312.0094154000011,-26.009415399998915,10211.5
2024-10-16 13:30:59,208568584910.2884,0.0028002349627502,-259.0546239649993,-70.55462396500076,9844.25
2024-10-16 13:45:59,236129678354.38647,0.0026365500125464,-434.11486477499886,92.38513522499886,10068.499999999998
2024-10-16 14:00:59,284934906908.91693,0.0023739957262081,584.1278652099996,-923.8721347899997,9818.25
2024-10-16 14:15:59,192319779890.5515,0.0028221305496184,-748.6364851750011,414.8635148250011,9805.25
2024-10-16 14:30:59,187176079250.25305,0.0026242365862283,-884.8445132350007,551.6554867650007,9769.5
2024-10-17 09:45:59,135254089245.2495,0.0020376958772624,-1519.6383474550012,1203.861652545001,7218.250000000001
2024-10-17 10:00:59,308270680212.9672,0.0019731392499345,-1621.2626345049998,1310.2373654949997,6019.0
2024-10-17 10:15:59,356856509963.199,0.00199613708875,-355.2531241549989,41.246875844998925,5856.5
2024-10-17 10:30:59,453422099287.60895,0.0012624706499685,-469.66575742500055,160.8342425750006,4553.25
2024-10-17 10:45:59,469995771721.0992,0.0012785788683233,448.9285026000007,-760.0714974000007,4475.25
2024-10-17 11:00:59,216773481270.2372,0.0010797105242726,-937.1669922750007,629.3330077250007,4641.0
2024-10-17 11:15:59,212305092546.00647,0.0008883364054302,-689.6465822549991,382.8534177449991,4172.999999999999
2024-10-17 11:30:59,59439722449.28493,0.0004860528175443,-705.2877538399996,399.71224615999955,3857.7499999999995
2024-10-17 11:45:59,165693556900.9531,0.0006003401855588,-597.7787270850006,292.72127291500055,3636.75
2024-10-17 12:00:59,138121280873.39825,0.0006007615084055,-590.671872915,286.828127085,3305.25
2024-10-17 12:15:59,445150258163.89984,0.0003771200369171,-239.95686164499963,-64.45686164500037,3191.4999999999995
2024-10-17 12:30:59,638474384676.2336,0.0003523084746929,-158.21779677000006,-145.2177967699999,2866.5
2024-10-17 12:45:59,390831406275.1589,0.0002874951945817,-171.64030833999982,-132.64030834000016,3103.75
2024-10-17 13:00:59,1160846432921.1096,0.0002706883997896,805.679245325,-1111.820754675,2860.0
2024-10-17 13:15:59,406828738837.397,0.0004112480328294,-774.6391918400002,473.3608081600001,2756.0
2024-10-17 13:30:59,294853448746.7435,0.0004331414160001,-514.1190471499999,213.8809528499999,2278.25
2024-10-17 13:45:59,244730059970.3527,0.0005654407746636,-737.7801321349998,438.71986786499974,2132.0
2024-10-17 14:00:59,-34522865026.48415,0.0006638069121133,-779.56572514,481.43427486,1914.25
2024-10-17 14:15:59,-145356000820.22705,0.0004546302052068,-908.6933593599999,612.3066406400001,1543.75
2024-10-17 14:30:59,-34561906548.59084,0.0005141377587826,-982.854475805,687.645524195,1283.75
2024-10-18 09:45:59,25932033979.420666,0.0030643299529896,-1325.2761225799954,845.7238774199955,21420.749999999996
2024-10-18 10:00:59,3231986397.4092817,0.0029273756261586,270.71364272500153,-749.7863572750014,21056.75
2024-10-18 10:15:59,12597964127.456291,0.002533967995825,1469.0032464700046,-1949.9967535300045,20949.499999999996
2024-10-18 10:30:59,33748179677.684544,0.002833450524683,280.9580030199985,-746.0419969799985,20036.25
2024-10-18 10:45:59,21050786550.22237,0.0022697886427187,-830.5838800549985,358.9161199449985,20744.75
2024-10-18 11:00:59,7202376937.8415575,0.0023764894220262,-934.0444791799994,456.95552081999926,21160.75
2024-10-18 11:15:59,8869150506.203964,0.0024930251776161,415.91869934500073,-890.5813006550006,20705.75
2024-10-18 11:30:59,24849786691.021244,0.0025591890885025,-136.16111478500073,-324.66111478499926,19812.0
2024-10-18 11:45:59,20246431146.55286,0.001866463259249,-639.4305062149999,173.06949378500002,20319.0
2024-10-18 12:00:59,30797569293.611176,0.002221027720021,536.6717083450001,-990.8282916549999,19188.0
2024-10-18 12:15:59,24542716404.665382,0.0021806825272217,731.551970935,-1185.948029065,19165.25
2024-10-18 12:30:59,33525334052.755005,0.0018915414364654,109.25913704499851,-560.2408629549985,19045.0
2024-10-18 12:45:59,29835883437.917458,0.0017739517917082,-327.31900248500074,-125.81900248499926,19292.0
2024-10-18 13:00:59,22720082794.17775,0.0020625974384519,-321.43001574499925,-132.93001574500073,19379.75
2024-10-18 13:15:59,29782044896.525173,0.0019134387091535,552.8764382500001,-1007.1235617499999,19191.25
2024-10-18 13:30:59,32632187252.107243,0.0016908006811449,159.53616410499927,-613.9638358949992,19285.5
2024-10-18 13:45:59,26217721779.03062,0.0014918222104908,-906.4140364699986,445.5859635299985,19971.25
2024-10-18 14:00:59,21323122460.14833,0.0014301444330354,-930.3266181499971,473.67338184999704,19672.25
2024-10-18 14:15:59,39588866604.82857,0.0026053414488075,-1164.08937257,720.91062743,18739.5
2024-10-18 14:30:59,39723997326.10741,0.0026844209553698,-1070.2535368399977,632.7464631599978,18307.25
2024-10-21 09:45:59,21783259871.16231,0.003357542874273,344.5954303150023,-779.9045696850022,17855.5
2024-10-21 10:00:59,134238188133.7091,0.003810447011609,-1398.0750236899994,967.9249763099994,17839.25
2024-10-21 10:15:59,60955104271.95177,0.0038246951987243,-874.5976496600011,451.40235034000114,17225.0
2024-10-21 10:30:59,66582178653.67173,0.0039412745982769,-718.1629734050015,302.3370265950015,16656.25
2024-10-21 10:45:59,88442167006.1858,0.0035655359821534,-571.4733967999996,156.52660319999967,16562.0
2024-10-21 11:00:59,114326495755.6999,0.0037234408418516,129.23068136500035,-540.2693186350003,16133.0
2024-10-21 11:15:59,93097016166.2842,0.0037515202472598,453.32527946500227,-866.1747205350023,16198.0
2024-10-21 11:30:59,59754635782.890816,0.0038379878770443,466.7972678650033,-878.7027321350033,16126.5
2024-10-21 11:45:59,83197496172.83104,0.0038763066075201,206.62111467999853,-625.3788853199985,16679.0
2024-10-21 12:00:59,78491012438.24054,0.0042475256017489,-534.1556957300037,115.84430427000368,16799.250000000004
2024-10-21 12:15:59,95750555130.99216,0.0042828586194479,-964.5773724799997,543.4226275199997,17095.0
2024-10-21 12:30:59,126645937216.00111,0.0041399696865724,149.60809342,-565.3919065800001,16474.25
2024-10-21 12:45:59,108082982019.71616,0.0044684321951546,-498.5588131100018,86.44118689000186,16341.0
2024-10-21 13:00:59,107759097049.4723,0.0043577238422374,-1323.0117437749986,906.4882562249986,16831.75
2024-10-21 13:15:59,191496579589.4416,0.0038030647140155,-827.280774664999,414.21922533499884,16477.5
2024-10-21 13:30:59,112659585089.0316,0.0040157930666586,1430.2453251250022,-1839.2546748750024,15717.0
