time,year,dir,reason,net_option,gross_option,cost,delta_model,prem_entry,prem_exit,iv,sl_pts,trail,entry_time,hold_min,fold
2024-07-01 10:10:00,2024,CALL,TRAIL_SL,962.228726746752,1066.1969875820432,103.96826083529119,1059.825000000019,123.95981272803147,140.36284330621675,0.138025,55.0,True,2024-07-01 09:30:00,40.0,1
2024-07-01 14:25:00,2024,CALL,TRAIL_SL,416.12146812772295,525.7338295489626,109.61236142123965,527.4749999999858,138.335110286891,146.42332304918273,0.138025,30.0,True,2024-07-01 13:25:00,60.0,1
2024-07-02 10:25:00,2024,PUT,SL,-2102.6069409516417,-2011.6686424431646,90.9382985084771,-2200.2500000000236,104.49495230132925,73.5462039560498,0.1383,67.7,False,2024-07-02 09:40:00,45.0,1
2024-07-02 11:35:00,2024,CALL,TRAIL_SL,622.9768844982373,717.7801971298322,94.8033126315949,735.1499999999669,104.50635256694659,115.54912483048247,0.1383,46.7,True,2024-07-02 10:50:00,45.0,1
2024-07-02 12:55:00,2024,PUT,TP,2866.82529478013,2961.209132729173,94.38383794904247,2739.7499999999764,96.44861323141959,142.0056768118684,0.1383,42.1,True,2024-07-02 12:20:00,35.0,1
2024-07-05 11:25:00,2024,PUT,BE_SL,-44.85411864236782,69.61542983551226,114.46954847788008,97.5,150.67764513632392,151.74865174917795,0.12855,47.3,False,2024-07-05 10:40:00,45.0,1
2024-07-09 11:00:00,2024,CALL,TRAIL_SL,592.018436224655,680.8568176766312,88.83838145197612,662.0249999999669,91.24300036194836,101.71772063389653,0.11496114503441175,40.2,True,2024-07-09 10:30:00,30.0,1
2024-07-10 10:20:00,2024,PUT,TP,4528.9390474363445,4616.8082207199495,87.86917328360515,3948.75,67.38924009115908,138.417058871466,0.1321725907986812,45.5,True,2024-07-10 09:35:00,45.0,1
2024-07-10 12:30:00,2024,PUT,BE_SL,-10.799132673164635,72.67782341164093,83.47695608480556,97.5,81.14560816847734,82.26372852865643,0.1321725907986812,47.0,False,2024-07-10 12:05:00,25.0,1
2024-07-10 15:20:00,2024,CALL,SQUARE_OFF,1035.591712881311,1118.1485298053576,82.55681692404667,1111.5000000000236,64.37068280358471,81.57296787751329,0.1321725907986812,55.4,True,2024-07-10 14:50:00,30.0,1
2024-07-11 12:55:00,2024,CALL,BE_SL,-400.14319824165545,-310.7554588936091,89.38773934804632,97.5,95.62098385239551,90.84013063864768,0.5950340531362539,49.1,False,2024-07-11 12:35:00,20.0,1
2024-07-11 14:10:00,2024,CALL,BE_SL,-1809.6704061259438,-1722.0810536484805,87.58935247746325,97.5,96.06397282219041,69.57041815067532,0.5950340531362539,50.3,False,2024-07-11 12:55:00,75.0,1
2024-07-15 11:55:00,2024,CALL,BE_SL,-22.702178684921805,67.91547682296368,90.61765550788549,97.5,97.17867244977606,98.22352593936012,0.11059811694926798,34.4,False,2024-07-15 11:20:00,35.0,1
2024-07-15 13:40:00,2024,CALL,TRAIL_SL,608.5811357515942,702.4270461862761,93.84591043468194,705.9000000000378,102.40742046541345,113.21399040674078,0.11059811694926798,33.7,True,2024-07-15 12:50:00,50.0,1
2024-07-18 11:30:00,2024,PUT,TRAIL_SL,667.789267357341,758.4431284210859,90.65386106374487,992.5500000000284,95.06934369237933,106.7376995142422,0.40211401671866553,48.7,True,2024-07-18 11:00:00,30.0,1
2024-07-18 14:55:00,2024,CALL,BE_SL,-521.066384731993,-444.36406597753376,76.70231875445931,97.5,34.19664923152595,27.36027898571774,0.40211401671866553,56.1,False,2024-07-18 14:35:00,20.0,1
2024-07-19 10:20:00,2024,PUT,TRAIL_SL,1036.7505925355608,1187.9809866176583,151.23039408209755,1240.1999999999953,229.5914994040795,247.8681299674281,0.18622288542733947,60.7,True,2024-07-19 09:35:00,45.0,1
2024-07-19 12:05:00,2024,PUT,TRAIL_SL,1373.2621229413357,1522.0484705358558,148.78634759452018,1630.1999999999953,223.04928042554639,246.46541074148263,0.18622288542733947,53.1,True,2024-07-19 10:30:00,95.0,1
2024-07-19 12:50:00,2024,PUT,FLOOD_EXIT,-484.6301982292782,-341.8939701820909,142.73622804718727,-365.625,215.39064432523992,210.1307370916693,0.18622288542733947,39.9,False,2024-07-19 12:45:00,5.0,1
2024-07-22 11:50:00,2024,CALL,REVERSAL,484.42933227659876,637.0333071178538,152.60397484125508,658.125,234.4204626604951,244.22097507769286,0.2441961185330779,48.6,False,2024-07-22 11:15:00,35.0,1
2024-07-22 12:45:00,2024,PUT,TRAIL_SL,908.313587468698,1057.5211420235337,149.20755455483575,1112.4749999999858,225.46773753538946,241.73729356652075,0.2441961185330779,48.1,True,2024-07-22 11:50:00,55.0,1
2024-07-22 12:55:00,2024,PUT,FLOOD_EXIT,-170.34228145115102,-27.81077288036613,142.5315085707849,-13.000000000047294,213.93506052260273,213.5072024782894,0.2441961185330779,40.1,False,2024-07-22 12:45:00,10.0,1
2024-07-23 13:15:00,2024,PUT,TRAIL_SL,1352.8488217778659,1452.6405735053322,99.79175172746639,1440.0749999999243,113.36519670597772,135.71351322144437,0.16090790060348495,90.0,True,2024-07-23 12:55:00,20.0,1
2024-07-23 14:55:00,2024,CALL,TRAIL_SL,1573.6079616125264,1677.8095820285125,104.20162041598614,1580.475000000033,122.54307861281268,148.35553372094364,0.16090790060348495,90.0,True,2024-07-23 14:15:00,40.0,1
2024-07-24 12:55:00,2024,PUT,TRAIL_SL,1425.1278915050477,1512.6607661815706,87.53287467652288,1457.6249999999527,85.67578630415846,108.94749039925955,0.1549656189107031,61.2,True,2024-07-24 12:05:00,50.0,1
