feature,n,spearman,p,captured_pct,stab,n_jun,spear_jun,n_jul,spear_jul,q_bh,clears
oi_rolling_vol,2046,0.05827567034015491,0.00837420868222291,0.004502184269879664,2/2,866,0.044398978026441396,1180,0.06671083917983357,0.1004905041866749,False
atm_pe_oi_chg_pct,2042,-0.014714273303885504,0.5063417579155158,0.001136775766366714,2/2,862,-0.024313260862584132,1180,-0.006900235798865191,0.7040259315258336,False
oi_momentum_3,2048,0.012019795330511689,0.586688276271528,0.0009286093690271039,1/2,868,-0.0020416496716511158,1180,0.022065731463615228,0.7040259315258336,False
oi_acceleration,2049,0.014031063773046424,0.5255770363451001,0.0010839932726635726,2/2,869,0.0029426270470692506,1180,0.02198692222796525,0.7040259315258336,False
ce_pe_oi_ratio,2043,0.014525919756476189,0.5116967776993215,0.0011222241983903619,1/2,863,0.03309533656731421,1180,-0.00551943637078776,0.7040259315258336,False
pcr,2051,-0.012267952113832793,0.5787080762809549,0.0009477811359035864,1/2,871,-0.032980109416580555,1180,0.005551550193452003,0.7040259315258336,False
oi_zscore,2042,0.020544116834701736,0.3534660975874252,0.0015871700679182315,2/2,862,0.023927126681388907,1180,0.01808858352216607,0.7040259315258336,False
oi_price_divergence,2051,0.026673478800366714,0.2272527161543007,0.0020607041665419044,2/2,871,0.010769654086602616,1180,0.03885790094886861,0.7040259315258336,False
oi_breakout,2042,0.020493516082400007,0.3546532270693058,0.001583260822263447,2/2,862,0.016395921514605206,1180,0.0229749167308371,0.7040259315258336,False
oi_trend_persistence,2048,-0.022587384527490154,0.3069254643992398,0.0017450261270923228,2/2,868,-0.010162229557147816,1180,-0.03166898108490688,0.7040259315258336,False
atm_ce_oi_chg_pct,2042,0.008709348217403755,0.6940766460027843,0.0006728552467337511,1/2,862,-0.037359442420813245,1180,0.04317609606258826,0.7571745229121283,False
net_oi_change,2050,0.0034028666558641053,0.8776272286742158,0.00026289414846890054,1/2,870,-0.0017018897579481117,1180,0.0072674963984331875,0.8776272286742158,False
