date,expiry,strike,opt_type,open,high,low,close,settle,volume,oi,oi_change,underlying
2024-07-26,2029-06-28,29000,CE,0.0,0.0,0.0,5677.9,6086.75,0,0,0,24834.85
2024-07-26,2025-03-27,29000,PE,0.0,0.0,0.0,4769.6,3230.9,0,0,0,24834.85
2024-07-26,2027-12-30,29000,PE,0.0,0.0,0.0,4227.5,1920.4,0,0,0,24834.85
2024-07-26,2025-12-24,29000,CE,800.0,800.0,800.0,800.0,1419.95,3,100,75,24834.85
2024-07-26,2027-12-30,29000,CE,0.0,0.0,0.0,1932.55,4171.3,0,0,0,24834.85
2024-07-26,2026-12-31,29000,PE,0.0,0.0,0.0,5042.25,2277.35,0,0,0,24834.85
2024-07-26,2025-06-26,29000,CE,0.0,0.0,0.0,324.45,754.95,0,0,0,24834.85
2024-07-26,2024-09-26,26300,PE,0.0,0.0,0.0,1679.65,1412.15,0,100,0,24834.85
2024-07-26,2024-08-01,26300,PE,0.0,0.0,0.0,2538.5,1435.25,0,0,0,24834.85
2024-07-26,2024-09-26,24700,PE,533.4,533.45,369.05,376.7,376.7,2769,33050,18925,24834.85
2024-07-26,2024-08-08,24700,PE,384.45,384.45,123.8,134.3,134.3,57819,259125,226125,24834.85
2024-07-26,2024-08-01,23400,PE,5.5,7.15,3.05,3.35,3.35,371580,1079325,381025,24834.85
2024-07-26,2024-08-01,23400,CE,1090.0,1464.65,1090.0,1460.0,1460.0,62,26900,625,24834.85
2024-07-26,2024-09-26,23400,CE,0.0,0.0,0.0,1356.6,1848.85,0,75,0,24834.85
2024-07-26,2024-08-22,23750,PE,0.0,0.0,0.0,110.1,75.65,0,0,0,24834.85
2024-07-26,2024-08-22,23750,CE,0.0,0.0,0.0,1326.4,1284.7,0,0,0,24834.85
2024-07-26,2024-08-29,21500,PE,8.8,8.8,4.95,5.55,5.55,19232,753400,20175,24834.85
2024-07-26,2024-08-08,23750,CE,0.0,0.0,0.0,941.5,1167.3,0,0,0,24834.85
2024-07-26,2025-12-24,16500,PE,0.0,0.0,0.0,44.6,5.95,0,2600,0,24834.85
2024-07-26,2024-08-29,24950,CE,161.3,348.3,161.25,337.25,337.25,3100,34375,8250,24834.85
2024-07-26,2024-08-14,24950,CE,87.0,255.1,87.0,235.15,235.15,377,3750,2325,24834.85
2024-07-26,2024-08-08,25850,CE,4.05,8.85,3.55,7.05,7.05,650,7450,3225,24834.85
2024-07-26,2024-09-26,25850,PE,988.1,988.1,987.85,988.0,988.0,7,250,175,24834.85
2024-07-26,2024-08-14,25850,PE,0.0,0.0,0.0,1454.6,1007.3,0,0,0,24834.85
2024-07-26,2024-08-08,25850,PE,0.0,0.0,0.0,1266.9,995.45,0,50,0,24834.85
2024-07-26,2024-08-01,25850,PE,0.0,0.0,0.0,2116.7,992.45,0,0,0,24834.85
2024-07-26,2024-08-01,25850,CE,1.5,2.4,1.1,1.5,1.5,57496,168450,127100,24834.85
2024-07-26,2024-08-29,25850,CE,0.0,0.0,0.0,30.15,199.6,0,0,0,24834.85
2024-07-26,2024-08-22,25850,CE,0.0,0.0,0.0,198.5,146.05,0,0,0,24834.85
2024-07-26,2024-10-31,25850,CE,0.0,0.0,0.0,463.45,625.7,0,0,0,24834.85
2024-07-26,2024-08-01,25700,PE,1106.0,1106.0,815.0,828.9,828.9,191,1100,-100,24834.85
2024-07-26,2024-09-26,25700,CE,113.9,226.95,113.9,215.75,215.75,648,15425,6450,24834.85
2024-07-26,2024-10-31,25700,CE,0.0,0.0,0.0,511.45,684.75,0,0,0,24834.85
2024-07-26,2024-08-14,25700,CE,31.75,31.75,20.6,25.95,25.95,107,2050,2050,24834.85
2024-07-26,2024-08-14,25700,PE,0.0,0.0,0.0,1328.3,885.4,0,0,0,24834.85
2024-07-26,2024-08-29,25700,PE,1201.0,1201.0,839.0,855.25,855.25,162,1950,-1000,24834.85
2024-07-26,2024-08-29,25700,CE,28.0,78.75,28.0,74.35,74.35,64794,590825,279800,24834.85
2024-07-26,2024-08-01,25700,CE,1.55,3.4,1.3,2.05,2.05,561662,1067000,562025,24834.85
2024-07-26,2024-08-08,25700,PE,914.8,922.0,807.45,813.6,813.6,45,775,775,24834.85
2024-07-26,2024-08-08,25700,CE,5.1,10.5,4.45,9.0,9.0,24617,121575,78950,24834.85
2024-07-26,2024-09-26,24850,CE,457.0,628.0,457.0,615.35,615.35,30,625,400,24834.85
2024-07-26,2024-10-31,24850,PE,0.0,0.0,0.0,817.8,632.95,0,0,0,24834.85
