date,expiry,strike,opt_type,open,high,low,close,settle,volume,oi,oi_change,underlying
2025-10-10,2025-11-25,25500,PE,400.05,403.1,304.6,321.95,321.95,9661,700950,64275,25285.35
2025-10-10,2025-11-25,26150,PE,0.0,0.0,0.0,823.9,874.45,0,300,0,25285.35
2025-10-10,2025-12-30,23250,PE,0.0,0.0,0.0,52.05,31.85,0,9375,0,25285.35
2025-10-10,2025-12-30,23750,PE,0.0,0.0,0.0,227.05,71.45,0,75,0,25285.35
2025-10-10,2025-12-30,23800,PE,80.0,80.0,70.35,71.65,71.65,1788,280050,45750,25285.35
2025-10-10,2025-12-30,24500,PE,164.7,164.75,135.2,138.25,138.25,9385,590025,217275,25285.35
2025-10-10,2025-12-30,25900,PE,564.7,570.0,558.55,570.0,570.0,47,5850,-1125,25285.35
2025-10-10,2025-12-30,26450,PE,0.0,0.0,0.0,1090.7,1113.7,0,75,0,25285.35
2025-10-10,2025-12-30,26550,PE,1072.1,1072.1,955.4,955.4,955.4,4,750,150,25285.35
2025-10-10,2026-03-31,23000,PE,107.35,107.4,99.1,100.6,100.6,1655,550725,2175,25285.35
2025-10-10,2026-06-30,15000,PE,0.0,0.0,0.0,35.0,0.05,0,1275,0,25285.35
2025-10-10,2026-09-29,20000,PE,0.0,0.0,0.0,51.65,9.2,0,0,0,25285.35
2025-10-10,2026-12-29,12000,PE,0.0,0.0,0.0,20.05,0.05,0,575,0,25285.35
2025-10-10,2026-12-29,24000,PE,476.6,476.6,457.75,460.85,460.85,97,103750,1575,25285.35
2025-10-10,2027-06-29,19000,PE,0.0,0.0,0.0,182.1,12.05,0,600,0,25285.35
2025-10-10,2027-06-29,29000,PE,0.0,0.0,0.0,4627.1,2244.2,0,0,0,25285.35
2025-10-10,2027-06-29,31000,PE,0.0,0.0,0.0,4436.25,3505.5,0,0,0,25285.35
2025-10-10,2027-12-28,15000,PE,0.0,0.0,0.0,3.05,0.25,0,625,0,25285.35
2025-10-10,2027-12-28,28000,PE,0.0,0.0,0.0,4251.0,1574.9,0,0,0,25285.35
2025-10-10,2028-06-27,19000,PE,0.0,0.0,0.0,537.45,26.0,0,0,0,25285.35
2025-10-10,2028-06-27,21000,PE,0.0,0.0,0.0,907.2,94.2,0,0,0,25285.35
2025-10-10,2028-12-26,21000,PE,0.0,0.0,0.0,618.05,102.45,0,1250,0,25285.35
2025-10-10,2025-10-20,25000,PE,64.0,64.0,32.65,35.05,35.05,88808,1392900,274200,25285.35
2025-10-10,2028-12-26,29000,PE,0.0,0.0,0.0,2010.85,1692.4,0,0,0,25285.35
2025-10-10,2028-06-27,20000,PE,0.0,0.0,0.0,400.0,51.45,0,0,0,25285.35
2025-10-10,2027-06-29,22000,PE,0.0,0.0,0.0,3995.4,126.65,0,0,0,25285.35
2025-10-10,2026-12-29,23000,PE,343.5,352.85,333.1,337.75,337.75,221,72200,300,25285.35
2025-10-10,2026-12-29,20000,PE,129.0,134.0,129.0,130.45,130.45,8,43325,0,25285.35
2025-10-10,2026-09-29,30000,PE,0.0,0.0,0.0,4017.1,3408.45,0,0,0,25285.35
2025-10-10,2026-06-30,30000,PE,0.0,0.0,0.0,5541.2,3658.15,0,0,0,25285.35
2025-10-10,2026-06-30,19000,PE,0.0,0.0,0.0,205.7,0.75,0,250,0,25285.35
2025-10-10,2026-06-30,16000,PE,0.0,0.0,0.0,21.0,0.05,0,2275,0,25285.35
2025-10-10,2026-06-30,12000,PE,0.0,0.0,0.0,20.0,0.05,0,325,0,25285.35
2025-10-10,2026-03-31,27000,PE,1314.95,1314.95,1180.1,1201.55,1201.55,368,250125,10425,25285.35
2025-10-10,2025-12-30,30000,PE,4300.0,4300.0,4172.15,4206.25,4206.25,326,192500,2325,25285.35
2025-10-10,2025-12-30,26300,PE,847.35,847.35,786.95,803.25,803.25,18,675,525,25285.35
2025-10-10,2025-12-30,26050,PE,0.0,0.0,0.0,746.1,848.8,0,1575,0,25285.35
2025-10-10,2025-12-30,26000,PE,714.5,719.1,602.15,627.8,627.8,4516,3414325,12925,25285.35
2025-10-10,2025-12-30,25250,PE,328.45,331.0,299.1,307.5,307.5,152,12975,8625,25285.35
2025-10-10,2025-12-30,24350,PE,119.0,121.1,118.45,121.1,121.1,48,5250,150,25285.35
2025-10-10,2025-12-30,23700,PE,76.3,76.35,64.05,68.0,68.0,453,74925,4800,25285.35
2025-10-10,2025-12-30,23500,PE,60.4,62.0,55.65,57.95,57.95,3979,285300,-8550,25285.35
2025-10-10,2025-12-30,23400,PE,56.75,56.75,51.6,52.75,52.75,156,92175,1350,25285.35
2025-10-10,2025-12-30,22000,PE,28.05,29.55,27.0,28.75,28.75,3183,1710250,-2325,25285.35
2025-10-10,2025-12-30,17000,CE,8470.0,8586.4,8470.0,8506.5,8506.5,8,108250,300,25285.35
2025-10-10,2025-12-30,26500,CE,119.65,184.95,119.65,171.5,171.5,5902,517575,87675,25285.35
2025-10-10,2026-03-31,25000,CE,1352.0,1484.75,1352.0,1449.0,1449.0,482,329175,6450,25285.35
2025-10-10,2026-03-31,28000,CE,129.45,149.55,129.05,143.55,143.55,1208,478125,9825,25285.35
2025-10-10,2026-06-30,27000,CE,650.25,714.85,650.25,686.05,686.05,176,99900,8775,25285.35
2025-10-10,2026-09-29,30000,CE,0.0,0.0,0.0,404.4,321.05,0,0,0,25285.35
2025-10-10,2026-12-29,16000,CE,0.0,0.0,0.0,6200.0,10368.65,0,50,0,25285.35
2025-10-10,2026-12-29,24000,CE,3450.0,3485.0,3450.0,3485.0,3259.95,3,9900,0,25285.35
2025-10-10,2026-12-29,28000,CE,1024.7,1088.1,1024.7,1055.05,1055.05,100,58200,4200,25285.35
2025-10-10,2027-06-29,25000,CE,0.0,0.0,0.0,2090.05,3239.35,0,0,0,25285.35
2025-10-10,2027-06-29,28000,CE,0.0,0.0,0.0,2186.3,1635.35,0,0,0,25285.35
2025-10-10,2028-06-27,19000,CE,0.0,0.0,0.0,6252.25,9057.6,0,0,0,25285.35
