date,expiry,strike,opt_type,open,high,low,close,settle,volume,oi,oi_change,underlying
2024-08-09,2024-08-22,24350,CE,252.2,297.3,231.0,259.6,259.6,23736,52150,25975,24367.5
2024-08-09,2024-08-14,24350,PE,190.0,194.8,118.2,133.2,133.2,2245991,1422650,1351100,24367.5
2024-08-09,2024-10-31,24350,PE,0.0,0.0,0.0,590.85,587.75,0,0,0,24367.5
2024-08-09,2024-08-29,24550,CE,205.0,252.0,203.7,224.4,224.4,9304,78825,-15850,24367.5
2024-08-09,2024-08-14,23550,PE,20.25,21.4,8.8,10.3,10.3,277703,588225,420075,24367.5
2024-08-09,2025-03-27,23000,CE,2347.65,2522.0,2347.65,2493.1,2493.1,45,1225,-400,24367.5
2024-08-09,2024-09-05,24550,PE,0.0,0.0,0.0,224.85,475.9,0,25,0,24367.5
2024-08-09,2026-12-31,23000,PE,0.0,0.0,0.0,701.0,587.1,0,12775,0,24367.5
2024-08-09,2024-08-14,23000,PE,7.3,7.8,3.4,4.0,4.0,740574,4593875,1123750,24367.5
2024-08-09,2024-08-14,24550,CE,77.05,107.5,61.65,68.95,68.95,901745,1365150,719475,24367.5
2024-08-09,2024-10-31,24550,PE,0.0,0.0,0.0,676.15,676.6,0,0,0,24367.5
2024-08-09,2028-12-28,23000,CE,0.0,0.0,0.0,6377.6,8163.75,0,0,0,24367.5
2024-08-09,2027-12-30,23000,PE,0.0,0.0,0.0,2201.3,568.45,0,0,0,24367.5
2024-08-09,2024-09-05,24550,CE,0.0,0.0,0.0,294.35,421.25,0,50,0,24367.5
2024-08-09,2024-08-29,23000,PE,55.0,55.0,36.0,39.45,39.45,98999,3419150,251475,24367.5
2024-08-09,2024-09-12,23550,PE,0.0,0.0,0.0,214.4,150.95,0,0,0,24367.5
2024-08-09,2024-09-26,23550,PE,199.9,217.8,187.0,196.35,196.35,13,5400,25,24367.5
2024-08-09,2024-09-05,23550,CE,0.0,0.0,0.0,1680.25,1060.45,0,0,0,24367.5
2024-08-09,2024-08-29,23550,PE,90.05,103.7,75.45,81.65,81.65,2992,31225,-6375,24367.5
2024-08-09,2025-06-26,23000,CE,0.0,0.0,0.0,3530.2,3253.1,0,50,0,24367.5
2024-08-09,2024-12-26,23000,CE,2164.8,2169.95,2099.95,2139.95,2139.95,554,481375,-2700,24367.5
2024-08-09,2024-08-22,24550,CE,147.1,192.0,140.0,157.5,157.5,7991,29075,9400,24367.5
2024-08-09,2024-12-26,23000,PE,300.0,300.0,266.7,271.9,271.9,7309,1829925,-19525,24367.5
2024-08-09,2024-09-26,25000,PE,800.0,800.0,710.1,729.2,729.2,10349,743600,39850,24367.5
2024-08-09,2024-09-05,25800,CE,53.0,53.0,17.35,22.75,22.75,50,750,625,24367.5
2024-08-09,2024-12-26,25000,CE,722.6,775.75,716.8,761.5,761.5,5135,1128375,-28925,24367.5
2024-08-09,2028-12-28,25000,PE,0.0,0.0,0.0,1311.0,853.05,0,100,0,24367.5
2024-08-09,2028-06-29,25000,CE,0.0,0.0,0.0,3545.15,6416.5,0,0,0,24367.5
