date,expiry,strike,opt_type,open,high,low,close,settle,volume,oi,oi_change,underlying
2024-10-28,2027-06-24,19000,CE,0.0,0.0,0.0,7800.0,8500.45,0,100,0,24339.15
2024-10-28,2024-11-14,24450,PE,395.05,423.3,245.0,299.3,299.3,1523,4550,2375,24339.15
2024-10-28,2024-12-05,24450,PE,0.0,0.0,0.0,461.7,395.05,0,0,0,24339.15
2024-10-28,2024-11-21,24450,PE,310.0,312.45,310.0,312.35,339.15,5,100,0,24339.15
2024-10-28,2024-11-07,24450,PE,312.65,375.55,183.1,253.7,253.7,55552,538900,515225,24339.15
2024-10-28,2024-11-28,24450,PE,424.55,486.9,317.75,369.3,369.3,2176,24450,9825,24339.15
2024-10-28,2024-10-31,24450,CE,57.5,148.0,38.4,67.7,67.7,2752856,3134150,785975,24339.15
2024-10-28,2024-10-31,23700,PE,22.9,32.1,6.6,9.15,9.15,1050478,1981750,249225,24339.15
2024-10-28,2024-12-26,23700,PE,273.9,291.05,206.3,236.9,236.9,679,92025,-375,24339.15
2024-10-28,2024-10-31,27350,PE,0.0,0.0,0.0,2566.2,2995.7,0,0,0,24339.15
2024-10-28,2024-11-21,23700,PE,177.35,177.35,109.7,110.75,84.9,17,475,175,24339.15
2024-10-28,2024-10-31,23700,CE,580.0,791.85,495.3,662.25,662.25,7265,45600,-14800,24339.15
2024-10-28,2024-11-07,23700,PE,88.2,97.45,39.4,50.7,50.7,33411,372025,48600,24339.15
2024-10-28,2024-12-05,23700,CE,0.0,0.0,0.0,1093.5,938.25,0,0,0,24339.15
2024-10-28,2024-11-28,27350,CE,10.15,11.4,6.55,7.4,7.4,18,1300,325,24339.15
2024-10-28,2024-11-28,25700,CE,35.95,44.0,31.45,35.05,35.05,16326,159375,-12650,24339.15
2024-10-28,2024-10-31,25700,CE,2.15,5.0,1.2,1.45,1.45,119639,1640825,-34125,24339.15
2024-10-28,2024-11-07,25700,PE,1331.85,1331.85,1215.65,1301.6,1301.6,130,3200,3075,24339.15
2024-10-28,2024-11-14,25700,CE,12.9,15.45,11.1,11.35,11.35,1162,9575,-1050,24339.15
2024-10-28,2024-12-05,25700,PE,0.0,0.0,0.0,1254.55,1258.45,0,0,0,24339.15
2024-10-28,2024-11-28,25700,PE,1321.6,1375.0,1139.35,1237.0,1237.0,243,34975,2425,24339.15
2024-10-28,2024-11-14,25700,PE,1254.0,1254.0,1200.0,1200.0,1292.0,2,50,50,24339.15
2024-10-28,2024-11-21,25700,CE,30.2,30.2,18.6,20.45,20.45,27,875,-25,24339.15
2024-10-28,2024-12-26,25700,CE,121.7,154.9,118.2,134.1,134.1,1974,61850,33575,24339.15
2024-10-28,2024-12-05,24400,CE,0.0,0.0,0.0,641.95,481.4,0,0,0,24339.15
2024-10-28,2024-12-26,22950,CE,0.0,0.0,0.0,3704.5,1699.45,0,0,0,24339.15
2024-10-28,2024-12-05,22950,PE,0.0,0.0,0.0,64.2,30.05,0,0,0,24339.15
2024-10-28,2027-12-30,26000,PE,0.0,0.0,0.0,3359.75,898.65,0,0,0,24339.15
2024-10-28,2026-12-31,26000,CE,0.0,0.0,0.0,1631.05,2959.1,0,0,0,24339.15
2024-10-28,2024-11-07,26000,CE,4.55,5.0,2.6,3.6,3.6,30930,388525,69200,24339.15
2024-10-28,2025-03-27,26000,CE,418.8,464.85,397.1,427.4,427.4,4778,363900,-6950,24339.15
2024-10-28,2024-11-28,26000,CE,24.95,25.65,19.7,20.5,20.5,64018,1781325,118450,24339.15
2024-10-28,2024-12-26,26000,PE,1510.05,1597.1,1310.3,1422.25,1422.25,6971,961575,-78125,24339.15
2024-10-28,2029-06-28,26000,CE,0.0,0.0,0.0,7052.2,6055.8,0,0,0,24339.15
2024-10-28,2024-10-31,26000,CE,1.95,2.45,1.1,1.35,1.35,364299,7326000,61750,24339.15
2024-10-28,2025-06-26,26000,PE,1410.0,1490.0,1300.1,1323.3,1323.3,36,12600,325,24339.15
2024-10-28,2024-11-07,26000,PE,1685.0,1773.75,1480.2,1606.7,1606.7,5441,21025,15700,24339.15
2024-10-28,2025-12-24,26000,CE,1601.1,1708.0,1550.0,1651.2,1651.2,183,35550,-50,24339.15
2024-10-28,2028-06-29,26000,PE,0.0,0.0,0.0,2370.3,822.75,0,0,0,24339.15
2024-10-28,2027-12-30,26000,CE,0.0,0.0,0.0,3162.4,4249.9,0,0,0,24339.15
2024-10-28,2026-12-31,30000,CE,0.0,0.0,0.0,1131.45,1316.25,0,0,0,24339.15
2024-10-28,2024-12-26,23300,PE,195.9,213.35,142.3,166.45,166.45,375,22675,-750,24339.15
2024-10-28,2024-11-14,23300,CE,0.0,0.0,0.0,1895.45,1128.55,0,0,0,24339.15
2024-10-28,2025-03-27,30000,PE,0.0,0.0,0.0,4993.1,4855.7,0,1675,0,24339.15
2024-10-28,2025-12-24,30000,CE,336.85,395.0,335.0,351.05,351.05,25,9325,125,24339.15
2024-10-28,2025-09-25,30000,PE,0.0,0.0,0.0,2720.25,4088.35,0,0,0,24339.15
2024-10-28,2027-12-30,30000,CE,0.0,0.0,0.0,1877.7,2396.95,0,0,0,24339.15
2024-10-28,2025-09-25,30000,CE,0.0,0.0,0.0,1042.7,214.0,0,0,0,24339.15
2024-10-28,2024-12-05,23300,CE,0.0,0.0,0.0,1405.55,1265.9,0,0,0,24339.15
2024-10-28,2025-12-24,30000,PE,0.0,0.0,0.0,6135.1,3790.0,0,0,0,24339.15
2024-10-28,2024-12-26,30000,CE,8.65,8.8,7.5,7.8,7.8,796,603675,-1025,24339.15
2024-10-28,2026-06-25,30000,PE,0.0,0.0,0.0,5541.2,3291.25,0,0,0,24339.15
2024-10-28,2028-06-29,30000,CE,0.0,0.0,0.0,2278.45,2958.75,0,0,0,24339.15
2024-10-28,2024-11-07,23300,PE,30.65,44.3,17.9,21.95,21.95,44224,285700,131100,24339.15
2024-10-28,2025-12-24,29000,CE,506.0,555.0,500.0,555.0,555.0,16,15275,125,24339.15
2024-10-28,2028-12-28,29000,PE,0.0,0.0,0.0,2010.85,1503.65,0,0,0,24339.15
2024-10-28,2024-12-26,27650,CE,0.0,0.0,0.0,19.2,8.2,0,1325,0,24339.15
2024-10-28,2024-11-07,23350,PE,38.3,44.55,19.9,23.3,23.3,3852,18500,18475,24339.15
2024-10-28,2024-12-05,23350,CE,0.0,0.0,0.0,1364.55,1222.9,0,0,0,24339.15
2024-10-28,2024-11-14,23350,CE,0.0,0.0,0.0,1849.3,1081.75,0,0,0,24339.15
2024-10-28,2024-11-14,23350,PE,0.0,0.0,0.0,38.45,19.35,0,0,0,24339.15
2024-10-28,2024-11-14,26000,PE,0.0,0.0,0.0,1745.0,1583.4,0,25,0,24339.15
2024-10-28,2024-12-05,26000,CE,46.0,46.65,35.25,42.75,42.75,266,5200,250,24339.15
2024-10-28,2029-06-28,26000,PE,0.0,0.0,0.0,1391.75,688.85,0,25,0,24339.15
2024-10-28,2026-06-25,26000,CE,0.0,0.0,0.0,1343.15,2258.45,0,0,0,24339.15
2024-10-28,2026-06-25,26000,PE,0.0,0.0,0.0,6709.2,1167.15,0,0,0,24339.15
2024-10-28,2024-10-31,26000,PE,1733.2,1831.0,1505.5,1664.25,1664.25,9864,2125900,-78100,24339.15
2024-10-28,2027-06-24,26000,CE,0.0,0.0,0.0,1900.85,3588.85,0,0,0,24339.15
2024-10-28,2024-11-21,26000,CE,17.3,18.25,12.75,13.7,13.7,636,26175,3825,24339.15
2024-10-28,2025-03-27,26000,PE,1429.45,1474.6,1247.0,1316.45,1316.45,2163,321250,4875,24339.15
2024-10-28,2025-09-25,26000,PE,0.0,0.0,0.0,812.55,1315.7,0,0,0,24339.15
2024-10-28,2026-12-31,26000,PE,0.0,0.0,0.0,1000.0,1069.3,0,150,0,24339.15
2024-10-28,2028-12-28,26000,CE,0.0,0.0,0.0,4879.7,5470.45,0,0,0,24339.15
2024-10-28,2024-11-28,24200,PE,325.95,376.7,235.05,279.3,279.3,42965,501850,65575,24339.15
2024-10-28,2026-12-31,30000,PE,0.0,0.0,0.0,5003.2,2880.2,0,0,0,24339.15
2024-10-28,2028-06-29,30000,PE,0.0,0.0,0.0,3779.25,2034.9,0,0,0,24339.15
2024-10-28,2029-06-28,30000,PE,0.0,0.0,0.0,2031.05,1642.75,0,0,0,24339.15
2024-10-28,2027-06-24,30000,CE,0.0,0.0,0.0,1478.4,1825.25,0,0,0,24339.15
2024-10-28,2028-12-28,30000,CE,0.0,0.0,0.0,3293.05,3524.95,0,0,0,24339.15
2024-10-28,2027-06-24,30000,PE,0.0,0.0,0.0,4562.55,2564.3,0,0,0,24339.15
2024-10-28,2024-11-07,23300,CE,1175.0,1180.0,1144.0,1144.0,1086.45,5,2275,125,24339.15
2024-10-28,2024-10-31,26300,PE,2038.85,2129.95,1810.0,1940.5,1940.5,1084,280425,-25250,24339.15
2024-10-28,2024-12-26,26300,PE,1669.15,1669.15,1669.15,1669.15,1749.3,1,2025,25,24339.15
2024-10-28,2024-11-07,26300,CE,3.85,5.0,2.8,3.05,3.05,2175,25850,8800,24339.15
2024-10-28,2024-11-14,24700,CE,145.05,215.0,120.8,158.3,158.3,5133,56775,7875,24339.15
2024-10-28,2024-11-07,24700,CE,84.95,139.55,64.15,91.1,91.1,84032,373025,74875,24339.15
2024-10-28,2024-11-21,24700,PE,492.55,513.45,419.75,419.75,480.05,5,0,-75,24339.15
2024-10-28,2024-11-28,24250,CE,478.05,615.95,449.05,526.7,526.7,2096,25125,12800,24339.15
2024-10-28,2024-11-28,24250,PE,349.95,397.1,250.95,296.45,296.45,7294,87875,62125,24339.15
2024-10-28,2024-11-21,24250,PE,318.4,318.4,239.85,248.25,248.25,19,300,300,24339.15
2024-10-28,2024-12-05,24250,CE,0.0,0.0,0.0,726.95,564.9,0,0,0,24339.15
2024-10-28,2024-10-31,24250,CE,140.0,290.0,103.85,174.15,174.15,1263471,793300,-345500,24339.15
2024-10-28,2024-12-26,24250,PE,440.4,440.4,350.0,383.75,383.75,131,2400,1850,24339.15
2024-10-28,2024-12-05,24250,PE,0.0,0.0,0.0,375.25,305.9,0,0,0,24339.15
2024-10-28,2024-11-14,24250,CE,359.0,477.9,311.65,389.7,389.7,735,3100,925,24339.15
2024-10-28,2024-11-21,24250,CE,409.95,510.55,388.65,510.55,443.85,51,300,300,24339.15
2024-10-28,2024-11-14,24250,PE,280.95,323.65,182.0,228.25,228.25,1015,13575,3625,24339.15
2024-10-28,2024-10-31,24250,PE,145.0,193.6,46.1,77.95,77.95,1741531,1502400,1025150,24339.15
2024-10-28,2024-11-07,24250,PE,220.0,272.05,125.0,168.9,168.9,24689,61575,26775,24339.15
2024-10-28,2024-12-26,24250,CE,727.15,849.35,693.25,760.0,760.0,62,925,100,24339.15
2024-10-28,2024-11-07,24250,CE,270.4,405.55,228.15,307.3,307.3,22565,31850,-14650,24339.15
2024-10-28,2026-06-25,13000,PE,0.0,0.0,0.0,21.6,0.05,0,200,0,24339.15
2024-10-28,2024-11-28,23650,PE,190.0,193.4,122.15,141.3,141.3,685,18350,7900,24339.15
2024-10-28,2024-12-05,23650,PE,0.0,0.0,0.0,183.05,122.2,0,0,0,24339.15
2024-10-28,2024-12-05,23650,CE,0.0,0.0,0.0,1129.75,976.95,0,0,0,24339.15
2024-10-28,2024-12-26,27800,PE,0.0,0.0,0.0,1515.35,3165.4,0,0,0,24339.15
2024-10-28,2025-03-27,25000,PE,840.0,895.0,740.1,788.55,788.55,6489,646125,-18050,24339.15
2024-10-28,2024-10-31,25800,CE,1.7,2.35,1.15,1.4,1.4,99430,1588875,-12850,24339.15
2024-10-28,2027-06-24,25000,PE,0.0,0.0,0.0,5619.05,722.95,0,0,0,24339.15
2024-10-28,2024-11-14,25000,CE,69.0,100.3,50.0,71.95,71.95,12403,137050,9175,24339.15
2024-10-28,2025-12-24,25000,CE,2132.0,2236.65,2100.0,2175.3,2175.3,119,48750,1300,24339.15
2024-10-28,2025-03-27,25000,CE,799.95,915.0,779.95,853.2,853.2,3343,305250,13900,24339.15
2024-10-28,2024-11-28,25800,CE,29.45,35.6,27.05,28.95,28.95,14392,190450,3650,24339.15
2024-10-28,2027-12-30,25000,PE,0.0,0.0,0.0,2948.45,669.7,0,0,0,24339.15
2024-10-28,2024-11-28,23700,PE,185.05,219.0,130.0,150.65,150.65,16329,565425,51600,24339.15
2024-10-28,2024-10-31,27350,CE,1.7,2.4,0.8,0.9,0.9,1574,49350,-3825,24339.15
2024-10-28,2024-11-28,23700,CE,875.65,1030.0,821.35,929.05,929.05,79,15000,-525,24339.15
2024-10-28,2024-11-14,23700,PE,122.0,144.5,71.7,89.3,89.3,795,9350,5025,24339.15
2024-10-28,2024-12-26,23750,PE,243.05,249.9,226.65,249.9,249.9,3,1175,0,24339.15
2024-10-28,2024-11-07,23750,CE,622.0,732.5,586.8,732.5,665.0,42,2500,25,24339.15
2024-10-28,2024-12-26,25850,CE,0.0,0.0,0.0,102.8,135.7,0,2275,0,24339.15
2024-10-28,2024-11-07,25850,PE,0.0,0.0,0.0,749.35,1463.9,0,0,0,24339.15
2024-10-28,2024-11-07,25850,CE,5.65,5.8,3.7,3.95,3.95,417,9775,2925,24339.15
2024-10-28,2024-11-28,25850,CE,28.6,32.7,24.35,26.5,26.5,498,14425,2050,24339.15
2024-10-28,2024-11-21,25850,CE,0.0,0.0,0.0,175.15,20.1,0,0,0,24339.15
