date,expiry,strike,opt_type,open,high,low,close,settle,volume,oi,oi_change,underlying
2024-06-03,2024-06-06,20200,CE,2955.1,3145.3,2885.2,3091.8,3091.8,63,1650,-650,0.0
2024-06-03,2024-06-06,20250,CE,0.0,0.0,0.0,2312.2,3025.7,0,1175,0,0.0
2024-06-03,2024-06-06,20300,CE,0.0,0.0,0.0,2270.8,2975.7,0,1425,0,0.0
2024-06-03,2024-06-06,20350,CE,0.0,0.0,0.0,2181.0,2925.75,0,1125,0,0.0
2024-06-03,2024-06-06,20400,CE,0.0,0.0,0.0,2170.05,2875.75,0,650,0,0.0
2024-06-03,2024-06-06,20450,CE,0.0,0.0,0.0,2115.8,2825.8,0,1000,0,0.0
2024-06-03,2024-06-06,20500,CE,2674.95,2802.0,2618.9,2749.75,2749.75,340,17025,-1350,0.0
2024-06-03,2024-06-06,20550,CE,0.0,0.0,0.0,1988.25,2725.85,0,4550,0,0.0
2024-06-03,2024-06-06,20600,CE,0.0,0.0,0.0,1981.0,2675.9,0,4825,0,0.0
2024-06-03,2024-06-06,20650,CE,2450.0,2450.0,2450.0,2450.0,2625.9,1,5800,-25,0.0
2024-06-03,2024-06-06,20700,CE,0.0,0.0,0.0,1955.0,2575.95,0,9000,0,0.0
2024-06-03,2024-06-06,20750,CE,2439.9,2452.35,2430.5,2452.35,2525.95,9,8850,0,0.0
2024-06-03,2024-06-06,20800,CE,2335.5,2368.85,2335.5,2368.85,2476.0,8,1750,0,0.0
2024-06-03,2024-06-06,20850,CE,0.0,0.0,0.0,1801.3,2426.05,0,800,0,0.0
2024-06-03,2024-06-06,20900,CE,2244.95,2300.0,2244.95,2300.0,2376.05,6,9250,-100,0.0
2024-06-03,2024-06-06,20950,CE,2190.1,2203.35,2156.5,2203.35,2203.35,62,3950,0,0.0
2024-06-03,2024-06-06,21000,CE,2300.0,2331.95,2066.6,2301.65,2301.65,2430,240900,-17850,0.0
2024-06-03,2024-06-06,21050,CE,2115.1,2434.65,2049.55,2201.0,2201.0,62,5175,25,0.0
2024-06-03,2024-06-06,21100,CE,2065.1,2214.2,2050.95,2209.15,2209.15,40,2350,-425,0.0
2024-06-03,2024-06-06,21150,CE,2015.1,2033.1,2015.1,2033.1,2126.2,8,2275,0,0.0
2024-06-03,2024-06-06,21200,CE,1965.1,2224.9,1929.9,2047.5,2047.5,67,7750,-175,0.0
2024-06-03,2024-06-06,21250,CE,0.0,0.0,0.0,1400.0,2026.25,0,950,0,0.0
2024-06-03,2024-06-06,21300,CE,1914.75,2040.0,1818.1,2040.0,2040.0,12,6325,25,0.0
2024-06-03,2024-06-06,21350,CE,0.0,0.0,0.0,1335.3,1926.3,0,475,0,0.0
2024-06-03,2024-06-06,21400,CE,1784.95,1923.95,1700.35,1885.5,1885.5,259,6000,-1650,0.0
2024-06-03,2024-06-06,21450,CE,1800.6,1803.05,1673.2,1739.3,1739.3,22,3050,100,0.0
2024-06-03,2024-06-06,21500,CE,1639.0,1843.3,1558.75,1811.85,1811.85,1965,79525,-15525,0.0
2024-06-03,2024-06-06,21550,CE,1626.2,1826.7,1500.2,1826.7,1826.7,28,1400,200,0.0
2024-06-03,2024-06-06,21600,CE,1572.85,1724.7,1513.9,1724.7,1724.7,90,11775,-300,0.0
2024-06-03,2024-06-06,21650,CE,1529.9,1671.9,1476.2,1669.45,1669.45,138,4300,-400,0.0
2024-06-03,2024-06-06,21700,CE,1500.05,1650.5,1400.0,1624.65,1624.65,315,9900,-425,0.0
2024-06-03,2024-06-06,21750,CE,1409.9,1600.1,1318.1,1588.4,1588.4,183,5050,-625,0.0
2024-06-03,2024-06-06,21800,CE,1295.95,1534.35,1275.4,1496.05,1496.05,781,24950,-12400,0.0
2024-06-03,2024-06-06,21850,CE,1330.1,1492.85,1224.35,1489.55,1489.55,294,19475,-4375,0.0
2024-06-03,2024-06-06,21900,CE,1276.2,1457.75,1187.8,1440.85,1440.85,457,9050,-5500,0.0
2024-06-03,2024-06-06,21950,CE,1244.9,1385.05,1192.8,1371.0,1371.0,180,23850,-2250,0.0
2024-06-03,2024-06-06,22000,CE,1301.55,1392.4,1088.65,1328.55,1328.55,16011,533775,-90500,0.0
2024-06-03,2024-06-06,22050,CE,1100.0,1323.0,1068.0,1323.0,1323.0,206,10850,-2300,0.0
2024-06-03,2024-06-06,22100,CE,1078.5,1273.0,995.85,1234.25,1234.25,1898,31450,-9550,0.0
2024-06-03,2024-06-06,22150,CE,1100.0,1210.1,970.0,1199.4,1199.4,661,20525,-2700,0.0
2024-06-03,2024-06-06,22200,CE,1111.55,1192.75,904.4,1136.85,1136.85,5141,69350,-44900,0.0
2024-06-03,2024-06-06,22250,CE,1000.0,1135.7,860.0,1108.25,1108.25,906,22875,-6350,0.0
2024-06-03,2024-06-06,22300,CE,1197.0,1197.0,818.15,1042.75,1042.75,12338,84375,-45125,0.0
2024-06-03,2024-06-06,22350,CE,854.7,1041.75,775.45,1004.0,1004.0,5211,42025,-21075,0.0
2024-06-03,2024-06-06,22400,CE,850.0,1040.45,731.9,944.7,944.7,18020,241500,-93175,0.0
2024-06-03,2024-06-06,22450,CE,750.0,988.7,688.9,908.8,908.8,20290,1085950,-45100,0.0
2024-06-03,2024-06-06,22500,CE,767.5,1050.0,647.15,865.0,865.0,168200,1658725,-840475,0.0
2024-06-03,2024-06-06,22550,CE,610.0,1000.0,606.35,815.9,815.9,48522,216650,-352100,0.0
2024-06-03,2024-06-06,22600,CE,651.0,943.95,567.45,781.4,781.4,129789,1304075,-837150,0.0
2024-06-03,2024-06-06,22650,CE,650.0,821.15,527.25,734.55,734.55,56204,260525,-297725,0.0
2024-06-03,2024-06-06,22700,CE,540.1,799.95,491.05,699.55,699.55,98762,687575,-638525,0.0
2024-06-03,2024-06-06,22750,CE,710.55,710.55,456.65,662.6,662.6,34572,154900,-178450,0.0
2024-06-03,2024-06-06,22800,CE,669.0,798.95,421.55,628.35,628.35,165156,740100,-994800,0.0
2024-06-03,2024-06-06,22850,CE,625.25,671.75,388.6,593.4,593.4,45201,146025,-169250,0.0
2024-06-03,2024-06-06,22900,CE,580.0,626.65,356.3,551.95,551.95,136634,467675,-355675,0.0
2024-06-03,2024-06-06,22950,CE,557.15,632.35,326.15,526.9,526.9,77854,283150,-91075,0.0
2024-06-03,2024-06-06,23000,CE,501.0,647.8,297.45,491.3,491.3,1122123,4086200,-2415200,0.0
2024-06-03,2024-06-06,23050,CE,495.8,515.1,270.05,466.8,466.8,213863,442275,-2900,0.0
2024-06-03,2024-06-06,23100,CE,400.0,496.6,245.0,429.95,429.95,1140378,1125450,-102375,0.0
2024-06-03,2024-06-06,23150,CE,436.45,446.2,220.25,402.3,402.3,891458,489925,-49950,0.0
2024-06-03,2024-06-06,23200,CE,321.0,500.0,197.3,374.35,374.35,2184607,2510100,721375,0.0
2024-06-03,2024-06-06,23250,CE,380.75,398.9,175.65,349.3,349.3,908306,1218700,464275,0.0
2024-06-03,2024-06-06,23300,CE,343.45,395.3,157.2,332.8,332.8,1516508,2712850,1210400,0.0
2024-06-03,2024-06-06,23350,CE,330.7,353.15,140.1,310.4,310.4,512421,832750,360000,0.0
2024-06-03,2024-06-06,23400,CE,261.9,402.9,124.25,288.5,288.5,1094323,2204850,305100,0.0
2024-06-03,2024-06-06,23450,CE,283.9,319.0,112.05,269.2,269.2,364380,702950,249925,0.0
2024-06-03,2024-06-06,23500,CE,248.9,296.0,100.0,252.2,252.2,2904552,7107250,1361325,0.0
2024-06-03,2024-06-06,23550,CE,250.05,300.0,91.65,234.8,234.8,356869,623300,268725,0.0
2024-06-03,2024-06-06,23600,CE,199.95,269.2,80.8,221.95,221.95,806615,1473400,244825,0.0
2024-06-03,2024-06-06,23650,CE,170.15,259.95,79.95,207.3,207.3,314573,500975,141400,0.0
2024-06-03,2024-06-06,23700,CE,186.6,242.0,72.85,196.75,196.75,865310,2025350,960925,0.0
2024-06-03,2024-06-06,23750,CE,179.05,229.9,73.75,184.0,184.0,242458,391475,230200,0.0
