date,expiry,strike,opt_type,open,high,low,close,settle,volume,oi,oi_change,underlying
2024-06-10,2024-06-13,20150,CE,3229.45,3261.05,3109.4,3125.1,3125.1,27,575,0,0.0
2024-06-10,2024-06-13,20200,CE,3018.2,3162.5,3018.2,3059.5,3070.95,34,5000,-400,0.0
2024-06-10,2024-06-13,20250,CE,3007.0,3007.0,3007.0,3007.0,3007.0,9,5725,0,0.0
2024-06-10,2024-06-13,20300,CE,3050.0,3058.6,2950.05,2950.55,2950.55,54,6525,-200,0.0
2024-06-10,2024-06-13,20350,CE,2809.35,2890.75,2809.35,2890.75,2921.05,2,2700,0,0.0
2024-06-10,2024-06-13,20400,CE,2932.9,2954.5,2844.4,2857.95,2871.05,46,2250,-500,0.0
2024-06-10,2024-06-13,20450,CE,2863.1,2935.65,2786.75,2786.75,2821.1,28,2600,75,0.0
2024-06-10,2024-06-13,20500,CE,2833.05,2840.0,2653.5,2653.5,2653.5,222,7450,-4900,0.0
2024-06-10,2024-06-13,20550,CE,2695.5,2770.0,2665.6,2717.85,2717.85,194,3225,-1425,0.0
2024-06-10,2024-06-13,20600,CE,0.0,0.0,0.0,2380.0,2671.2,0,1675,0,0.0
2024-06-10,2024-06-13,20650,CE,2628.9,2678.0,2628.9,2678.0,2621.2,36,1400,-400,0.0
2024-06-10,2024-06-13,20700,CE,2582.4,2630.0,2509.3,2560.05,2560.05,128,3650,-150,0.0
2024-06-10,2024-06-13,20750,CE,0.0,0.0,0.0,1983.5,2521.25,0,1675,0,0.0
2024-06-10,2024-06-13,20800,CE,0.0,0.0,0.0,1975.0,2471.3,0,2400,0,0.0
2024-06-10,2024-06-13,20850,CE,0.0,0.0,0.0,1790.75,2421.35,0,3125,0,0.0
2024-06-10,2024-06-13,20900,CE,2435.0,2435.0,2338.35,2338.35,2371.35,20,775,-500,0.0
2024-06-10,2024-06-13,20950,CE,2302.1,2302.1,2302.1,2302.1,2321.4,10,1100,-250,0.0
2024-06-10,2024-06-13,21000,CE,2389.9,2390.15,2200.0,2200.6,2200.6,312,41275,-5150,0.0
2024-06-10,2024-06-13,21050,CE,0.0,0.0,0.0,1700.0,2221.45,0,1400,0,0.0
2024-06-10,2024-06-13,21100,CE,0.0,0.0,0.0,1795.95,2171.5,0,4075,0,0.0
2024-06-10,2024-06-13,21150,CE,2195.05,2243.0,2043.0,2078.4,2078.4,221,2525,-525,0.0
2024-06-10,2024-06-13,21200,CE,2150.0,2150.0,2115.1,2115.1,2071.55,19,3575,-475,0.0
2024-06-10,2024-06-13,21250,CE,2033.9,2033.9,2033.9,2033.9,2033.9,1,900,25,0.0
2024-06-10,2024-06-13,21300,CE,2000.0,2050.0,1915.15,1964.4,1971.6,24,11500,-150,0.0
