date,expiry,strike,opt_type,open,high,low,close,settle,volume,oi,oi_change,underlying
2025-05-21,2025-06-12,22250,CE,0.0,0.0,0.0,2183.45,2650.75,0,0,0,24813.45
2025-05-21,2027-06-24,18000,CE,0.0,0.0,0.0,4066.45,9223.4,0,0,0,24813.45
2025-05-21,2027-06-24,27000,CE,0.0,0.0,0.0,1932.5,3151.7,0,0,0,24813.45
2025-05-21,2027-12-30,29000,CE,0.0,0.0,0.0,1932.55,2990.1,0,0,0,24813.45
2025-05-21,2028-12-28,24000,CE,0.0,0.0,0.0,5850.3,6764.45,0,0,0,24813.45
2025-05-21,2029-06-28,26000,CE,0.0,0.0,0.0,7052.2,6266.85,0,0,0,24813.45
2025-05-21,2029-12-27,21000,CE,0.0,0.0,0.0,9463.95,9720.25,0,0,0,24813.45
2025-05-21,2029-12-27,22000,CE,0.0,0.0,0.0,8865.25,9099.4,0,0,0,24813.45
2025-05-21,2029-12-27,29000,CE,0.0,0.0,0.0,5305.8,5442.05,0,0,0,24813.45
2025-05-21,2025-05-22,22600,PE,0.55,0.7,0.2,0.25,0.25,37857,385425,20925,24813.45
2025-05-21,2025-05-22,22900,PE,0.7,0.8,0.3,0.4,0.4,36158,402675,17475,24813.45
2025-05-21,2025-05-22,23450,PE,1.5,1.55,0.5,0.7,0.7,63537,173925,-137250,24813.45
2025-05-21,2025-05-22,25000,PE,270.05,354.95,137.05,251.15,251.15,1091140,3488325,-791475,24813.45
2025-05-21,2025-05-22,25100,PE,373.8,443.3,197.6,335.05,335.05,187315,1128675,-210000,24813.45
2025-05-21,2025-05-22,26400,PE,0.0,0.0,0.0,1642.5,1581.95,0,525,0,24813.45
2025-05-21,2025-05-29,20450,PE,1.75,1.75,1.5,1.6,1.6,207,66375,-3900,24813.45
2025-05-21,2025-05-29,21600,PE,3.65,3.65,2.45,2.7,2.7,872,52725,-2700,24813.45
2025-05-21,2025-05-29,22300,PE,5.5,5.55,3.1,3.85,3.85,3201,116700,31650,24813.45
2025-05-21,2025-05-29,22400,PE,4.35,5.25,3.4,4.1,4.1,4542,93075,2700,24813.45
2025-05-21,2025-05-29,23100,PE,9.15,11.15,6.4,7.5,7.5,19601,895575,6300,24813.45
2025-05-21,2025-05-29,23250,PE,9.0,13.4,7.5,8.45,8.45,4304,75750,23400,24813.45
2025-05-21,2025-05-29,25300,PE,579.45,616.7,405.0,535.35,535.35,4194,107625,1800,24813.45
2025-05-21,2025-05-29,26000,PE,1250.0,1269.4,990.0,1177.3,1177.3,2877,351225,-43050,24813.45
2025-05-21,2025-05-29,26250,PE,1402.55,1402.55,1402.55,1402.55,1403.7,1,450,75,24813.45
2025-05-21,2025-06-05,24100,PE,98.0,122.45,75.15,95.65,95.65,1308,44400,4875,24813.45
2025-05-21,2025-06-05,24650,PE,247.6,275.05,183.7,230.85,230.85,572,19200,5775,24813.45
2025-05-21,2025-06-05,25100,PE,490.0,517.05,348.0,450.0,450.0,1353,237150,1575,24813.45
2025-05-21,2025-06-05,26000,PE,1212.0,1212.0,1034.7,1164.6,1164.6,32,2100,-1275,24813.45
2025-05-21,2025-06-05,26550,PE,1680.0,1680.0,1680.0,1680.0,1678.6,1,75,75,24813.45
2025-05-21,2025-06-12,22250,PE,16.8,19.85,9.25,17.3,1.35,58,6825,2550,24813.45
2025-05-21,2025-06-12,22400,PE,0.0,0.0,0.0,20.7,2.25,0,1575,0,24813.45
2025-05-21,2025-06-12,25400,PE,685.5,755.2,561.7,685.3,685.3,514,15600,15525,24813.45
2025-05-21,2025-06-12,26100,PE,0.0,0.0,0.0,1721.75,1262.7,0,0,0,24813.45
2025-05-21,2025-06-19,23450,PE,0.0,0.0,0.0,55.4,60.25,0,0,0,24813.45
2025-05-21,2025-06-19,23550,PE,0.0,0.0,0.0,65.55,72.05,0,0,0,24813.45
2025-05-21,2025-06-19,24200,PE,202.8,205.2,197.05,198.55,198.55,18,1575,900,24813.45
2025-05-21,2025-06-19,24500,PE,294.6,311.65,237.2,271.7,271.7,196,10575,2400,24813.45
2025-05-21,2025-06-19,24950,PE,448.55,470.0,375.45,448.7,448.7,22,1350,1275,24813.45
2025-05-21,2025-06-19,25250,PE,0.0,0.0,0.0,558.05,660.25,0,0,0,24813.45
2025-05-21,2025-06-19,26400,PE,0.0,0.0,0.0,1326.5,1530.0,0,0,0,24813.45
2025-05-21,2025-06-26,18000,PE,5.55,6.35,4.7,6.1,6.1,365,414825,-3600,24813.45
2025-05-21,2025-06-26,20600,PE,0.0,0.0,0.0,12.5,0.1,0,2400,0,24813.45
2025-05-21,2025-06-26,23550,PE,120.15,144.05,103.85,121.1,121.1,331,6150,-1275,24813.45
2025-05-21,2025-06-26,23600,PE,127.75,151.8,107.95,127.4,127.4,1509,68100,4725,24813.45
2025-05-21,2025-06-26,24850,PE,459.0,487.65,370.0,438.15,438.15,889,223125,34725,24813.45
2025-05-21,2025-06-26,25300,PE,696.0,735.0,560.0,666.7,666.7,799,39600,-5925,24813.45
2025-05-21,2025-06-12,26000,CE,48.0,77.4,43.4,51.2,51.2,4205,121500,25275,24813.45
2025-05-21,2025-07-31,22600,PE,100.0,116.0,94.3,110.0,110.0,12,53100,375,24813.45
2025-05-21,2025-07-31,22750,PE,0.0,0.0,0.0,99.25,84.35,0,1800,0,24813.45
2025-05-21,2025-07-31,23100,PE,152.0,170.0,149.0,162.9,127.35,9,37275,525,24813.45
2025-05-21,2025-07-31,23450,PE,0.0,0.0,0.0,171.8,185.8,0,1425,0,24813.45
2025-05-21,2025-07-31,25300,PE,693.0,757.35,693.0,755.2,755.2,8,16950,75,24813.45
2025-05-21,2025-07-31,26450,PE,1486.45,1486.45,1486.45,1486.45,1597.15,1,225,75,24813.45
2025-05-21,2025-07-31,26800,PE,1771.85,1771.85,1771.85,1771.85,1866.95,1,1425,75,24813.45
2025-05-21,2025-09-25,23000,PE,219.85,235.35,200.0,215.8,215.8,2207,535200,22575,24813.45
2025-05-21,2025-12-24,23000,PE,321.05,339.9,305.9,322.7,322.7,1692,1490250,-75,24813.45
2025-05-21,2026-03-26,27000,PE,0.0,0.0,0.0,2406.7,1991.55,0,0,0,24813.45
2025-05-21,2027-06-24,17000,CE,0.0,0.0,0.0,4464.7,10061.95,0,0,0,24813.45
2025-05-21,2025-07-31,25150,CE,630.8,630.8,630.8,630.8,757.15,1,750,0,24813.45
2025-05-21,2025-07-31,25300,CE,513.0,622.1,513.0,527.85,527.85,61,20925,300,24813.45
2025-05-21,2025-07-31,25950,CE,287.15,290.75,287.15,289.95,289.95,5,975,375,24813.45
2025-05-21,2025-07-31,26100,CE,240.0,291.9,236.1,245.0,245.0,39,5325,-150,24813.45
2025-05-21,2025-09-25,18000,CE,0.0,0.0,0.0,9482.9,7226.05,0,0,0,24813.45
2025-05-21,2025-12-24,16000,CE,0.0,0.0,0.0,9350.0,9434.75,0,350,0,24813.45
2025-05-21,2026-03-26,30000,CE,0.0,0.0,0.0,300.0,487.2,0,0,0,24813.45
2025-05-21,2025-06-26,23300,PE,95.35,113.3,81.05,95.0,95.0,2929,94500,9525,24813.45
2025-05-21,2025-06-26,21400,PE,21.1,21.1,16.55,20.5,0.95,26,16950,0,24813.45
2025-05-21,2025-06-26,20900,PE,15.75,24.0,15.75,16.35,0.2,27,8250,1425,24813.45
2025-05-21,2025-06-26,20700,PE,15.0,15.7,13.85,15.7,0.1,58,8175,4350,24813.45
2025-05-21,2025-06-26,20400,PE,9.8,12.3,9.55,12.0,12.0,13,8850,-375,24813.45
2025-05-21,2025-06-26,16000,PE,3.5,3.5,3.4,3.45,3.45,18,48375,-1350,24813.45
2025-05-21,2025-06-19,26800,PE,0.0,0.0,0.0,1660.85,1891.15,0,0,0,24813.45
2025-05-21,2025-06-19,26750,PE,0.0,0.0,0.0,1617.65,1844.95,0,0,0,24813.45
2025-05-21,2025-06-19,25950,PE,0.0,0.0,0.0,986.7,1153.4,0,0,0,24813.45
2025-05-21,2025-06-19,23500,PE,0.0,0.0,0.0,70.0,65.95,0,450,0,24813.45
2025-05-21,2025-06-19,24900,PE,449.7,449.7,370.0,420.9,420.9,54,2550,1950,24813.45
2025-05-21,2025-06-26,25350,PE,585.0,704.55,585.0,704.25,752.8,34,5250,-1650,24813.45
