date,expiry,strike,opt_type,open,high,low,close,settle,volume,oi,oi_change,underlying
2025-10-06,2025-10-28,23500,PE,12.35,14.2,8.0,11.5,11.5,21236,2245950,-12450,25077.65
2025-10-06,2025-10-28,24550,PE,90.0,96.0,52.4,54.05,54.05,4254,128700,18225,25077.65
2025-10-06,2025-10-28,24650,PE,116.3,120.0,65.45,67.95,67.95,5693,150075,-71325,25077.65
2025-10-06,2025-10-28,25100,PE,275.0,298.5,178.55,182.75,182.75,22843,826800,289800,25077.65
2025-10-06,2025-11-04,24150,PE,0.0,0.0,0.0,122.3,52.25,0,0,0,25077.65
2025-10-06,2025-11-04,24450,PE,0.0,0.0,0.0,186.95,101.1,0,0,0,25077.65
2025-10-06,2025-11-04,24600,PE,122.95,129.0,86.0,87.15,87.15,210,8850,7350,25077.65
2025-10-06,2025-11-04,24850,PE,200.0,200.0,136.3,139.4,139.4,29,1350,825,25077.65
2025-10-06,2025-11-04,25150,PE,0.0,0.0,0.0,429.15,339.0,0,0,0,25077.65
2025-10-06,2025-11-04,25250,PE,350.0,350.0,276.45,278.9,278.9,29,1575,825,25077.65
2025-10-06,2025-11-04,26050,PE,0.0,0.0,0.0,950.8,940.8,0,0,0,25077.65
2025-10-06,2025-11-04,26350,PE,0.0,0.0,0.0,1173.1,1199.1,0,0,0,25077.65
2025-10-06,2025-11-25,23200,PE,28.0,29.9,24.65,24.9,24.9,426,45450,11175,25077.65
2025-10-06,2025-11-25,23300,PE,31.45,33.0,26.6,27.2,27.2,358,33900,2700,25077.65
2025-10-06,2025-11-25,23500,PE,40.05,42.3,32.0,32.9,32.9,6837,613875,-40875,25077.65
2025-10-06,2025-11-25,23800,PE,57.0,62.0,45.35,46.4,46.4,3056,377775,8775,25077.65
2025-10-06,2025-11-25,23850,PE,0.0,0.0,0.0,143.5,60.85,0,225,0,25077.65
2025-10-06,2025-11-25,23950,PE,92.75,92.75,55.85,56.0,56.0,78,4500,1725,25077.65
2025-10-06,2025-11-25,24300,PE,116.25,123.8,88.6,90.35,90.35,3136,310500,38775,25077.65
2025-10-06,2025-11-25,24750,PE,223.1,230.5,167.25,169.45,169.45,167,11175,75,25077.65
2025-10-06,2025-11-25,24900,PE,274.6,288.9,206.4,209.2,209.2,1381,120300,29475,25077.65
