date,expiry,strike,opt_type,settle,oi,volume,underlying
2026-05-15,2026-07-28,23800,CE,735.25,14755,340,23643.5
2026-05-15,2026-07-28,24850,CE,285.9,2470,17,23643.5
2026-05-15,2026-07-28,24950,CE,265.8,3055,55,23643.5
2026-05-15,2026-09-29,15000,CE,8998.45,0,0,23643.5
2026-05-15,2026-09-29,19500,CE,4623.4,0,0,23643.5
2026-05-15,2026-12-29,15000,CE,9229.65,0,0,23643.5
2026-05-15,2026-12-29,16500,CE,7789.7,0,0,23643.5
2026-05-15,2026-12-29,20000,CE,4544.05,146980,420,23643.5
2026-05-15,2027-06-29,34500,CE,106.0,0,0,23643.5
2026-05-15,2028-06-27,28500,CE,1888.05,0,0,23643.5
2026-05-15,2028-12-26,21000,CE,6350.7,0,0,23643.5
2026-05-15,2028-12-26,28500,CE,2463.2,0,0,23643.5
2026-05-15,2029-06-26,18000,CE,9049.75,0,0,23643.5
2026-05-15,2029-06-26,21000,CE,6923.5,0,0,23643.5
2026-05-15,2029-06-26,22500,CE,5970.75,0,0,23643.5
2026-05-15,2029-12-24,15000,CE,11772.4,0,0,23643.5
2026-05-15,2030-12-31,33000,CE,3166.2,0,0,23643.5
2026-05-15,2026-05-19,22300,PE,2.45,3499600,344931,23643.5
2026-05-15,2026-05-19,24100,PE,489.2,258050,46140,23643.5
2026-05-15,2026-05-19,24650,PE,1009.85,6565,35,23643.5
2026-05-15,2026-05-19,24700,PE,1084.45,33865,433,23643.5
2026-05-15,2026-05-19,25900,PE,2239.85,195,0,23643.5
2026-05-15,2026-05-19,25950,PE,2289.85,0,0,23643.5
2026-05-15,2026-05-19,26150,PE,2489.7,0,0,23643.5
2026-05-15,2026-05-19,26250,PE,2589.65,0,0,23643.5
2026-05-15,2026-05-26,20350,PE,2.15,1365,8,23643.5
2026-05-15,2026-05-26,20400,PE,2.6,20670,379,23643.5
2026-05-15,2026-05-26,20500,PE,3.0,861055,17305,23643.5
2026-05-15,2026-05-26,20850,PE,3.15,10790,183,23643.5
2026-05-15,2026-05-26,21150,PE,4.0,12220,283,23643.5
2026-05-15,2026-05-26,21450,PE,5.6,48100,1375,23643.5
2026-05-15,2026-05-26,21850,PE,10.0,30290,952,23643.5
2026-05-15,2026-05-26,23650,PE,292.0,310440,18849,23643.5
2026-05-15,2026-05-26,23900,PE,425.35,574015,20920,23643.5
2026-05-15,2026-05-26,25200,PE,1560.85,54795,312,23643.5
2026-05-15,2026-05-26,25250,PE,1566.65,1625,0,23643.5
2026-05-15,2026-05-26,26650,PE,2959.45,130,0,23643.5
2026-05-15,2026-06-02,21100,PE,9.45,33605,620,23643.5
2026-05-15,2026-06-02,21250,PE,0.65,2795,70,23643.5
2026-05-15,2026-06-02,21350,PE,11.75,1170,19,23643.5
2026-05-15,2026-06-02,22050,PE,10.75,3900,28,23643.5
2026-05-15,2026-06-02,22650,PE,84.15,3640,137,23643.5
2026-05-15,2026-06-02,24000,PE,538.45,107705,1795,23643.5
2026-05-15,2026-06-02,24750,PE,1099.45,65,0,23643.5
2026-05-15,2026-06-02,25250,PE,1554.9,0,0,23643.5
2026-05-15,2026-06-02,26050,PE,2333.7,0,0,23643.5
2026-05-15,2026-06-09,21900,PE,47.25,3120,45,23643.5
2026-05-15,2026-06-09,22500,PE,102.9,41015,778,23643.5
2026-05-15,2026-06-09,22800,PE,152.7,8255,249,23643.5
2026-05-15,2026-06-09,22950,PE,188.0,3705,66,23643.5
2026-05-15,2026-06-09,23500,PE,346.35,26260,810,23643.5
2026-05-15,2026-06-09,24700,PE,1075.85,0,0,23643.5
2026-05-15,2026-06-09,25650,PE,1924.85,0,0,23643.5
2026-05-15,2026-06-09,25750,PE,2020.5,0,0,23643.5
2026-05-15,2026-06-16,21650,PE,16.55,0,0,23643.5
2026-05-15,2026-06-16,21900,PE,28.55,0,0,23643.5
2026-05-15,2026-06-16,22000,PE,75.3,2470,66,23643.5
2026-05-15,2026-06-16,22100,PE,42.7,0,0,23643.5
2026-05-15,2026-06-16,22550,PE,95.95,260,2,23643.5
2026-05-15,2026-06-16,23350,PE,302.2,0,0,23643.5
2026-05-15,2026-06-16,23400,PE,366.4,1105,21,23643.5
2026-05-15,2026-06-16,23550,PE,411.7,325,9,23643.5
2026-05-15,2026-06-16,23600,PE,444.05,3510,78,23643.5
2026-05-15,2026-06-16,23700,PE,473.6,1430,38,23643.5
2026-05-15,2026-06-16,23750,PE,498.5,975,22,23643.5
2026-05-15,2026-06-16,23800,PE,533.8,1885,92,23643.5
2026-05-15,2026-06-16,24450,PE,901.5,65,1,23643.5
2026-05-15,2026-06-16,25250,PE,1542.9,0,0,23643.5
2026-05-15,2026-06-16,25750,PE,1997.35,0,0,23643.5
2026-05-15,2026-06-30,20100,PE,23.8,2600,14,23643.5
2026-05-15,2026-06-30,20550,PE,3.95,715,0,23643.5
2026-05-15,2026-06-30,20700,PE,36.1,7410,39,23643.5
2026-05-15,2026-06-30,20750,PE,6.25,325,0,23643.5
2026-05-15,2026-06-30,21250,PE,17.8,0,0,23643.5
2026-05-15,2026-06-30,21300,PE,19.6,0,0,23643.5
2026-05-15,2026-06-30,22150,PE,139.25,15145,59,23643.5
2026-05-15,2026-06-30,22250,PE,153.85,15535,57,23643.5
2026-05-15,2026-06-30,22750,PE,239.55,16055,79,23643.5
2026-05-15,2026-06-30,23450,PE,447.55,10270,165,23643.5
2026-05-15,2026-06-30,23800,PE,596.35,181805,3351,23643.5
2026-05-15,2026-06-30,24250,PE,820.5,11830,88,23643.5
2026-05-15,2026-06-30,25350,PE,1636.65,910,5,23643.5
2026-05-15,2026-06-30,26100,PE,2297.05,0,0,23643.5
2026-05-15,2026-07-28,21450,PE,65.25,0,0,23643.5
2026-05-15,2026-07-28,22450,PE,209.6,780,18,23643.5
2026-05-15,2026-07-28,22550,PE,231.9,260,4,23643.5
2026-05-15,2026-07-28,23700,PE,639.25,19760,298,23643.5
2026-05-15,2026-07-28,24050,PE,795.1,4030,53,23643.5
2026-05-15,2026-07-28,24100,PE,821.85,9295,69,23643.5
2026-05-15,2026-07-28,24400,PE,992.95,9815,35,23643.5
2026-05-15,2026-07-28,24750,PE,1214.9,5785,0,23643.5
2026-05-15,2026-07-28,25050,PE,1422.9,390,0,23643.5
2026-05-15,2026-07-28,25250,PE,1571.15,65,0,23643.5
2026-05-15,2026-07-28,26100,PE,2257.9,0,0,23643.5
2026-05-15,2026-09-29,30000,PE,5671.0,325,0,23643.5
2026-05-15,2026-12-29,14000,PE,0.05,4500,0,23643.5
2026-05-15,2027-03-30,25500,PE,1806.75,0,0,23643.5
2026-05-15,2026-06-30,25700,CE,41.85,107185,1969,23643.5
2026-05-15,2026-07-28,22100,CE,1971.6,0,0,23643.5
2026-05-15,2026-07-28,22800,CE,1432.3,4940,13,23643.5
2026-05-15,2026-07-28,24250,CE,610.3,4810,1,23643.5
2026-05-15,2026-07-28,24350,CE,569.6,2340,3,23643.5
2026-05-15,2026-07-28,24450,CE,530.95,4680,6,23643.5
2026-05-15,2026-07-28,24650,CE,350.25,3250,9,23643.5
2026-05-15,2026-07-28,25250,CE,289.15,910,9,23643.5
