date,expiry,strike,opt_type,open,high,low,close,settle,volume,oi,oi_change,underlying
2026-03-06,2026-03-30,25700,CE,70.0,81.1,60.45,65.35,65.35,21389,1297790,118820,24450.45
2026-03-06,2026-03-30,25600,CE,79.95,100.4,73.65,79.9,79.9,25714,1401140,23920,24450.45
2026-03-06,2026-03-30,25450,CE,111.0,137.3,100.0,109.05,109.05,3982,142610,3185,24450.45
2026-03-06,2026-03-30,25400,CE,130.0,151.85,110.15,119.6,119.6,18662,934245,-6435,24450.45
2026-03-06,2026-03-30,25300,CE,139.9,183.75,133.5,145.3,145.3,16421,820950,-16380,24450.45
2026-03-06,2026-03-30,25150,CE,214.3,241.2,175.8,191.7,191.7,3236,126685,12025,24450.45
2026-03-06,2026-03-30,25100,CE,220.0,261.4,192.0,208.65,208.65,9676,410410,46345,24450.45
2026-03-06,2026-03-30,24900,CE,308.0,358.85,267.75,290.9,290.9,10976,529815,-65,24450.45
2026-03-06,2026-03-30,24850,CE,338.55,385.8,290.0,313.0,313.0,2229,87620,130,24450.45
2026-03-06,2026-03-30,24700,CE,438.0,472.8,360.2,388.85,388.85,31653,781495,210600,24450.45
2026-03-06,2026-03-30,24550,CE,520.0,564.4,440.15,472.15,472.15,2773,67210,16120,24450.45
2026-03-06,2026-03-30,24500,CE,575.2,603.75,468.2,502.7,502.7,38724,1982955,222495,24450.45
2026-03-06,2026-03-30,24450,CE,600.0,631.65,498.0,532.65,532.65,1411,140530,2860,24450.45
2026-03-06,2026-03-30,24400,CE,639.95,674.6,528.9,564.6,564.6,6701,351650,13065,24450.45
2026-03-06,2026-03-30,24350,CE,650.05,702.0,560.0,596.25,596.25,396,31395,195,24450.45
2026-03-06,2026-03-30,24300,CE,680.65,744.95,592.5,630.25,630.25,2075,132015,-910,24450.45
2026-03-06,2026-03-30,24250,CE,738.15,771.55,630.15,661.45,661.45,195,10595,-1885,24450.45
2026-03-06,2026-03-30,24050,CE,890.9,891.6,784.55,799.8,799.8,53,5135,-1105,24450.45
2026-03-06,2026-03-30,24000,CE,896.1,975.0,800.0,844.8,844.8,7638,1368500,11495,24450.45
2026-03-06,2026-03-30,23900,CE,1025.0,1040.0,900.0,904.6,904.6,106,47320,975,24450.45
2026-03-06,2026-03-30,23750,CE,0.0,0.0,0.0,1136.85,843.85,0,9880,0,24450.45
2026-03-06,2026-03-30,23700,CE,1205.0,1205.0,1059.7,1076.55,1076.55,19,14625,715,24450.45
2026-03-06,2026-03-30,23450,CE,0.0,0.0,0.0,1394.55,1109.65,0,845,0,24450.45
2026-03-06,2026-03-30,23400,CE,1279.65,1310.0,1279.65,1307.5,1307.5,5,1690,195,24450.45
2026-03-06,2026-03-30,23350,CE,0.0,0.0,0.0,2238.45,1202.65,0,130,0,24450.45
2026-03-06,2026-03-30,23200,CE,1500.0,1500.0,1500.0,1500.0,1345.05,3,650,65,24450.45
2026-03-06,2026-03-30,23150,CE,0.0,0.0,0.0,1620.0,1393.1,0,195,0,24450.45
2026-03-06,2026-03-30,23050,CE,1720.0,1770.0,1720.0,1770.0,1489.95,2,0,0,24450.45
2026-03-06,2026-03-30,22950,CE,0.0,0.0,0.0,3343.3,1587.6,0,0,0,24450.45
2026-03-06,2026-03-30,22850,CE,0.0,0.0,0.0,3439.5,1685.8,0,0,0,24450.45
2026-03-06,2026-03-30,22800,CE,0.0,0.0,0.0,3487.7,1735.1,0,0,0,24450.45
2026-03-06,2026-03-30,22750,CE,0.0,0.0,0.0,1942.3,1784.5,0,65,0,24450.45
2026-03-06,2026-03-30,20000,CE,4750.0,4750.0,4525.0,4531.45,4531.45,31,39560,-455,24450.45
2026-03-06,2026-03-24,27450,CE,0.0,0.0,0.0,5.6,0.05,0,3900,0,24450.45
2026-03-06,2026-03-24,27350,CE,5.0,5.65,3.75,4.5,0.05,166,520,0,24450.45
2026-03-06,2026-03-24,27250,CE,5.0,5.0,5.0,5.0,0.05,1,520,-65,24450.45
2026-03-06,2026-03-24,27100,CE,4.45,5.8,4.45,5.7,5.7,11,5135,-585,24450.45
2026-03-06,2026-03-24,27000,CE,7.5,7.55,5.6,6.1,6.1,456,60580,5395,24450.45
2026-03-06,2026-03-24,26950,CE,6.7,7.05,5.8,5.95,5.95,43,2275,-195,24450.45
2026-03-06,2026-03-24,26900,CE,7.5,7.95,6.25,6.6,6.6,119,5525,1170,24450.45
2026-03-06,2026-03-24,26850,CE,9.3,9.3,7.15,8.1,8.1,16,7800,0,24450.45
2026-03-06,2026-03-24,26750,CE,7.4,9.4,7.05,7.55,7.55,83,1560,-1885,24450.45
2026-03-06,2026-03-24,26700,CE,11.15,11.15,7.5,8.1,8.1,111,16965,1040,24450.45
2026-03-06,2026-03-24,26500,CE,13.9,14.0,9.2,10.1,10.1,1762,123825,8775,24450.45
2026-03-06,2026-03-24,26400,CE,14.4,15.35,10.4,11.3,11.3,147,14300,-1755,24450.45
2026-03-06,2026-03-24,26350,CE,10.5,17.8,10.5,12.05,12.05,117,10790,-1105,24450.45
2026-03-06,2026-03-24,26300,CE,14.35,16.25,11.75,13.15,13.15,697,45435,20670,24450.45
2026-03-06,2026-03-24,26250,CE,18.0,18.0,14.05,15.2,15.2,159,7345,0,24450.45
2026-03-06,2026-03-24,26000,CE,26.0,31.4,23.3,25.1,25.1,7640,370890,100620,24450.45
2026-03-06,2026-03-24,25800,CE,47.4,47.4,30.85,36.6,36.6,5021,159445,59410,24450.45
2026-03-06,2026-03-24,25700,CE,48.7,57.0,41.0,46.7,46.7,3279,80535,17160,24450.45
2026-03-06,2026-03-24,25650,CE,68.45,68.45,47.05,52.05,52.05,597,15990,3445,24450.45
2026-03-06,2026-03-24,25500,CE,78.55,93.35,63.4,74.35,74.35,26217,599235,215410,24450.45
2026-03-06,2026-03-24,25400,CE,95.0,117.15,80.05,92.5,92.5,5323,144365,33540,24450.45
2026-03-06,2026-03-24,25200,CE,149.2,179.95,125.15,141.8,141.8,3719,130000,10725,24450.45
2026-03-06,2026-03-24,25100,CE,183.0,219.5,153.4,170.75,170.75,1728,71305,12415,24450.45
2026-03-06,2026-03-24,25000,CE,230.0,262.35,185.25,206.05,206.05,5865,263055,68835,24450.45
2026-03-06,2026-03-24,24950,CE,248.2,286.05,205.4,226.25,226.25,412,8450,2275,24450.45
2026-03-06,2026-03-24,24850,CE,282.85,336.6,244.5,268.55,268.55,300,9425,2860,24450.45
2026-03-06,2026-03-24,24800,CE,313.2,361.65,265.6,292.45,292.45,2406,91910,26650,24450.45
2026-03-06,2026-03-24,24750,CE,369.95,391.7,288.65,315.0,315.0,278,8710,2600,24450.45
2026-03-06,2026-03-24,24600,CE,450.0,482.0,358.4,391.9,391.9,2949,73710,42250,24450.45
2026-03-06,2026-03-24,24550,CE,462.0,516.05,400.0,422.65,422.65,380,6305,1820,24450.45
2026-03-06,2026-03-24,24450,CE,560.0,580.0,453.95,478.15,478.15,231,5330,845,24450.45
2026-03-06,2026-03-24,24400,CE,563.3,609.85,484.9,508.0,508.0,544,42575,1885,24450.45
2026-03-06,2026-03-24,24350,CE,643.0,643.0,530.0,544.8,544.8,115,9295,3315,24450.45
2026-03-06,2026-03-24,24150,CE,748.6,748.6,748.55,748.55,485.0,2,325,0,24450.45
