trial,state,value,max_depth,learning_rate,min_child_weight,gamma,subsample,colsample_bytree,reg_alpha,reg_lambda,pfs,sortinos,sharpes,trade_counts,runtime_s
0,COMPLETE,0.29586617333474335,5,0.0862735828664018,22,0.5986584841970366,0.5780093202212182,0.3935967122017216,0.2904180608409973,6.697167353375242,"[0.19205480085367682, 0.40045273282346255]","[-0.47114601739199213, -0.3040409902606614]","[-0.5262711089640524, -0.30615648215782176]","[648, 721]",15.456949472427368
1,COMPLETE,0.33719220891887436,6,0.04170553216181044,1,0.9699098521619943,0.9162213204002109,0.4274034664069657,0.9091248360355031,0.8661333735273129,"[0.2563511932153128, 0.4187469857149728]","[-0.426722944665874, -0.2870381478710965]","[-0.43770609524143356, -0.28149545330256087]","[624, 714]",22.89787268638611
2,COMPLETE,0.2936456326919716,4,0.02408207265453543,13,0.2912291401980419,0.8059264473611898,0.3836963163912251,1.4607232426760908,1.498365454855079,"[0.1701813977203497, 0.41794362587136513]","[-0.535398561663503, -0.298359646108094]","[-0.6733006613106369, -0.29297660506640577]","[590, 678]",19.391578912734985
